datetime,EUR_MPMI_MoM_Actual,EUR_MPMI_MoM_Srv_Med,EUR_MPMI_MoM_Revised,EUR_MPMI_MoM_Prior,Is_P
2023-09-01 16:00:00,None,43.7,42.7,42.7,0.0
2023-08-23 16:00:00,43.7,42.6,42.7,42.7,1.0
2023-08-01 16:00:00,42.7,42.7,43.4,43.4,0.0
2023-07-24 16:00:00,42.7,43.5,43.4,43.6,1.0
2023-07-03 16:00:00,43.4,43.6,44.8,44.8,0.0
2023-06-23 16:00:00,43.6,44.8,44.8,44.6,1.0
2023-06-01 16:00:00,44.8,44.6,45.8,45.8,0.0
2023-05-23 16:00:00,44.6,46.2,45.8,45.5,1.0
2023-05-02 16:00:00,45.8,45.5,47.3,47.3,0.0
2023-04-21 16:00:00,45.5,48.0,47.3,47.1,1.0
2023-04-03 16:00:00,47.3,47.1,48.5,48.5,0.0
2023-03-24 17:00:00,47.1,49.0,48.5,48.5,1.0
2023-03-01 17:00:00,48.5,48.5,48.8,48.8,0.0
2023-02-21 17:00:00,48.5,49.3,48.8,48.8,1.0
2023-02-01 17:00:00,48.8,48.8,47.8,47.8,0.0
2023-01-24 17:00:00,48.8,48.5,47.8,47.8,1.0
2023-01-02 17:00:00,47.8,47.8,47.1,47.1,0.0
2022-12-16 17:00:00,47.8,47.1,47.1,47.3,1.0
2022-12-01 17:00:00,47.1,47.3,46.4,46.4,0.0
2022-11-23 17:00:00,47.3,46.0,46.4,46.6,1.0
2022-11-02 17:00:00,46.4,46.6,48.4,48.4,0.0
2022-10-24 16:00:00,46.6,47.8,48.4,48.5,1.0
2022-10-03 16:00:00,48.4,48.5,49.6,49.6,0.0
2022-09-23 16:00:00,48.5,48.7,49.6,49.7,1.0
2022-09-01 16:00:00,49.6,49.7,49.7,49.8,0.0
2022-08-23 16:00:00,49.7,49.0,49.8,49.6,1.0
2022-08-01 16:00:00,49.8,49.6,52.1,52.1,0.0
2022-07-22 16:00:00,49.6,51.0,52.1,52.0,1.0
2022-07-01 16:00:00,52.1,52.0,54.6,54.6,0.0
2022-06-23 16:00:00,52.0,53.9,54.6,54.4,1.0
2022-06-01 16:00:00,54.6,54.4,55.5,55.5,0.0
2022-05-24 16:00:00,54.4,54.9,55.5,55.3,1.0
2022-05-02 16:00:00,55.5,55.3,56.5,56.5,0.0
2022-04-22 16:00:00,55.3,54.7,56.5,57.0,1.0
2022-04-01 16:00:00,56.5,57.0,58.2,58.2,0.0
2022-03-24 17:00:00,57.0,56.0,58.2,58.4,1.0
2022-03-01 17:00:00,58.2,58.4,58.7,58.7,0.0
2022-02-21 17:00:00,58.4,58.7,58.7,59.0,1.0
2022-02-01 17:00:00,58.7,59.0,58.0,58.0,0.0
2022-01-24 17:00:00,59.0,57.5,58.0,58.0,1.0
2022-01-03 17:00:00,58.0,58.0,58.4,58.4,0.0
2021-12-16 17:00:00,58.0,57.8,58.4,58.6,1.0
2021-12-01 17:00:00,58.4,58.6,58.6,58.3,0.0
2021-11-23 17:00:00,58.6,57.3,58.3,58.5,1.0
2021-11-02 17:00:00,58.3,58.5,58.3,58.6,0.0
2021-10-22 16:00:00,58.5,57.0,58.6,58.7,1.0
2021-10-01 16:00:00,58.6,58.7,61.4,61.4,0.0
2021-09-23 16:00:00,58.7,60.3,61.4,61.5,1.0
2021-09-01 16:00:00,61.4,61.5,62.8,62.8,0.0
2021-08-23 16:00:00,61.5,62.0,62.8,62.6,1.0
2021-08-02 16:00:00,62.8,62.6,63.4,63.4,0.0
2021-07-23 16:00:00,62.6,62.5,63.4,63.1,1.0
2021-07-01 16:00:00,63.4,63.1,63.1,63.1,0.0
2021-06-23 16:00:00,63.1,62.1,63.1,62.8,1.0
2021-06-01 16:00:00,63.1,62.8,62.8,62.9,0.0
2021-05-21 16:00:00,62.8,62.5,62.9,63.3,1.0
2021-05-03 16:00:00,62.9,63.3,63.3,62.5,0.0
2021-04-23 16:00:00,63.3,62.0,62.5,62.4,1.0
2021-04-01 16:00:00,62.5,62.4,57.9,57.9,0.0
2021-03-24 17:00:00,62.4,57.7,57.9,57.7,1.0
2021-03-01 17:00:00,57.9,57.7,54.8,54.8,0.0
2021-02-19 17:00:00,57.7,54.3,54.8,54.7,1.0
2021-02-01 17:00:00,54.8,54.7,54.7,55.2,0.0
2021-01-22 17:00:00,54.7,54.5,55.2,55.5,1.0
2021-01-04 17:00:00,55.2,55.5,55.5,53.8,0.0
2020-12-16 17:00:00,55.5,53.0,53.8,53.6,1.0
2020-12-01 17:00:00,53.8,53.6,53.6,54.8,0.0
