datetime,EUR_SPMI_MoM_Actual,EUR_SPMI_MoM_Srv_Med,EUR_SPMI_MoM_Revised,EUR_SPMI_MoM_Prior,Is_P
2023-09-05 16:00:00,None,None,48.3,50.9,0.0
2023-08-23 16:00:00,48.3,50.5,50.9,51.1,1.0
2023-08-03 16:00:00,50.9,51.1,52.0,52.0,0.0
2023-07-24 16:00:00,51.1,51.5,52.0,52.4,1.0
2023-07-05 16:00:00,52.0,52.4,55.1,55.1,0.0
2023-06-23 16:00:00,52.4,54.5,55.1,55.9,1.0
2023-06-05 16:00:00,55.1,55.9,56.2,56.2,0.0
2023-05-23 16:00:00,55.9,55.6,56.2,56.6,1.0
2023-05-04 16:00:00,56.2,56.6,55.0,55.0,0.0
2023-04-21 16:00:00,56.6,54.5,55.0,55.6,1.0
2023-04-05 16:00:00,55.0,55.6,52.7,52.7,0.0
2023-03-24 17:00:00,55.6,52.5,52.7,53.0,1.0
2023-03-03 17:00:00,52.7,53.0,50.8,50.8,0.0
2023-02-21 17:00:00,53.0,51.0,50.8,50.7,1.0
2023-02-03 17:00:00,50.8,50.7,49.8,49.8,0.0
2023-01-24 17:00:00,50.7,50.2,49.8,49.1,1.0
2023-01-04 17:00:00,49.8,49.1,48.5,48.5,0.0
2022-12-16 17:00:00,49.1,48.5,48.5,48.6,1.0
2022-12-05 17:00:00,48.5,48.6,48.6,48.6,0.0
2022-11-23 17:00:00,48.6,48.0,48.6,48.2,1.0
2022-11-04 17:00:00,48.6,48.2,48.8,48.8,0.0
2022-10-24 16:00:00,48.2,48.2,48.8,48.9,1.0
2022-10-05 16:00:00,48.8,48.9,49.8,49.8,0.0
2022-09-23 16:00:00,48.9,49.0,49.8,50.2,1.0
2022-09-05 16:00:00,49.8,50.2,51.2,51.2,0.0
2022-08-23 16:00:00,50.2,50.5,51.2,50.6,1.0
2022-08-03 16:00:00,51.2,50.6,53.0,53.0,0.0
2022-07-22 16:00:00,50.6,52.0,53.0,52.8,1.0
2022-07-05 16:00:00,53.0,52.8,56.1,56.1,0.0
2022-06-23 16:00:00,52.8,55.5,56.1,56.3,1.0
2022-06-03 16:00:00,56.1,56.3,56.3,57.7,0.0
2022-05-24 16:00:00,56.3,57.5,57.7,57.7,1.0
2022-05-04 16:00:00,57.7,57.7,55.6,55.6,0.0
2022-04-22 16:00:00,57.7,55.0,55.6,54.8,1.0
2022-04-05 16:00:00,55.6,54.8,55.5,55.5,0.0
2022-03-24 17:00:00,54.8,54.2,55.5,55.8,1.0
2022-03-03 17:00:00,55.5,55.8,51.1,51.1,0.0
2022-02-21 17:00:00,55.8,52.0,51.1,51.2,1.0
2022-02-03 17:00:00,51.1,51.2,53.1,53.1,0.0
2022-01-24 17:00:00,51.2,52.2,53.1,53.3,1.0
2022-01-05 17:00:00,53.1,53.3,55.9,55.9,0.0
2021-12-16 17:00:00,53.3,54.1,55.9,56.6,1.0
2021-12-03 17:00:00,55.9,56.6,54.6,54.6,0.0
2021-11-23 17:00:00,56.6,53.5,54.6,54.7,1.0
2021-11-04 17:00:00,54.6,54.7,56.4,56.4,0.0
2021-10-22 16:00:00,54.7,55.5,56.4,56.3,1.0
2021-10-05 16:00:00,56.4,56.3,59.0,59.0,0.0
2021-09-23 16:00:00,56.3,58.5,59.0,59.7,1.0
2021-09-03 16:00:00,59.0,59.7,59.8,59.8,0.0
2021-08-23 16:00:00,59.7,59.8,59.8,60.4,1.0
2021-08-04 16:00:00,59.8,60.4,58.3,58.3,0.0
2021-07-23 16:00:00,60.4,59.5,58.3,58.0,1.0
2021-07-05 16:00:00,58.3,58.0,55.2,55.2,0.0
2021-06-23 16:00:00,58.0,57.8,55.2,55.1,1.0
2021-06-03 16:00:00,55.2,55.1,50.5,50.5,0.0
2021-05-21 16:00:00,55.1,52.3,50.5,50.3,1.0
2021-05-05 16:00:00,50.5,50.3,49.6,49.6,0.0
2021-04-23 16:00:00,50.3,49.1,49.6,48.8,1.0
2021-04-07 16:00:00,49.6,48.8,45.7,45.7,0.0
2021-03-24 17:00:00,48.8,46.0,45.7,44.7,1.0
2021-03-03 17:00:00,45.7,44.7,45.4,45.4,0.0
2021-02-19 17:00:00,44.7,45.9,45.4,45.0,1.0
2021-02-03 17:00:00,45.4,45.0,45.0,46.4,0.0
2021-01-22 17:00:00,45.0,44.5,46.4,47.3,1.0
2021-01-06 17:00:00,46.4,47.3,41.7,41.7,0.0
2020-12-16 17:00:00,47.3,41.9,41.7,41.3,1.0
2020-12-03 17:00:00,41.7,41.3,46.9,46.9,0.0
2020-11-23 17:00:00,41.3,42.5,46.9,46.2,1.0
2020-11-04 17:00:00,46.9,46.2,48.0,48.0,0.0
2020-10-23 16:00:00,46.2,47.0,48.0,47.6,1.0
2020-10-05 16:00:00,48.0,47.6,50.5,50.5,0.0
2020-09-23 16:00:00,47.6,50.5,50.5,50.1,1.0
2020-09-03 16:00:00,50.5,50.1,54.7,54.7,0.0
2020-08-21 16:00:00,50.1,54.5,54.7,55.1,1.0
2020-08-05 16:00:00,54.7,55.1,48.3,48.3,0.0
2020-07-24 16:00:00,55.1,51.0,48.3,47.3,1.0
2020-07-03 16:00:00,48.3,47.3,30.5,30.5,0.0
2020-06-23 16:00:00,47.3,41.0,30.5,28.7,1.0
2020-06-03 16:00:00,30.5,28.7,12.0,12.0,0.0
2020-05-21 16:00:00,28.7,25.0,12.0,11.7,1.0
2020-05-06 16:00:00,12.0,11.7,26.4,26.4,0.0
2020-04-23 16:00:00,11.7,23.8,26.4,28.4,1.0
2020-04-03 16:00:00,26.4,28.4,52.6,52.6,0.0
2020-03-24 17:00:00,28.4,39.0,52.6,52.8,1.0
2020-03-04 17:00:00,52.6,52.8,52.5,52.5,0.0
2020-02-21 17:00:00,52.8,52.2,52.5,52.2,1.0
2020-02-05 17:00:00,52.5,52.2,52.8,52.8,0.0
2020-01-24 17:00:00,52.2,52.8,52.8,52.4,1.0
2020-01-06 17:00:00,52.8,52.4,51.9,51.9,0.0
2019-12-16 17:00:00,52.4,52.0,51.9,51.5,1.0
2019-12-04 17:00:00,51.9,51.5,52.2,52.2,0.0
2019-11-22 17:00:00,51.5,52.5,52.2,51.8,1.0
2019-11-06 17:00:00,52.2,51.8,51.6,51.6,0.0
2019-10-24 16:00:00,51.8,51.9,51.6,52.0,1.0
2019-10-03 16:00:00,51.6,52.0,53.5,53.5,0.0
