datetime,FR_CPI_MoM_Actual,FR_CPI_MoM_Srv_Med,FR_CPI_MoM_Revised,FR_CPI_MoM_Prior,Is_P
2023-09-15 14:45:00,None,None,0.1,0.1,0.0
2023-08-31 14:45:00,None,0.7,0.1,0.0,1.0
2023-08-11 14:45:00,0.1,0.0,0.2,0.2,0.0
2023-07-28 14:45:00,0.0,0.2,0.2,0.2,1.0
2023-07-13 14:45:00,0.2,0.2,-0.1,-0.1,0.0
2023-06-30 14:45:00,0.2,0.2,-0.1,-0.1,1.0
2023-06-15 14:45:00,-0.1,-0.1,0.6,0.6,0.0
2023-05-31 14:45:00,-0.1,0.4,0.6,0.6,1.0
2023-05-12 14:45:00,0.6,0.6,0.7,0.7,0.0
2023-04-28 14:45:00,0.6,0.4,0.9,0.8,1.0
2023-04-14 14:45:00,0.7,0.8,1.1,1.1,0.0
2023-03-31 14:45:00,0.8,0.8,1.0,0.9,1.0
2023-03-15 15:45:00,1.1,0.9,0.4,0.4,0.0
2023-02-28 15:45:00,0.9,0.7,0.4,0.4,1.0
2023-02-17 15:45:00,0.4,0.4,-0.1,-0.1,0.0
2023-01-31 15:45:00,0.4,0.5,-0.1,-0.1,1.0
2023-01-13 15:45:00,-0.1,-0.1,0.3,0.3,0.0
2023-01-04 15:45:00,-0.1,0.4,0.3,0.4,1.0
2022-12-15 15:45:00,0.3,0.4,1.0,1.0,0.0
2022-11-30 15:45:00,0.4,0.4,1.0,1.0,1.0
2022-11-15 15:45:00,1.0,1.0,-0.6,-0.6,0.0
2022-10-28 14:45:00,1.0,0.5,-0.6,-0.5,1.0
2022-10-14 14:45:00,-0.6,-0.5,0.5,0.5,0.0
2022-09-30 14:45:00,-0.5,-0.1,0.5,0.4,1.0
2022-09-15 14:45:00,0.5,0.4,0.3,0.3,0.0
2022-08-31 14:45:00,0.4,0.5,0.3,0.3,1.0
2022-08-12 14:45:00,0.3,0.3,0.7,0.7,0.0
2022-07-29 14:45:00,0.3,0.3,0.7,0.7,1.0
2022-07-13 14:45:00,0.7,0.7,0.7,0.7,0.0
2022-06-30 14:45:00,0.7,0.7,0.7,0.6,1.0
2022-06-15 14:45:00,0.7,0.6,0.4,0.4,0.0
2022-05-31 14:45:00,0.6,,0.4,0.4,1.0
2022-05-13 14:45:00,0.4,0.4,1.4,1.4,0.0
2022-04-29 14:45:00,0.4,0.2,1.4,1.4,1.0
2022-04-15 14:45:00,1.4,1.4,0.8,0.8,0.0
2022-03-31 14:45:00,1.4,1.3,0.8,0.7,1.0
2022-03-15 15:45:00,0.8,0.7,0.3,0.3,0.0
2022-02-25 15:45:00,0.7,0.3,0.3,0.3,1.0
2022-02-18 15:45:00,0.3,0.3,0.2,0.2,0.0
2022-02-01 15:45:00,0.3,-0.2,0.2,0.2,1.0
2022-01-14 15:45:00,0.2,0.2,0.4,0.4,0.0
2022-01-04 15:45:00,0.2,,0.4,0.4,1.0
2021-12-15 15:45:00,0.4,0.4,0.4,0.4,0.0
2021-11-30 15:45:00,0.4,,0.4,0.4,1.0
2021-11-16 15:45:00,0.4,0.4,-0.2,-0.2,0.0
2021-10-29 14:45:00,0.4,,-0.2,-0.2,1.0
2021-10-15 14:45:00,-0.2,-0.2,0.6,0.6,0.0
2021-09-30 14:45:00,-0.2,-0.1,0.6,0.6,1.0
2021-09-15 14:45:00,0.6,0.6,0.1,0.1,0.0
2021-08-31 14:45:00,0.6,,0.1,0.1,1.0
2021-08-13 14:45:00,0.1,0.1,0.1,0.1,0.0
2021-07-30 14:45:00,0.1,-0.1,0.1,0.2,1.0
2021-07-13 14:45:00,0.1,0.2,0.3,0.3,0.0
2021-06-30 14:45:00,0.2,,0.3,0.3,1.0
2021-06-15 14:45:00,0.3,0.3,0.1,0.1,0.0
2021-05-28 14:45:00,0.3,,0.1,0.2,1.0
2021-05-12 14:45:00,0.1,,0.6,0.6,0.0
2021-04-30 14:45:00,0.2,0.2,0.6,0.6,1.0
2021-04-15 14:45:00,0.6,0.6,0.0,0.0,0.0
2021-03-31 14:45:00,0.6,,0.0,-0.1,1.0
2021-03-16 15:45:00,0.0,-0.1,0.2,0.1,0.0
2021-02-26 15:45:00,-0.1,,0.2,0.2,1.0
2021-02-19 15:45:00,0.1,0.2,0.2,0.2,0.0
2021-02-02 15:45:00,0.2,-0.1,0.2,0.2,1.0
2021-01-15 15:45:00,0.2,0.1,0.2,0.2,0.0
2021-01-06 15:45:00,0.2,0.2,0.2,0.2,1.0
2020-12-15 15:45:00,0.2,0.2,0.0,0.0,0.0
2020-11-27 15:45:00,0.2,0.0,0.0,-0.1,1.0
2020-11-13 15:45:00,0.0,-0.1,-0.5,-0.5,0.0
2020-10-30 15:45:00,-0.1,,-0.5,-0.5,1.0
2020-10-15 14:45:00,-0.5,-0.5,-0.1,-0.1,0.0
2020-09-30 14:45:00,-0.5,,-0.1,-0.1,1.0
2020-09-15 14:45:00,-0.1,-0.1,0.4,0.4,0.0
2020-08-28 14:45:00,-0.1,,0.4,0.4,1.0
2020-08-14 14:45:00,0.4,0.4,0.1,0.1,0.0
2020-07-31 14:45:00,0.4,-0.1,0.1,-0.1,1.0
2020-07-16 14:45:00,0.1,-0.1,0.1,0.1,0.0
2020-06-30 14:45:00,-0.1,,0.1,0.0,1.0
2020-06-12 14:45:00,0.1,0.0,0.0,0.0,0.0
2020-05-29 14:45:00,0.0,0.0,0.0,0.1,1.0
2020-05-15 14:45:00,0.0,,-0.1,-0.1,0.0
2020-04-30 14:45:00,0.1,,0.1,0.0,1.0
2020-04-15 14:45:00,-0.1,0.0,0.0,0.0,0.0
2020-03-31 14:45:00,0.0,0.0,0.0,0.0,1.0
2020-03-13 15:45:00,0.0,0.0,-0.4,-0.4,0.0
2020-02-28 15:45:00,0.0,0.0,-0.4,-0.4,1.0
2020-02-20 15:45:00,-0.4,-0.4,0.4,0.5,0.0
2020-01-31 15:45:00,-0.4,,0.4,1.0,1.0
2020-01-15 15:45:00,0.5,0.4,-0.1,-0.1,0.0
2020-01-03 15:45:00,1.0,,0.1,-0.1,1.0
2019-12-12 15:45:00,-0.1,0.1,0.0,0.0,0.0
2019-11-29 15:45:00,-0.1,,0.0,-0.1,1.0
2019-11-14 15:45:00,0.0,-0.1,-0.3,-0.3,0.0
2019-10-31 15:45:00,-0.1,0.1,-0.3,-0.3,1.0
2019-10-15 14:45:00,-0.3,-0.3,0.5,0.5,0.0
2019-09-27 14:45:00,-0.3,-0.2,0.5,0.5,1.0
2019-09-12 14:45:00,0.5,0.5,-0.2,-0.2,0.0
2019-08-30 14:45:00,0.5,,-0.2,-0.2,1.0
2019-08-14 14:45:00,-0.2,-0.2,0.2,0.3,0.0
2019-07-31 14:45:00,-0.2,-0.3,0.2,0.2,1.0
2019-07-11 14:45:00,0.3,0.2,0.2,0.8,0.0
2019-06-28 14:45:00,0.2,0.0,0.8,0.2,1.0
2019-06-14 14:45:00,0.8,0.2,0.3,0.3,0.0
2019-05-29 14:45:00,0.2,0.3,0.3,0.2,1.0
2019-05-15 14:45:00,0.3,0.2,0.2,0.8,0.0
2019-04-30 14:45:00,0.2,0.3,0.8,0.8,1.0
2019-04-11 14:45:00,0.8,0.8,0.0,0.1,0.0
2019-03-29 15:45:00,0.8,0.9,0.0,0.0,1.0
2019-03-14 15:45:00,0.1,0.0,0.0,-0.5,0.0
2019-02-28 15:45:00,0.0,0.4,-0.4,-0.5,1.0
2019-02-21 15:45:00,-0.5,-0.5,-0.5,0.0,0.0
2019-01-31 15:45:00,-0.5,-0.5,0.0,0.0,1.0
2019-01-15 15:45:00,0.0,0.0,0.0,-0.2,0.0
2019-01-04 15:45:00,0.0,0.1,-0.2,-0.2,1.0
2018-12-13 15:45:00,-0.2,-0.2,0.1,0.1,0.0
2018-11-30 15:45:00,-0.2,-0.2,0.1,0.1,1.0
2018-11-14 15:45:00,0.1,0.1,0.1,-0.2,0.0
2018-10-31 15:45:00,0.1,0.1,-0.2,-0.2,1.0
2018-10-11 14:45:00,-0.2,-0.2,0.5,0.5,0.0
2018-09-28 14:45:00,-0.2,-0.1,0.5,0.5,1.0
2018-09-13 14:45:00,0.5,0.5,0.5,-0.1,0.0
2018-08-31 14:45:00,0.5,0.5,-0.1,-0.1,1.0
2018-08-14 14:45:00,-0.1,-0.1,-0.1,0.0,0.0
2018-07-31 14:45:00,-0.1,-0.2,0.0,0.1,1.0
2018-07-12 14:45:00,0.0,0.1,0.1,0.4,0.0
2018-06-29 14:45:00,0.1,0.1,0.4,0.4,1.0
2018-06-14 14:45:00,0.4,0.4,0.4,0.2,0.0
2018-05-31 14:45:00,0.4,0.2,0.2,0.1,1.0
2018-05-15 14:45:00,0.2,0.1,0.1,1.0,0.0
2018-04-27 14:45:00,0.1,0.1,1.0,1.0,1.0
2018-04-12 14:45:00,1.0,1.0,1.0,0.0,0.0
2018-03-30 14:45:00,1.0,0.8,0.0,-0.1,1.0
2018-03-15 15:45:00,0.0,-0.1,-0.1,-0.1,0.0
2018-02-28 15:45:00,-0.1,0.3,-0.1,-0.1,1.0
2018-02-22 15:45:00,-0.1,-0.1,-0.1,0.3,0.0
2018-01-31 15:45:00,-0.1,-0.3,0.3,0.3,1.0
2018-01-12 15:45:00,0.3,0.3,0.1,0.1,0.0
2018-01-05 15:45:00,0.3,0.3,0.1,0.1,1.0
2017-12-14 15:45:00,0.1,0.1,0.1,0.1,0.0
2017-11-30 15:45:00,0.1,0.1,0.1,0.1,1.0
2017-11-15 15:45:00,0.1,0.1,0.1,-0.2,0.0
2017-10-31 15:45:00,0.1,0.1,-0.2,-0.1,1.0
2017-10-12 14:45:00,-0.2,-0.1,-0.1,0.5,0.0
2017-09-29 14:45:00,-0.1,0.2,0.5,0.5,1.0
2017-09-14 14:45:00,0.5,0.5,0.5,-0.3,0.0
2017-08-31 14:45:00,0.5,0.5,-0.3,-0.3,1.0
2017-08-11 14:45:00,-0.3,-0.3,-0.3,0.0,0.0
2017-07-28 14:45:00,-0.3,-0.4,0.0,0.0,1.0
2017-07-13 14:45:00,0.0,0.0,0.0,0.0,0.0
2017-06-30 14:45:00,0.0,0.0,0.0,0.1,1.0
2017-06-15 14:45:00,0.0,0.1,0.1,0.1,0.0
2017-05-31 14:45:00,0.1,0.2,0.1,0.1,1.0
2017-05-16 14:45:00,0.1,0.1,0.1,0.6,0.0
2017-04-28 14:45:00,0.1,0.1,0.6,0.6,1.0
2017-04-13 14:45:00,0.6,0.6,0.6,0.1,0.0
2017-03-31 14:45:00,0.6,0.7,0.1,0.1,1.0
2017-03-15 15:45:00,0.1,0.1,0.1,-0.2,0.0
2017-02-28 15:45:00,0.1,0.4,-0.2,-0.2,1.0
2017-02-21 15:45:00,-0.2,-0.2,-0.2,0.3,0.0
2017-01-31 15:45:00,-0.2,-0.5,0.3,0.3,1.0
2017-01-12 15:45:00,0.3,0.3,0.3,0.0,0.0
2017-01-03 15:45:00,0.3,0.2,0.0,0.0,1.0
2016-12-14 15:45:00,0.0,0.0,0.0,0.0,0.0
2016-11-30 15:45:00,0.0,-0.1,0.0,0.0,1.0
2016-11-15 15:45:00,0.0,0.0,0.0,-0.2,0.0
2016-10-28 14:45:00,0.0,0.2,-0.2,-0.2,1.0
2016-10-12 14:45:00,-0.2,-0.2,-0.2,0.3,0.0
2016-09-30 14:45:00,-0.2,-0.3,0.3,0.3,1.0
2016-09-14 14:45:00,0.3,0.3,0.3,-0.4,0.0
2016-08-31 14:45:00,0.3,0.4,-0.4,-0.4,1.0
2016-08-11 14:45:00,-0.4,-0.4,-0.4,0.1,0.0
2016-07-29 14:45:00,-0.4,-0.3,0.1,0.2,1.0
2016-07-13 14:45:00,0.1,0.2,0.2,0.4,0.0
2016-06-30 14:45:00,0.2,0.1,0.4,0.4,1.0
2016-06-15 14:45:00,0.4,0.4,0.4,0.1,0.0
2016-05-31 14:45:00,0.4,0.3,0.1,0.1,1.0
2016-05-12 14:45:00,0.1,0.1,0.7,0.7,0.0
2016-04-29 14:45:00,0.1,0.1,0.7,0.7,1.0
2016-04-13 14:45:00,0.7,0.7,0.7,0.3,0.0
2016-03-31 14:45:00,0.7,0.5,0.3,0.2,1.0
2016-03-15 15:45:00,0.3,0.2,0.2,-1.0,0.0
2016-02-26 15:45:00,0.2,0.4,-1.0,-1.0,1.0
2016-02-18 15:45:00,-1.0,-1.0,0.2,0.2,0.0
2016-01-29 15:45:00,-1.0,-0.9,0.2,,1.0
2016-01-13 15:45:00,0.2,0.1,-0.2,-0.2,0.0
2015-12-10 15:45:00,-0.2,0.0,0.1,0.1,0.0
2015-11-12 15:45:00,0.1,0.1,-0.4,-0.4,0.0
2015-10-14 14:45:00,-0.4,-0.4,0.3,0.3,0.0
