datetime,FR_GPMI_MoM_Actual,FR_GPMI_MoM_Srv_Med,FR_GPMI_MoM_Revised,FR_GPMI_MoM_Prior,Is_P
2023-09-05 15:50:00,None,None,46.6,46.6,0
2023-08-23 15:15:00,46.6,47.5,46.6,46.6,1
2023-08-03 15:50:00,46.6,46.6,47.2,47.2,0
2023-07-24 15:15:00,46.6,47.8,47.2,47.3,1
2023-07-05 15:50:00,47.2,47.3,51.2,51.2,0
2023-06-23 15:15:00,47.3,51.0,51.2,51.4,1
2023-06-05 15:50:00,51.2,51.4,52.4,52.4,0
2023-05-23 15:15:00,51.4,52.3,52.4,53.8,1
2023-05-04 15:50:00,52.4,53.8,52.7,52.7,0
2023-04-21 15:15:00,53.8,52.7,52.7,54.0,1
2023-04-05 15:50:00,52.7,54.0,51.7,51.7,0
2023-03-24 16:15:00,54.0,51.8,51.7,51.6,1
2023-03-03 16:50:00,51.7,51.6,49.1,49.1,0
2023-02-21 16:15:00,51.6,50.1,49.1,49.0,1
2023-02-03 16:50:00,49.1,49.0,49.1,49.1,0
2023-01-24 16:15:00,49.0,49.5,49.1,48.0,1
2023-01-04 16:50:00,49.1,48.0,48.7,48.7,0
2022-12-16 16:15:00,48.0,48.9,48.7,48.8,1
2022-12-05 16:50:00,48.7,48.7,50.2,50.2,0
2022-11-23 16:15:00,48.8,49.5,50.2,50.0,1
2022-11-04 16:50:00,50.2,50.0,51.2,51.2,0
2022-10-24 15:15:00,50.0,50.3,51.2,51.2,1
2022-10-05 15:50:00,51.2,51.2,50.4,50.4,0
2022-09-23 15:15:00,51.2,49.8,50.4,49.8,1
2022-09-05 15:50:00,50.4,49.8,51.7,51.7,0
2022-08-23 15:15:00,49.8,50.8,51.7,50.6,1
2022-08-03 15:50:00,51.7,50.6,52.5,52.5,0
2022-07-22 15:15:00,50.6,51.8,52.5,52.8,1
2022-07-05 15:50:00,52.5,52.8,56.1,57.0,0
2022-06-23 15:15:00,52.8,56.0,57.0,57.1,1
2022-06-03 15:50:00,57.0,57.1,57.1,57.6,0
2022-05-24 15:15:00,57.1,57.0,57.6,57.5,1
2022-05-04 15:50:00,57.6,57.5,56.3,56.3,0
2022-04-22 15:15:00,57.5,55.0,56.3,56.2,1
2022-04-05 15:50:00,56.3,56.2,55.5,55.5,0
2022-03-24 16:15:00,56.2,54.3,55.5,57.4,1
2022-03-03 16:50:00,55.5,57.4,52.7,52.7,0
2022-02-21 16:15:00,57.4,53.1,52.7,52.7,1
2022-02-03 16:50:00,52.7,52.7,55.8,55.8,0
2022-01-24 16:15:00,52.7,54.5,55.8,55.6,1
2022-01-05 16:50:00,55.8,55.6,56.1,56.1,0
2021-12-16 16:15:00,55.6,55.0,56.1,56.3,1
2021-12-03 16:50:00,56.1,56.3,54.7,54.7,0
2021-11-23 16:15:00,56.3,53.6,54.7,54.7,1
2021-11-04 16:50:00,54.7,54.7,55.3,55.3,0
2021-10-22 15:15:00,54.7,54.7,55.3,55.1,1
2021-10-05 15:50:00,55.3,55.1,55.9,55.9,0
2021-09-23 15:15:00,55.1,55.8,55.9,55.9,1
2021-09-03 15:50:00,55.9,55.9,56.6,56.6,0
2021-08-23 15:15:00,55.9,56.5,56.6,56.8,1
2021-08-04 15:50:00,56.6,56.8,57.4,57.4,0
2021-07-23 15:15:00,56.8,58.5,57.4,57.1,1
2021-07-05 15:50:00,57.4,57.1,57.0,57.0,0
2021-06-23 15:15:00,57.1,59.0,57.0,57.0,1
2021-06-03 15:50:00,57.0,57.0,57.0,51.6,0
2021-05-21 15:15:00,57.0,53.7,51.6,51.7,1
2021-05-05 15:50:00,51.6,51.7,50.0,50.0,0
2021-04-23 15:15:00,51.7,48.8,50.0,49.5,1
2021-04-07 15:50:00,50.0,49.5,47.0,47.0,0
2021-03-24 16:15:00,49.5,47.2,47.0,45.2,1
2021-03-03 16:50:00,47.0,45.2,47.7,47.7,0
2021-02-19 16:15:00,45.2,47.5,47.7,47.0,1
2021-02-03 16:50:00,47.7,47.0,47.0,49.5,0
2021-01-22 16:15:00,47.0,49.0,49.5,49.6,1
2021-01-06 16:50:00,49.5,49.6,40.6,40.6,0
2020-12-16 16:15:00,49.6,42.9,40.6,39.9,1
2020-12-03 16:50:00,40.6,39.9,47.5,47.5,0
2020-11-23 16:15:00,39.9,34.0,47.5,47.3,1
2020-11-04 16:50:00,47.5,47.3,48.5,48.5,0
2020-10-23 15:15:00,47.3,48.0,48.5,48.5,1
2020-10-05 15:50:00,48.5,48.5,51.6,51.6,0
2020-09-23 15:15:00,48.5,51.9,51.6,51.7,1
2020-09-03 15:50:00,51.6,51.7,57.3,57.3,0
2020-08-21 15:15:00,51.7,57.2,57.3,57.6,1
2020-08-05 15:50:00,57.3,57.6,51.7,51.7,0
2020-07-24 15:15:00,57.6,53.5,51.7,51.3,1
2020-07-03 15:50:00,51.7,51.3,32.1,32.1,0
2020-06-23 15:15:00,51.3,46.3,32.1,30.5,1
