datetime,GE_MPMI_MoM_Actual,GE_MPMI_MoM_Srv_Med,GE_MPMI_MoM_Revised,GE_MPMI_MoM_Prior,Is_P
2023-09-01 15:55:00,None,39.1,38.8,38.8,0
2023-08-23 15:30:00,39.1,38.7,38.8,38.8,1
2023-08-01 15:55:00,38.8,38.8,40.6,40.6,0
2023-07-24 15:30:00,38.8,41.0,40.6,41.0,1
2023-07-03 15:55:00,40.6,41.0,43.2,43.2,0
2023-06-23 15:30:00,41.0,43.5,43.2,42.9,1
2023-06-01 15:55:00,43.2,42.9,44.5,44.5,0
2023-05-23 15:30:00,42.9,45.0,44.5,44.0,1
2023-05-02 15:55:00,44.5,44.0,44.7,44.7,0
2023-04-21 15:30:00,44.0,45.7,44.7,44.4,1
2023-04-03 15:55:00,44.7,44.4,46.3,46.3,0
2023-03-24 16:30:00,44.4,47.0,46.3,46.5,1
2023-03-01 16:55:00,46.3,46.5,46.5,47.3,0
2023-02-21 16:30:00,46.5,47.8,47.3,47.0,1
2023-02-01 16:55:00,47.3,47.0,47.1,47.1,0
2023-01-24 16:30:00,47.0,47.9,47.1,47.4,1
2023-01-02 16:55:00,47.1,47.4,46.2,46.2,0
2022-12-16 16:30:00,47.4,46.3,46.2,46.7,1
2022-12-01 16:55:00,46.2,46.7,45.1,45.1,0
2022-11-23 16:30:00,46.7,45.0,45.1,45.7,1
2022-11-02 16:55:00,45.1,45.7,47.8,47.8,0
2022-10-24 15:30:00,45.7,47.0,47.8,48.3,1
2022-10-03 15:55:00,47.8,48.3,49.1,49.1,0
2022-09-23 15:30:00,48.3,48.3,49.1,49.8,1
2022-09-01 15:55:00,49.1,49.8,49.3,49.3,0
2022-08-23 15:30:00,49.8,48.2,49.3,49.2,1
2022-08-01 15:55:00,49.3,49.2,52.0,52.0,0
2022-07-22 15:30:00,49.2,50.6,52.0,52.0,1
2022-07-01 15:55:00,52.0,52.0,54.8,54.8,0
2022-06-23 15:30:00,52.0,54.0,54.8,54.7,1
2022-06-01 15:55:00,54.8,54.7,54.6,54.6,0
2022-05-24 15:30:00,54.7,54.0,54.6,54.1,1
2022-05-02 15:55:00,54.6,54.1,56.9,56.9,0
2022-04-22 15:30:00,54.1,54.5,56.9,57.6,1
2022-04-01 15:55:00,56.9,57.6,57.6,58.4,0
2022-03-24 16:30:00,57.6,55.8,58.4,58.5,1
2022-03-01 16:55:00,58.4,58.5,59.8,59.8,0
2022-02-21 16:30:00,58.5,59.5,59.8,60.5,1
2022-02-01 16:55:00,59.8,60.5,57.4,57.4,0
2022-01-24 16:30:00,60.5,57.0,57.4,57.9,1
2022-01-03 16:55:00,57.4,57.9,57.4,57.4,0
2021-12-16 16:30:00,57.9,56.8,57.4,57.6,1
2021-12-01 16:55:00,57.4,57.6,57.6,57.8,0
2021-11-23 16:30:00,57.6,56.9,57.8,58.2,1
2021-11-02 16:55:00,57.8,58.2,58.4,58.4,0
2021-10-22 15:30:00,58.2,56.5,58.4,58.5,1
2021-10-01 15:55:00,58.4,58.5,62.6,62.6,0
2021-09-23 15:30:00,58.5,61.5,62.6,62.7,1
2021-09-01 15:55:00,62.6,62.7,65.9,65.9,0
2021-08-23 15:30:00,62.7,65.0,65.9,65.6,1
2021-08-02 15:55:00,65.9,65.6,65.1,65.1,0
2021-07-23 15:30:00,65.6,64.2,65.1,64.9,1
2021-07-01 15:55:00,65.1,64.9,64.4,64.4,0
2021-06-23 15:30:00,64.9,63.0,64.4,64.0,1
2021-06-01 15:55:00,64.4,64.0,66.2,66.2,0
2021-05-21 15:30:00,64.0,65.9,66.2,66.4,1
2021-05-03 15:55:00,66.2,66.4,66.4,66.6,0
2021-04-23 15:30:00,66.4,65.8,66.6,66.6,1
2021-04-01 15:55:00,66.6,66.6,60.7,60.7,0
2021-03-24 16:30:00,66.6,60.8,60.7,60.6,1
2021-03-01 16:55:00,60.7,60.6,57.1,57.1,0
2021-02-19 16:30:00,60.6,56.5,57.1,57.0,1
2021-02-01 16:55:00,57.1,57.0,58.3,58.3,0
2021-01-22 16:30:00,57.0,57.5,58.3,58.6,1
2021-01-04 16:55:00,58.3,58.6,58.6,57.8,0
2020-12-16 16:30:00,58.6,56.4,57.8,57.9,1
2020-12-01 16:55:00,57.8,57.9,57.9,58.2,0
2020-11-23 16:30:00,57.9,56.5,58.2,58.0,1
2020-11-02 16:55:00,58.2,58.0,58.0,56.4,0
2020-10-23 15:30:00,58.0,55.1,56.4,56.6,1
2020-10-01 15:55:00,56.4,56.6,52.2,52.2,0
2020-09-23 15:30:00,56.6,52.5,52.2,53.0,1
2020-09-01 15:55:00,52.2,53.0,51.0,51.0,0
