datetime,JP_GDP_QoQ_Actual,JP_GDP_QoQ_Srv_Med,JP_GDP_QoQ_Revised,JP_GDP_QoQ_Prior,Is_P
2023-09-08 07:50:00,None,None,1.5,0.7,0.0
2023-08-15 07:50:00,1.5,0.8,0.9,0.4,1.0
2023-06-08 07:50:00,0.7,0.4,0.1,0.0,0.0
2023-05-17 07:50:00,0.4,0.1,0.0,0.2,1.0
2023-03-09 07:50:00,0.0,0.2,-0.3,-0.2,0.0
2023-02-14 07:50:00,0.2,0.5,-0.3,-0.3,1.0
2022-12-08 07:50:00,-0.2,-0.3,1.1,0.9,0.0
2022-11-15 07:50:00,-0.3,0.3,1.1,0.5,1.0
2022-09-08 07:50:00,0.9,0.7,0.5,-0.1,0.0
2022-08-15 07:50:00,0.5,0.6,0.0,-0.2,1.0
2022-06-08 07:50:00,-0.1,-0.3,-0.2,1.1,0.0
2022-05-18 07:50:00,-0.2,-0.4,0.9,1.3,1.0
2022-03-09 07:50:00,1.1,1.4,1.3,-0.9,0.0
2022-02-15 07:50:00,1.3,1.4,-0.9,-0.8,1.0
2021-12-08 07:50:00,-0.9,-0.8,0.5,0.5,0.0
2021-11-15 07:50:00,-0.8,-0.2,0.4,0.3,1.0
2021-09-08 07:50:00,0.5,0.4,-0.9,-1.0,0.0
2021-08-16 07:50:00,0.3,0.2,-1.0,-1.3,1.0
2021-06-08 07:50:00,-1.0,-1.2,2.8,2.8,0.0
2021-05-18 07:50:00,-1.3,-1.2,2.8,3.0,1.0
2021-03-09 07:50:00,2.8,3.0,5.3,5.3,0.0
2021-02-15 07:50:00,3.0,2.3,5.3,5.0,1.0
2020-12-08 07:50:00,5.3,5.0,-7.9,-7.9,0.0
2020-11-16 07:50:00,5.0,4.4,-8.2,-7.8,1.0
2020-09-08 07:50:00,-7.9,-8.1,-0.6,-0.6,0.0
2020-08-17 07:50:00,-7.8,-7.6,-0.6,-0.6,1.0
2020-08-03 07:50:00,-0.6,-1.1,-0.6,-0.9,1.0
2020-06-08 07:50:00,-0.6,-0.5,-0.9,-1.8,0.0
2020-05-18 07:50:00,-0.9,-1.2,-1.9,-1.6,1.0
2020-03-09 07:50:00,-1.8,-1.7,-1.6,0.4,0.0
2020-02-17 07:50:00,-1.6,-0.9,0.1,0.1,1.0
2019-12-09 07:50:00,0.4,0.2,0.1,0.3,0.0
2019-11-14 07:50:00,0.1,0.2,0.4,0.4,1.0
2019-09-09 07:50:00,0.3,0.3,0.4,0.6,0.0
2019-08-09 07:50:00,0.4,0.1,0.6,0.5,1.0
2019-06-10 07:50:00,0.6,0.5,0.5,0.5,0.0
2019-05-20 07:50:00,0.5,-0.1,0.4,0.3,1.0
2019-03-08 07:50:00,0.5,0.4,0.3,-0.6,0.0
2019-02-14 07:50:00,0.3,0.4,-0.7,-0.3,1.0
2018-12-10 07:50:00,-0.6,-0.5,-0.3,0.7,0.0
2018-11-14 07:50:00,-0.3,-0.3,0.8,0.5,1.0
2018-09-10 07:50:00,0.7,0.7,0.5,-0.2,0.0
2018-08-10 07:50:00,0.5,0.3,-0.2,-0.2,1.0
2018-06-08 07:50:00,-0.2,-0.1,-0.2,0.4,0.0
2018-05-16 07:50:00,-0.2,0.0,0.1,0.1,1.0
2018-03-08 07:50:00,0.4,0.2,0.1,0.6,0.0
2018-02-14 07:50:00,0.1,0.2,0.6,0.3,1.0
2017-12-08 07:50:00,0.6,0.4,0.3,0.6,0.0
2017-11-15 07:50:00,0.3,0.3,0.6,1.0,1.0
2017-09-08 07:50:00,0.6,0.7,1.0,0.3,0.0
2017-08-14 07:50:00,1.0,0.6,0.4,0.5,1.0
2017-06-08 07:50:00,0.3,0.6,0.5,0.3,0.0
2017-05-18 07:50:00,0.5,0.4,0.3,0.2,1.0
2017-03-08 07:50:00,0.3,0.4,0.2,0.3,0.0
2017-02-13 07:50:00,0.2,0.3,0.3,0.5,1.0
2016-12-08 07:50:00,0.3,0.6,0.5,0.2,0.0
2016-11-14 07:50:00,0.5,0.2,0.2,0.0,1.0
2016-09-08 07:50:00,0.2,0.0,0.0,0.5,0.0
2016-08-15 07:50:00,0.0,0.2,0.5,0.4,1.0
2016-06-08 07:50:00,0.5,0.5,0.4,-0.3,0.0
2016-05-18 07:50:00,0.4,0.1,-0.4,-0.4,1.0
2016-03-08 07:50:00,-0.3,-0.4,-0.4,0.3,0.0
2016-02-15 07:50:00,-0.4,-0.3,0.3,-0.2,1.0
2015-12-08 07:50:00,0.3,0.0,-0.1,-0.3,0.0
2015-11-16 07:50:00,-0.2,-0.1,-0.3,-0.4,1.0
2015-09-08 07:50:00,-0.3,-0.4,-0.4,1.0,0.0
2015-08-17 07:50:00,-0.4,-0.5,1.1,0.6,1.0
2015-06-08 07:50:00,1.0,0.7,0.6,0.4,0.0
2015-05-20 07:50:00,0.6,0.4,0.3,0.6,1.0
2015-03-09 07:50:00,0.4,0.6,0.6,-0.5,0.0
2015-02-16 07:50:00,0.6,0.9,-0.5,-0.4,1.0
2014-12-08 07:50:00,-0.5,-0.1,-0.4,-1.8,0.0
2014-11-17 07:50:00,-0.4,0.5,-1.9,-1.7,1.0
2014-09-08 07:50:00,-1.8,-1.8,-1.7,1.6,0.0
2014-08-13 07:50:00,-1.7,-1.8,1.5,1.5,1.0
2014-06-09 07:50:00,1.6,1.4,1.5,0.2,0.0
2014-05-15 07:50:00,1.5,1.0,0.1,0.3,1.0
