datetime,JP_PMI_MoM_Actual,JP_PMI_MoM_Srv_Med,JP_PMI_MoM_Revised,JP_PMI_MoM_Prior,Is_P
2023-09-05 08:30:00,None,None,54.3,53.8,0.0
2023-08-23 08:30:00,54.3,53.9,53.8,53.9,1.0
2023-08-03 08:30:00,53.8,53.9,54.0,54.0,0.0
2023-07-24 08:30:00,53.9,None,54.0,54.2,1.0
2023-07-05 08:30:00,54.0,54.2,55.9,55.9,0.0
2023-06-23 08:30:00,54.2,56.2,55.9,56.3,1.0
2023-06-05 08:30:00,55.9,56.3,55.4,55.4,0.0
2023-05-23 08:30:00,56.3,55.2,55.4,54.9,1.0
2023-05-08 08:30:00,55.4,54.9,55.0,55.0,0.0
2023-04-21 08:30:00,54.9,55.1,55.0,54.2,1.0
2023-04-05 08:30:00,55.0,54.2,54.2,54.0,0.0
2023-03-24 08:30:00,54.2,None,54.0,53.6,1.0
2023-03-03 08:30:00,54.0,53.6,52.3,52.3,0.0
2023-02-21 08:30:00,53.6,51.5,52.3,52.4,1.0
2023-02-03 08:30:00,52.3,52.4,51.1,51.1,0.0
2023-01-24 08:30:00,52.4,51.4,51.1,51.7,1.0
2023-01-06 08:30:00,51.1,51.7,50.3,50.3,0.0
2022-12-16 08:30:00,51.7,51.1,50.3,50.0,1.0
2022-12-05 08:30:00,50.3,50.0,50.0,53.2,0.0
2022-11-24 08:30:00,50.0,,53.2,53.0,1.0
2022-11-04 08:30:00,53.2,,53.0,52.2,0.0
2022-10-24 08:30:00,53.0,,52.2,51.9,1.0
2022-10-05 08:30:00,52.2,,51.9,49.5,0.0
2022-09-26 08:30:00,51.9,,49.5,49.2,1.0
2022-09-05 08:30:00,49.5,49.2,50.3,50.3,0.0
2022-08-23 08:30:00,49.2,,50.3,51.2,1.0
2022-08-03 08:30:00,50.3,,54.0,54.0,0.0
2022-07-22 08:30:00,51.2,,54.0,54.2,1.0
2022-07-05 08:30:00,54.0,,54.2,52.6,0.0
2022-06-23 08:30:00,54.2,,52.6,51.7,1.0
2022-06-03 08:30:00,52.6,51.7,50.7,50.7,0.0
2022-05-24 08:30:00,51.7,,50.7,50.5,1.0
2022-05-09 08:30:00,50.7,,50.5,49.4,0.0
2022-04-22 08:30:00,50.5,,49.4,48.7,1.0
2022-04-05 08:30:00,49.4,48.7,44.2,44.2,0.0
2022-03-24 08:30:00,48.7,,44.2,42.7,1.0
2022-03-03 08:30:00,44.2,42.7,47.6,47.6,0.0
2022-02-21 08:30:00,42.7,,47.6,46.6,1.0
2022-02-03 08:30:00,47.6,,52.1,52.1,0.0
2022-01-24 08:30:00,46.6,,52.1,51.1,1.0
2022-01-06 08:30:00,52.1,51.1,53.0,53.0,0.0
2021-12-16 08:30:00,51.1,,53.0,52.1,1.0
2021-12-03 08:30:00,53.0,,50.7,50.7,0.0
