datetime,NZ_CPI_QoQ_Actual,NZ_CPI_QoQ_Srv_Med,NZ_CPI_QoQ_Revised,NZ_CPI_QoQ_Prior
2023-07-19 06:45:00,1.1,1.0,1.2,1.2
2023-04-20 06:45:00,1.2,1.7,1.4,1.4
2023-01-25 05:45:00,1.4,1.3,2.2,2.2
2022-10-18 05:45:00,2.2,1.6,1.7,1.7
2022-07-18 06:45:00,1.7,1.5,1.8,1.8
2022-04-21 06:45:00,1.8,2.0,1.4,1.4
2022-01-27 05:45:00,1.4,1.3,2.2,2.2
2021-10-18 05:45:00,2.2,1.4,1.3,1.3
2021-07-16 06:45:00,1.3,0.8,0.8,0.8
2021-04-21 06:45:00,0.8,0.7,0.5,0.5
2021-01-22 05:45:00,0.5,0.1,0.7,0.7
2020-10-23 05:45:00,0.7,0.9,-0.5,-0.5
2020-07-16 06:45:00,-0.5,-0.5,0.8,0.8
2020-04-20 06:45:00,0.8,0.4,0.5,0.5
2020-01-24 05:45:00,0.5,0.4,0.7,0.7
2019-10-16 05:45:00,0.7,0.6,0.6,0.6
2019-07-16 06:45:00,0.6,0.6,0.1,0.1
2019-04-17 06:45:00,0.1,0.3,0.1,0.1
2019-01-23 05:45:00,0.1,0.0,0.9,0.9
2018-10-16 05:45:00,0.9,0.7,0.4,0.4
2018-07-17 06:45:00,0.4,0.5,0.5,0.5
2018-04-19 06:45:00,0.5,0.4,0.1,0.1
2018-01-25 05:45:00,0.1,0.4,0.5,0.5
2017-10-17 05:45:00,0.5,0.4,0.0,0.0
2017-07-18 06:45:00,0.0,0.2,1.0,1.0
2017-04-20 06:45:00,1.0,0.8,0.4,0.4
2017-01-26 05:45:00,0.4,0.3,0.3,0.2
2016-10-18 05:45:00,0.2,0.0,0.4,0.4
2016-07-18 06:45:00,0.4,0.5,0.2,0.2
2016-04-18 06:45:00,0.2,0.1,-0.5,-0.5
2016-01-20 05:45:00,-0.5,-0.2,0.3,0.3
2015-10-16 05:45:00,0.3,0.2,0.4,0.4
2015-07-16 06:45:00,0.4,0.6,-0.3,-0.3
2015-04-20 06:45:00,-0.3,-0.2,-0.2,-0.2
2015-01-21 05:45:00,-0.2,0.0,0.3,0.3
2014-10-23 05:45:00,0.3,0.5,0.3,0.3
2014-07-16 06:45:00,0.3,0.4,0.3,0.3
2014-04-16 06:45:00,0.3,0.5,0.1,0.1
2014-01-21 05:45:00,0.1,-0.1,0.9,0.9
2013-10-16 05:45:00,0.9,0.9,0.2,0.2
2013-07-16 06:45:00,0.2,0.3,0.4,0.4
2013-04-17 06:45:00,0.4,0.4,-0.2,-0.2
2013-01-18 05:45:00,-0.2,0.1,0.3,0.3
2012-10-16 05:45:00,0.3,0.6,0.3,0.3
2012-07-17 06:45:00,0.3,0.5,0.5,0.5
2012-04-19 06:45:00,0.5,0.6,-0.3,-0.3
2012-01-19 05:45:00,-0.3,0.4,0.4,0.4
2011-10-25 05:45:00,0.4,0.7,1.0,1.0
2011-07-18 06:45:00,1.0,0.8,0.8,0.8
2011-04-18 06:45:00,0.8,1.0,2.3,2.3
2011-01-20 05:45:00,2.3,2.3,1.1,1.1
2010-10-18 05:45:00,1.1,1.0,0.2,0.3
2010-07-16 06:45:00,0.3,0.5,0.4,0.4
2010-04-20 06:45:00,0.4,0.6,-0.2,-0.2
2010-01-20 05:45:00,-0.2,0.0,1.3,1.3
2009-10-15 05:45:00,1.3,0.8,0.6,0.6
2009-07-16 06:45:00,0.6,0.5,0.3,0.3
2009-04-17 06:45:00,0.3,0.3,-0.5,-0.5
2009-01-20 05:45:00,-0.5,-0.4,1.5,1.5
2008-10-21 05:45:00,1.5,1.5,1.6,1.6
2008-07-15 06:45:00,1.6,1.4,0.7,0.7
2008-04-15 06:45:00,0.7,0.9,1.2,
