datetime,NZ_CPI_YoY_Actual,NZ_CPI_YoY_Srv_Med,NZ_CPI_YoY_Revised,NZ_CPI_YoY_Prior
2023-07-19 06:45:00,6.0,5.9,6.7,6.7
2023-04-20 06:45:00,6.7,7.1,7.2,7.2
2023-01-25 05:45:00,7.2,7.1,7.2,7.2
2022-10-18 05:45:00,7.2,6.6,7.3,7.3
2022-07-18 06:45:00,7.3,7.1,6.9,6.9
2022-04-21 06:45:00,6.9,7.1,5.9,5.9
2022-01-27 05:45:00,5.9,5.7,4.9,4.9
2021-10-18 05:45:00,4.9,4.1,3.3,3.3
2021-07-16 06:45:00,3.3,2.8,1.5,1.5
2021-04-21 06:45:00,1.5,1.4,1.4,1.4
2021-01-22 05:45:00,1.4,1.0,1.4,1.4
2020-10-23 05:45:00,1.4,1.7,1.5,1.5
2020-07-16 06:45:00,1.5,1.5,2.5,2.5
2020-04-20 06:45:00,2.5,2.1,1.9,1.9
2020-01-24 05:45:00,1.9,1.8,1.5,1.5
2019-10-16 05:45:00,1.5,1.4,1.7,1.7
2019-07-16 06:45:00,1.7,1.7,1.5,1.5
2019-04-17 06:45:00,1.5,1.7,1.9,1.9
2019-01-23 05:45:00,1.9,1.8,1.9,1.9
2018-10-16 05:45:00,1.9,1.7,1.5,1.5
2018-07-17 06:45:00,1.5,1.6,1.1,1.1
2018-04-19 06:45:00,1.1,1.1,1.6,1.6
2018-01-25 05:45:00,1.6,1.9,1.9,1.9
2017-10-17 05:45:00,1.9,1.8,1.7,1.7
2017-07-18 06:45:00,1.7,1.9,2.2,2.2
2017-04-20 06:45:00,2.2,2.0,1.3,1.3
2017-01-26 05:45:00,1.3,1.2,0.4,0.2
2016-10-18 05:45:00,0.2,0.1,0.4,0.4
2016-07-18 06:45:00,0.4,0.5,0.4,0.4
2016-04-18 06:45:00,0.4,0.4,0.1,0.1
2016-01-20 05:45:00,0.1,0.4,0.4,0.4
2015-10-16 05:45:00,0.4,0.3,0.4,0.3
2015-07-16 06:45:00,0.3,0.4,0.1,0.1
2015-04-20 06:45:00,0.1,0.2,0.8,0.8
2015-01-21 05:45:00,0.8,0.9,1.0,1.0
2014-10-23 05:45:00,1.0,1.3,1.6,1.6
2014-07-16 06:45:00,1.6,1.8,1.5,1.5
2014-04-16 06:45:00,1.5,1.7,1.6,1.6
2014-01-21 05:45:00,1.6,1.5,1.4,
