datetime,RBNZ_RATE_Actual,RBNZ_RATE_Srv_Med,RBNZ_RATE_Revised,RBNZ_RATE_Prior
2023-08-16 10:00:00,5.50,5.50,5.50,5.50
2023-07-12 10:00:00,5.50,5.50,5.50,5.50
2023-05-24 10:00:00,5.50,5.50,5.25,5.25
2023-04-05 10:00:00,5.25,5.00,4.75,4.75
2023-02-22 09:00:00,4.75,4.75,4.25,4.25
2022-11-23 09:00:00,4.25,4.25,3.50,3.50
2022-10-05 09:00:00,3.50,3.50,3.00,3.00
2022-08-17 10:00:00,3.00,3.00,2.50,2.50
2022-07-13 10:00:00,2.50,2.50,2.00,2.00
2022-05-25 10:00:00,2.00,2.00,1.50,1.50
2022-04-13 10:00:00,1.50,1.25,1.00,1.00
2022-02-23 09:00:00,1.00,1.00,0.75,0.75
2021-11-24 09:00:00,0.75,0.75,0.5,0.5
2021-10-06 09:00:00,0.5,0.5,0.25,0.25
2021-08-18 10:00:00,0.25,0.5,0.25,0.25
2021-07-14 10:00:00,0.25,0.25,0.25,0.25
2021-05-26 10:00:00,0.25,0.25,0.25,0.25
2021-04-14 10:00:00,0.25,0.25,0.25,0.25
2021-02-24 09:00:00,0.25,0.25,0.25,0.25
2020-11-11 09:00:00,0.25,0.25,0.25,0.25
2020-09-23 10:00:00,0.25,0.25,0.25,0.25
2020-08-12 10:00:00,0.25,0.25,0.25,0.25
2020-06-24 10:00:00,0.25,0.25,0.25,0.25
2020-05-13 10:00:00,0.25,0.25,0.25,0.25
2020-03-15 23:00:00,0.25,,1.0,1
2020-02-12 09:00:00,1,1,1.0,1
2019-11-13 09:00:00,1,0.75,1.0,1
2019-09-25 10:00:00,1,1,1.0,1
2019-08-07 10:00:00,1,1.25,1.5,1.5
2019-06-26 10:00:00,1.5,1.5,1.5,1.5
2019-05-08 10:00:00,1.5,1.5,1.75,1.75
2019-03-27 09:00:00,1.75,1.75,1.75,
2019-03-27 04:00:00,,,1.75,1.75
2019-02-13 09:00:00,1.75,1.75,1.75,1.75
2018-11-08 04:00:00,1.75,1.75,1.75,1.75
