datetime,SNB_RATE_Actual,SNB_RATE_Srv_Med,SNB_RATE_Revised,SNB_RATE_Prior
2023-06-22 15:30:00,1.75,1.75,1.50,1.50
2023-03-23 16:30:00,1.50,1.50,1.00,1.00
2022-12-15 16:30:00,1.00,1.00,0.50,0.50
2022-09-22 15:30:00,0.50,0.50,-0.25,-0.25
2022-06-16 15:30:00,-0.25,-0.75,-0.75,-0.75
2022-03-24 16:30:00,-0.75,-0.75,-0.75,-0.75
2021-12-16 16:30:00,-0.75,-0.75,-0.75,-0.75
2021-09-23 15:30:00,-0.75,-0.75,-0.75,-0.75
2021-06-17 15:30:00,-0.75,None,-0.75,-0.75
2021-03-25 16:30:00,-0.75,None,-0.75,-0.75
2020-12-17 16:30:00,-0.75,-0.75,-0.75,-0.75
2020-09-24 15:30:00,-0.75,-0.75,-0.75,-0.75
2020-06-18 15:30:00,-0.75,-0.75,-0.75,-0.75
2020-03-19 16:30:00,-0.75,-0.75,-0.75,-0.75
2019-12-12 16:30:00,-0.75,-0.75,-0.75,-0.75
2019-09-19 15:30:00,-0.75,-0.75,-0.75,-0.75
2019-06-13 15:30:00,-0.75,-0.75,-0.75,-0.75
2019-03-21 16:30:00,-0.75,-0.75,-0.75,-0.75
2018-12-13 16:30:00,-0.75,-0.75,-0.75,-0.75
2018-09-20 15:30:00,-0.75,-0.75,-0.75,-0.75
2018-06-21 15:30:00,-0.75,-0.75,-0.75,-0.75
2018-03-15 16:30:00,-0.75,-0.75,-0.75,-0.75
2017-12-14 16:30:00,-0.75,-0.75,-0.75,-0.75
2017-09-14 15:30:00,-0.75,-0.75,-0.75,-0.75
2017-06-15 15:30:00,-0.75,-0.75,-0.75,-0.75
2017-03-16 16:30:00,-0.75,-0.75,-0.75,-0.75
2016-12-15 16:30:00,-0.75,-0.75,-0.75,-0.75
2016-09-15 15:30:00,-0.75,-0.75,-0.75,-0.75
2016-06-16 15:30:00,-0.75,-0.75,-0.75,-0.75
2016-03-17 16:30:00,-0.75,-0.75,-0.75,-0.75
2015-12-10 16:30:00,-0.75,-0.75,-0.75,-0.75
2015-09-17 15:30:00,-0.75,-0.75,-0.75,-0.75
2015-06-18 15:30:00,-0.75,-0.75,-0.75,-0.75
2015-03-19 16:30:00,-0.75,-0.75,-0.75,-0.75
2015-01-15 17:30:00,-0.75,,-0.25,-0.25
2014-12-18 15:30:00,-0.25,,0.0,0.0
2014-12-11 16:30:00,0.0,0.00,0.0,0.0
2014-09-18 15:30:00,0.0,0.00,0.0,0.0
2014-06-19 15:30:00,0.0,0.00,0.0,0.0
2014-03-20 16:30:00,0.0,0.00,0.0,0.0
2013-12-12 16:30:00,0.0,0.00,0.0,0.0
2013-09-19 15:30:00,0.0,0.00,0.0,0.0
2013-06-20 15:30:00,0.0,0.00,0.0,0.0
2013-03-14 16:30:00,0.0,0.00,0.0,0.0
2012-12-13 16:30:00,0.0,0.00,0.0,0.0
2012-09-13 15:30:00,0.0,0.00,0.0,0.0
2012-06-14 15:30:00,0.0,0.00,0.0,0.0
2012-03-15 16:30:00,0.0,0.00,0.0,0.0
2011-12-15 16:30:00,0.0,0.00,0.0,0.0
2011-09-15 15:30:00,0.0,0.00,0.0,0.0
2011-08-03 15:00:00,0.0,,0.25,0.25
2011-06-16 15:30:00,0.25,0.25,0.25,0.25
2011-03-17 16:30:00,0.25,0.25,0.25,0.25
2010-12-16 16:30:00,0.25,0.25,0.25,0.25
2010-09-16 20:00:00,0.25,0.25,0.25,0.25
2010-06-17 15:30:00,0.25,0.25,0.25,0.25
2010-03-11 21:00:00,0.25,0.25,0.25,0.25
2009-12-10 16:30:00,0.25,0.25,0.25,0.25
2009-09-17 20:00:00,0.25,0.25,0.25,0.25
2009-06-18 15:30:00,0.25,0.25,0.25,0.25
2009-03-12 21:00:00,0.25,0.25,0.5,0.5
2008-12-11 16:30:00,0.5,0.50,1.0,2.5
2008-10-08 19:00:00,2.5,,2.75,2.75
2008-09-18 20:00:00,2.75,2.75,2.75,2.75
2008-06-19 15:30:00,2.75,2.75,2.75,2.75
2008-03-13 21:00:00,2.75,2.75,2.75,
