datetime,Swiss_CCI_MoM_Actual,Swiss_CCI_MoM_Srv_Med,Swiss_CCI_MoM_Revised,Swiss_CCI_MoM_Prior
2023-08-02 15:00:00,-8,None,-13,-13
2023-05-02 15:00:00,-13,None,-9,-9
2023-02-02 16:00:00,-9,-38,-47,-38
2022-11-01 16:00:00,-38,-43,-42,-42
2022-08-02 15:00:00,-42,None,-18,-18
2022-05-02 15:00:00,-18,None,3,3
2022-02-01 16:00:00,3,None,8,8
2021-11-04 16:00:00,8,None,8,10
2021-08-03 15:00:00,10,None,-18,-18
2021-05-04 15:00:00,-18,None,-30,-15
2021-02-04 16:00:00,-15,None,-13,-12
2020-11-05 14:45:00,-12,-8,-13,-12
2020-08-04 13:45:00,-12,,-39,-39
2020-05-05 13:45:00,-39,,-9,-9
2020-02-05 14:45:00,-9,,-10,-10
2019-11-04 14:45:00,-10,,-8,-8
2019-08-05 13:45:00,-8,-8,-9,-6
2019-05-03 13:45:00,-6,-3,-4,-4
2019-02-01 14:45:00,-4,-5,-6,-6
2018-11-01 14:45:00,-6,-8,-7,-7
2018-08-02 13:45:00,-7,2,2,2
2018-05-02 13:45:00,2,5,5,5
2018-02-01 14:45:00,5,2,-2,-2
2017-11-02 14:45:00,-2,0,-3,-3
2017-08-02 13:45:00,-3,-3,-8,-8
2017-05-04 13:45:00,-8,3,-3,-3
2017-02-07 14:45:00,-3,-11,-13,-13
2016-11-03 14:45:00,-13,-13,-15,-15
2016-08-04 13:45:00,-15,-16,-15,-15
2016-05-03 13:45:00,-15,-12,-14,-14
2016-02-04 14:45:00,-14,-15,-18,-18
2015-11-05 14:45:00,-18,-14,-19,-19
2015-08-06 13:45:00,-19,-8,-6,-6
2015-05-07 13:45:00,-6,-11,-6,-6
2015-02-05 14:45:00,-6,-13,-11,-11
2014-11-06 14:45:00,-11,-5,-1,-1
2014-08-07 13:45:00,-1,4,1,1
2014-05-08 13:45:00,1,3,2,2
2014-02-06 14:45:00,2,1,-5,-5
2013-11-07 14:45:00,-5,-4,-9,-9
2013-08-07 13:45:00,-9,1,-5,-5
2013-05-07 13:45:00,-5,-3,-6,-6
2013-02-07 14:45:00,-6,-14,-17,-17
2012-11-06 14:45:00,-17,-22,-17,-17
2012-08-08 13:45:00,-17,-4,-8,-8
2012-05-21 13:45:00,-8,-15,-19,-19
2012-02-09 14:45:00,-19,-22,-24,-24
2011-11-08 14:45:00,-24,-21,-17,-17
2011-08-09 13:45:00,-17,-6,-1,-1
2011-05-10 13:45:00,-1,10,10,10
2011-02-10 14:45:00,10,11,7,7
2010-11-09 14:45:00,7,17,16,16
2010-08-10 13:45:00,16,16,14,14
2010-05-11 13:45:00,14,2,-7,-7
2010-02-02 14:45:00,-7,-23,-14,-30
2009-11-05 14:45:00,-30,-37,-42,-42
2009-08-06 13:45:00,-42,-40,-38,-38
2009-05-05 13:45:00,-38,-26,-23,-23
2009-02-12 14:45:00,-23,-38,-27,-27
2008-11-10 14:45:00,-27,-28,-17,-17
2008-08-14 13:45:00,-17,-4,2,2
2008-05-15 14:45:00,2,11,14,
