datetime,Swiss_GDP_QoQ_Actual,Swiss_GDP_QoQ_Srv_Med,Swiss_GDP_QoQ_Revised,Swiss_GDP_QoQ_Prior
2023-09-04 15:00:00,None,None,0.3,0.3
2023-05-30 15:00:00,0.3,0.1,0.0,0.0
2023-02-28 16:00:00,0.0,0.1,0.2,0.2
2022-11-29 16:00:00,0.2,0.3,0.1,0.3
2022-09-05 15:00:00,0.3,0.4,0.5,0.5
2022-05-31 15:00:00,0.5,0.3,0.2,0.3
2022-02-28 16:00:00,0.3,0.4,1.9,1.7
2021-11-26 16:00:00,1.7,1.6,1.8,1.8
2021-09-02 15:00:00,1.8,2.0,-0.4,-0.5
2021-06-01 15:00:00,-0.5,-0.5,0.1,0.3
2021-02-26 16:00:00,0.3,0.1,7.6,7.2
2020-12-01 14:45:00,7.2,5.9,-7.0,-8.2
2020-08-27 13:45:00,-8.2,-8.6,-2.5,-2.6
2020-06-03 13:45:00,-2.6,-2.0,0.3,0.3
2020-03-03 14:45:00,0.3,0.2,0.4,0.4
2019-11-28 14:45:00,0.4,0.2,0.3,0.3
2019-09-05 13:45:00,0.3,0.2,0.4,0.6
2019-05-28 13:45:00,0.6,0.3,0.3,0.2
2019-02-28 14:45:00,0.2,0.4,-0.3,-0.2
2018-11-29 14:45:00,-0.2,0.4,0.7,0.7
2018-09-06 13:45:00,0.7,0.5,1.0,0.6
2018-05-31 13:45:00,0.6,0.5,0.6,0.6
2018-03-01 14:45:00,0.6,0.5,0.7,0.6
2017-11-30 14:45:00,0.6,0.6,0.4,0.3
2017-09-05 13:45:00,0.3,0.5,0.1,0.3
2017-06-01 13:45:00,0.3,0.4,0.2,0.1
2017-03-02 14:45:00,0.1,0.5,0.1,0.0
2016-12-02 14:45:00,0.0,0.3,0.6,0.6
2016-09-06 13:45:00,0.6,0.4,0.3,0.1
2016-06-01 13:45:00,0.1,0.2,0.4,0.4
2016-03-02 14:45:00,0.4,0.2,-0.1,0.0
2015-12-01 14:45:00,0.0,0.2,0.2,0.2
2015-08-28 13:45:00,0.2,-0.1,-0.2,-0.2
2015-05-29 13:45:00,-0.2,-0.1,0.6,0.6
2015-03-03 14:45:00,0.6,0.3,0.7,0.6
2014-12-03 14:45:00,0.6,0.3,0.3,0.0
2014-09-02 13:45:00,0.0,0.5,0.5,0.5
2014-05-28 13:45:00,0.5,0.6,0.2,0.2
2014-02-27 14:45:00,0.2,0.4,0.5,0.5
2013-11-28 14:45:00,0.5,0.4,0.5,0.5
2013-09-03 13:45:00,0.5,0.3,0.6,0.6
2013-05-30 13:45:00,0.6,0.2,0.3,0.2
2013-02-28 14:45:00,0.2,-0.3,0.6,0.6
2012-11-29 14:45:00,0.6,0.2,-0.1,-0.1
2012-09-04 13:45:00,-0.1,0.2,0.5,0.7
2012-05-31 13:45:00,0.7,0.1,0.5,0.1
2012-03-01 14:45:00,0.1,-0.1,0.3,0.2
2011-12-01 14:45:00,0.2,0.2,0.5,0.4
2011-09-01 13:45:00,0.4,0.4,0.6,0.3
2011-05-31 13:45:00,0.3,0.6,0.8,0.9
2011-03-01 14:45:00,0.9,0.5,0.8,0.7
2010-12-02 14:45:00,0.7,0.5,0.8,0.9
2010-09-02 13:45:00,0.9,0.8,1.0,0.4
2010-06-01 13:45:00,0.4,0.7,0.9,0.7
2010-03-02 14:45:00,0.7,0.4,0.5,0.3
2009-12-01 14:45:00,0.3,0.3,-0.3,-0.3
2009-09-01 13:45:00,-0.3,-0.8,-0.9,-0.8
2009-06-02 13:45:00,-0.8,-1.5,-0.6,-0.3
2009-03-03 14:45:00,-0.3,-0.9,0.0,0.0
2008-12-04 14:45:00,0.0,0.1,0.4,0.4
2008-09-02 13:45:00,0.4,0.2,0.3,0.3
2008-06-02 14:45:00,0.3,0.3,1.0,1.0
2008-03-04 14:45:00,1.0,0.5,0.8,
