datetime,Swiss_GDP_YoY_Actual,Swiss_GDP_YoY_Srv_Med,Swiss_GDP_YoY_Revised,Swiss_GDP_YoY_Prior
2023-09-04 15:00:00,None,None,0.6,0.6
2023-05-30 15:00:00,0.6,0.6,0.7,0.8
2023-02-28 16:00:00,0.8,1.0,0.8,0.5
2022-11-29 16:00:00,0.5,1.0,2.2,2.8
2022-09-05 15:00:00,2.8,3.0,4.7,4.4
2022-05-31 15:00:00,4.4,4.3,3.6,3.7
2022-02-28 16:00:00,3.7,3.7,3.8,4.1
2021-11-26 16:00:00,4.1,3.2,8.6,7.7
2021-09-02 15:00:00,7.7,9.0,-0.7,-0.5
2021-06-01 15:00:00,-0.5,-0.2,-1.6,-1.6
2021-02-26 16:00:00,-1.6,-2.1,-1.4,-1.6
2020-12-01 14:45:00,-1.6,-3.3,-7.8,-9.3
2020-08-27 13:45:00,-9.3,-9.6,-0.7,-1.3
2020-06-03 13:45:00,-1.3,-0.9,1.6,1.5
2020-03-03 14:45:00,1.5,1.3,1.1,1.1
2019-11-28 14:45:00,1.1,0.8,0.2,0.2
2019-09-05 13:45:00,0.2,0.9,1.0,1.7
2019-05-28 13:45:00,1.7,1.0,1.5,1.4
2019-02-28 14:45:00,1.4,1.7,2.4,2.4
2018-11-29 14:45:00,2.4,2.9,3.5,3.4
2018-09-06 13:45:00,3.4,2.4,2.9,2.2
2018-05-31 13:45:00,2.2,2.3,1.9,1.9
2018-03-01 14:45:00,1.9,1.8,1.2,1.2
2017-11-30 14:45:00,1.2,0.9,0.5,0.3
2017-09-05 13:45:00,0.3,1.1,0.6,1.1
2017-06-01 13:45:00,1.1,1.3,0.7,0.6
2017-03-02 14:45:00,0.6,1.3,1.4,1.3
2016-12-02 14:45:00,1.3,1.8,2.0,2.0
2016-09-06 13:45:00,2.0,0.9,1.1,0.7
2016-06-01 13:45:00,0.7,0.8,0.3,0.4
2016-03-02 14:45:00,0.4,0.1,0.8,0.8
2015-12-01 14:45:00,0.8,0.9,0.9,1.2
2015-08-28 13:45:00,1.2,0.9,1.2,1.1
2015-05-29 13:45:00,1.1,1.5,1.9,1.9
2015-03-03 14:45:00,1.9,1.7,1.9,1.9
2014-12-03 14:45:00,1.9,1.4,1.6,0.6
2014-09-02 13:45:00,0.6,1.7,2.1,2.0
2014-05-28 13:45:00,2.0,1.9,1.7,1.7
2014-02-27 14:45:00,1.7,2.0,2.1,1.9
2013-11-28 14:45:00,1.9,1.7,2.5,2.5
2013-09-03 13:45:00,2.5,1.7,1.2,1.1
2013-05-30 13:45:00,1.1,0.9,1.4,
