datetime,Swiss_KOF_Actual,Swiss_KOF_Srv_Med,Swiss_KOF_Revised,Swiss_KOF_Prior
2023-08-30 15:00:00,None,91.3,92.2,92.2
2023-07-28 15:00:00,92.2,90.5,90.7,90.8
2023-06-30 15:00:00,90.8,89.1,91.4,90.2
2023-05-30 15:00:00,90.2,95.0,96.1,96.4
2023-04-28 15:00:00,96.4,98.1,99.2,98.2
2023-03-30 15:00:00,98.2,100.5,98.9,100.0
2023-02-28 16:00:00,100.0,98.0,97.4,97.2
2023-01-30 16:00:00,97.2,93.3,91.5,92.2
2022-12-30 16:00:00,92.2,90.5,89.2,89.5
2022-11-30 16:00:00,89.5,91.3,90.9,90.9
2022-10-28 15:00:00,90.9,93.2,92.3,93.8
2022-09-30 15:00:00,93.8,84.5,93.5,86.5
2022-08-30 15:00:00,86.5,89.0,90.5,90.1
2022-07-29 15:00:00,90.1,95.2,95.2,96.9
2022-06-30 15:00:00,96.9,96.3,97.7,96.8
2022-05-30 15:00:00,96.8,102.3,103.0,101.7
2022-04-29 15:00:00,101.7,99.4,99.2,99.7
2022-03-30 15:00:00,99.7,100.8,105.3,105.0
2022-02-28 16:00:00,105.0,108.5,107.8,107.8
2022-01-28 16:00:00,107.8,106.3,107.2,107.0
2021-12-30 16:00:00,107.0,106.4,107.5,108.5
2021-11-30 16:00:00,108.5,109.0,110.2,110.7
2021-10-29 15:00:00,110.7,108.2,111.0,110.6
2021-09-30 15:00:00,110.6,110.0,113.5,113.5
2021-08-30 15:00:00,113.5,125.0,130.9,129.8
2021-07-30 15:00:00,129.8,130.0,133.3,133.4
2021-06-30 15:00:00,133.4,144.7,143.7,143.2
2021-05-28 15:00:00,143.2,136.0,136.4,134.0
2021-04-30 15:00:00,134.0,119.5,118.0,117.8
2021-03-30 15:00:00,117.8,104.6,102.6,102.7
2021-02-26 16:00:00,102.7,96.6,96.5,96.5
2021-01-29 16:00:00,96.5,102.0,104.1,104.3
2020-12-30 16:00:00,104.3,100.5,103.7,103.5
2020-11-30 16:00:00,103.5,101.0,106.3,106.6
2020-10-30 16:00:00,106.6,107.0,110.1,113.8
2020-09-30 15:00:00,113.8,106.5,110.2,110.2
2020-08-28 15:00:00,110.2,90.0,86.0,85.7
2020-07-30 15:00:00,85.7,75.0,60.6,59.4
2020-06-30 15:00:00,59.4,77.0,49.6,53.2
2020-05-29 15:00:00,53.2,70.0,59.7,63.5
2020-04-30 15:00:00,63.5,63.5,91.7,92.9
2020-03-30 15:00:00,92.9,81.6,101.8,100.9
2020-02-28 16:00:00,100.9,97.5,100.1,100.1
2020-01-30 16:00:00,100.1,97.0,96.2,96.4
2019-12-30 16:00:00,96.4,94.5,92.6,93.0
2019-11-29 16:00:00,93.0,95.0,94.8,94.7
2019-10-30 16:00:00,94.7,93.9,93.1,93.2
2019-09-30 15:00:00,93.2,96.2,95.5,97.0
2019-08-30 15:00:00,97.0,95.6,97.0,97.1
2019-07-30 15:00:00,97.1,93.2,93.8,93.6
2019-06-28 15:00:00,93.6,94.9,93.8,94.4
2019-05-29 15:00:00,94.4,96.4,96.2,96.2
2019-04-30 15:00:00,96.2,97.5,97.1,97.4
2019-03-29 16:00:00,97.4,93.9,93.0,92.4
2019-02-28 16:00:00,92.4,96.2,96.2,95.0
2019-01-30 16:00:00,95.0,96.8,96.4,96.3
2018-12-28 16:00:00,96.3,98.7,98.9,99.1
2018-11-30 16:00:00,99.1,99.6,100.2,100.1
2018-10-30 16:00:00,100.1,100.8,102.3,102.2
2018-09-28 15:00:00,102.2,101.1,98.9,100.3
2018-08-30 15:00:00,100.3,101.1,101.7,101.1
2018-07-30 15:00:00,101.1,101.6,101.3,101.7
2018-06-29 15:00:00,101.7,100.3,100.0,100.0
2018-05-30 15:00:00,100.0,104.8,103.3,105.3
2018-04-30 15:00:00,105.3,105.9,105.1,106.0
2018-03-29 15:00:00,106.0,107.3,108.4,108.0
2018-02-28 16:00:00,108.0,106.2,107.6,106.9
2018-01-30 16:00:00,106.9,110.9,111.4,111.3
2017-12-22 16:00:00,111.3,110.2,110.4,110.3
2017-11-30 16:00:00,110.3,109.2,109.8,109.1
2017-10-30 16:00:00,109.1,105.5,105.8,105.8
2017-09-29 15:00:00,105.8,105.5,104.2,104.1
2017-08-30 15:00:00,104.1,107.0,108.0,106.8
2017-07-28 15:00:00,106.8,106.0,105.8,105.5
2017-06-30 15:00:00,105.5,102.5,102.0,101.6
2017-05-30 15:00:00,101.6,106.2,106.3,106.0
2017-04-28 15:00:00,106.0,107.8,107.2,107.6
2017-03-30 15:00:00,107.6,106.0,106.9,107.2
2017-02-28 16:00:00,107.2,102.1,102.0,101.7
2017-01-30 16:00:00,101.7,103.3,102.1,102.2
2016-12-23 16:00:00,102.2,103.1,102.2,102.2
2016-11-30 16:00:00,102.2,104.0,103.9,104.7
2016-10-28 15:00:00,104.7,101.8,101.6,101.3
2016-09-30 15:00:00,101.3,100.8,99.7,99.8
2016-08-30 15:00:00,99.8,102.0,103.5,102.7
2016-07-29 15:00:00,102.7,101.3,102.6,102.4
2016-06-30 15:00:00,102.4,102.8,101.8,102.9
2016-05-30 15:00:00,102.9,102.8,102.6,102.7
2016-04-29 15:00:00,102.7,102.8,102.8,102.5
2016-03-30 15:00:00,102.5,101.9,102.6,102.4
2016-02-29 16:00:00,102.4,98.8,100.4,100.3
2016-01-29 16:00:00,100.3,96.0,96.8,96.6
2015-12-23 16:00:00,96.6,99.1,97.3,97.9
2015-11-30 16:00:00,97.9,100.2,100.4,99.8
2015-10-30 16:00:00,99.8,100.0,100.3,100.4
2015-09-30 15:00:00,100.4,100.9,101.2,100.7
2015-08-31 15:00:00,100.7,99.5,100.4,99.8
2015-07-30 15:00:00,99.8,90.3,89.8,89.7
2015-06-30 15:00:00,89.7,93.5,92.7,93.1
2015-05-29 15:00:00,93.1,90.0,89.8,89.5
2015-04-30 15:00:00,89.5,91.5,90.9,90.8
2015-03-30 15:00:00,90.8,89.1,90.3,90.1
2015-02-27 16:00:00,90.1,90.0,96.1,97.0
2015-01-30 16:00:00,97.0,97.5,98.8,98.7
2014-12-24 16:00:00,98.7,99.3,98.9,98.7
2014-11-28 16:00:00,98.7,100.1,99.5,99.8
2014-10-30 16:00:00,99.8,99.4,99.3,99.1
2014-09-30 15:00:00,99.1,99.0,99.6,99.5
2014-08-29 15:00:00,99.5,97.8,97.9,98.1
2014-07-30 15:00:00,98.1,101.0,100.5,100.4
2014-06-27 15:00:00,100.4,99.1,100.1,99.8
2014-05-30 15:00:00,99.8,101.7,101.8,102.0
2014-04-30 15:00:00,102.0,106.8,106.3,105.50
2014-03-01 17:00:00,105.50,,104.3,104.30
2014-02-01 17:00:00,104.30,,102.9,102.90
2014-01-01 17:00:00,102.90,,104.5,104.50
2013-12-01 17:00:00,104.50,,104.3,104.30
2013-11-01 17:00:00,104.30,,107.1,107.10
2013-10-01 17:00:00,107.10,,105.9,105.90
2013-09-01 17:00:00,105.90,,105.8,105.80
2013-08-01 17:00:00,105.80,,102.2,102.20
2013-07-01 17:00:00,102.20,,101.8,101.80
2013-06-01 17:00:00,101.80,,101.9,101.90
2013-05-01 17:00:00,101.90,,103.3,103.30
2013-04-01 17:00:00,103.30,,104.1,104.10
2013-03-01 17:00:00,104.10,,101.6,101.60
2013-02-01 17:00:00,101.60,,103.5,103.50
2013-01-01 17:00:00,103.50,,102.7,102.70
2012-12-01 17:00:00,102.70,,102.0,102.00
2012-11-01 17:00:00,102.00,,99.0,99.00
2012-10-01 17:00:00,99.00,,98.3,98.30
2012-09-01 17:00:00,98.30,,97.6,97.60
2012-08-01 17:00:00,97.60,,95.4,95.40
2012-07-01 17:00:00,95.40,,97.1,97.10
2012-06-01 17:00:00,97.10,,98.5,98.50
2012-05-01 17:00:00,98.50,,100.7,100.70
2012-04-01 17:00:00,100.70,,99.3,99.30
2012-03-01 17:00:00,99.30,,97.7,97.70
2012-02-01 17:00:00,97.70,,87.2,87.20
2012-01-01 17:00:00,87.20,,85.1,85.10
2011-12-01 17:00:00,85.10,,84.4,84.40
2011-11-01 17:00:00,84.40,,83.5,83.50
2011-10-01 17:00:00,83.50,,84.8,84.80
2011-09-01 17:00:00,84.80,,89.0,89.00
2011-08-01 17:00:00,89.00,,98.3,98.30
2011-07-01 17:00:00,98.30,,99.0,99.00
2011-06-01 17:00:00,99.00,,100.0,100.00
2011-05-01 17:00:00,100.00,,99.3,99.30
2011-04-01 17:00:00,99.30,,99.4,99.40
2011-03-01 17:00:00,99.40,,101.4,101.40
2011-02-01 17:00:00,101.40,,102.4,102.40
2011-01-01 17:00:00,102.40,,102.4,102.40
2010-12-01 17:00:00,102.40,,103.4,103.40
2010-11-01 17:00:00,103.40,,105.3,105.30
2010-10-01 17:00:00,105.30,,104.2,104.20
2010-09-01 17:00:00,104.20,,105.1,105.10
2010-08-01 17:00:00,105.10,,109.8,109.80
2010-07-01 17:00:00,109.80,,111.6,111.60
2010-06-01 17:00:00,111.60,,112.1,112.10
2010-05-01 17:00:00,112.10,,107.9,107.90
2010-04-01 17:00:00,107.90,,108.2,108.20
2010-03-01 17:00:00,108.20,,108.4,108.40
2010-02-01 17:00:00,108.40,,113.7,113.70
2010-01-01 17:00:00,113.70,,114.4,114.40
2009-12-01 17:00:00,114.40,,113.1,113.10
2009-11-01 17:00:00,113.10,,112.0,112.00
2009-10-01 17:00:00,112.00,,111.1,111.10
2009-09-01 17:00:00,111.10,,109.4,109.40
2009-08-01 17:00:00,109.40,,100.8,100.80
2009-07-01 17:00:00,100.80,,95.5,95.50
2009-06-01 17:00:00,95.50,,90.9,90.90
2009-05-01 17:00:00,90.90,,75.1,75.10
2009-04-01 17:00:00,75.10,,73.9,73.90
2009-03-01 17:00:00,73.90,,68.5,68.50
2009-02-01 17:00:00,68.50,,69.9,69.90
2009-01-01 17:00:00,69.90,,71.4,71.40
2008-12-01 17:00:00,71.40,,76.2,76.20
2008-11-01 17:00:00,76.20,,80.0,80.00
2008-10-01 17:00:00,80.00,,80.4,80.40
2008-09-01 17:00:00,80.40,,80.3,80.30
2008-08-01 17:00:00,80.30,,78.4,78.40
2008-07-01 17:00:00,78.40,,79.8,79.80
2008-06-01 17:00:00,79.80,,80.0,80.00
2008-05-01 17:00:00,80.00,,89.9,89.90
2008-04-01 17:00:00,89.90,,93.5,93.50
2008-03-01 17:00:00,93.50,,95.2,95.20
2008-02-01 17:00:00,95.20,,100.8,100.80
2008-01-01 17:00:00,100.80,,100.3,100.30
2007-12-01 17:00:00,100.30,,99.1,99.10
2007-11-01 17:00:00,99.10,,99.9,99.90
2007-10-01 17:00:00,99.90,,100.7,100.70
2007-09-01 17:00:00,100.70,,101.9,101.90
2007-08-01 17:00:00,101.90,,101.5,101.50
2007-07-01 17:00:00,101.50,,100.5,100.50
2007-06-01 17:00:00,100.50,,101.2,101.20
2007-05-01 17:00:00,101.20,,105.7,105.70
2007-04-01 17:00:00,105.70,,103.8,103.80
2007-03-01 17:00:00,103.80,,105.0,105.00
2007-02-01 17:00:00,105.00,,103.3,103.30
2007-01-01 17:00:00,103.30,,104.9,104.90
2006-12-01 17:00:00,104.90,,105.2,105.20
2006-11-01 17:00:00,105.20,,104.5,104.50
2006-10-01 17:00:00,104.50,,104.0,104.00
2006-09-01 17:00:00,104.00,,104.4,104.40
2006-08-01 17:00:00,104.40,,107.9,107.90
2006-07-01 17:00:00,107.90,,108.7,108.70
2006-06-01 17:00:00,108.70,,109.7,109.70
2006-05-01 17:00:00,109.70,,108.5,108.50
2006-04-01 17:00:00,108.50,,108.9,108.90
2006-03-01 17:00:00,108.90,,107.4,107.40
2006-02-01 17:00:00,107.40,,108.3,108.30
2006-01-01 17:00:00,108.30,,108.2,108.20
2005-12-01 17:00:00,108.20,,108.1,108.10
2005-11-01 17:00:00,108.10,,102.3,102.30
2005-10-01 17:00:00,102.30,,102.4,102.40
2005-09-01 17:00:00,102.40,,101.9,101.90
2005-08-01 17:00:00,101.90,,99.7,99.70
2005-07-01 17:00:00,99.70,,100.5,100.50
2005-06-01 17:00:00,100.50,,100.8,100.80
2005-05-01 17:00:00,100.80,,100.0,100.00
2005-04-01 17:00:00,100.00,,100.7,100.70
2005-03-01 17:00:00,100.70,,101.4,101.40
2005-02-01 17:00:00,101.40,,103.0,103.00
2005-01-01 17:00:00,103.00,,102.4,102.40
2004-12-01 17:00:00,102.40,,102.5,102.50
2004-11-01 17:00:00,102.50,,106.0,106.00
2004-10-01 17:00:00,106.00,,105.8,105.80
2004-09-01 17:00:00,105.80,,107.6,100.0
