datetime,Swiss_UER_MoM_ADJ_Actual,Swiss_UER_MoM_ADJ_Srv_Med,Swiss_UER_MoM_ADJ_Revised,Swiss_UER_MoM_ADJ_Prior
2023-09-07 13:45:00,None,None,2.1,2.1
2023-08-07 13:45:00,2.1,2.1,2.0,2.0
2023-07-07 13:45:00,2.0,2.0,2.0,2.0
2023-06-07 13:45:00,2.0,1.9,1.9,1.9
2023-05-05 13:45:00,1.9,1.9,1.9,1.9
2023-04-06 13:45:00,1.9,1.9,1.9,1.9
2023-03-07 14:45:00,1.9,1.9,1.9,1.9
2023-02-07 14:45:00,1.9,1.9,1.9,1.9
2023-01-09 14:45:00,1.9,2.1,2.0,2.0
2022-12-07 14:45:00,2.0,2.1,2.1,2.1
2022-11-07 14:45:00,2.1,2.1,2.1,2.1
2022-10-07 13:45:00,2.1,2.1,2.1,2.1
2022-09-08 13:45:00,2.1,2.2,2.2,2.2
2022-08-08 13:45:00,2.2,2.2,2.2,2.2
2022-07-07 13:45:00,2.2,2.2,2.2,2.2
2022-06-08 13:45:00,2.2,2.2,2.2,2.2
2022-05-06 13:45:00,2.2,2.2,2.2,2.2
2022-04-07 13:45:00,2.2,2.2,2.3,2.2
2022-03-07 14:45:00,2.2,2.3,2.3,2.3
2022-02-07 14:45:00,2.3,2.4,2.4,2.4
2022-01-07 14:45:00,2.4,2.5,2.5,2.5
2021-12-07 14:45:00,2.5,2.6,2.7,2.7
2021-11-08 14:45:00,2.7,2.7,2.8,2.8
2021-10-07 13:45:00,2.8,2.8,2.9,2.9
2021-09-07 13:45:00,2.9,3.0,3.0,3.0
2021-08-09 13:45:00,3.0,3.0,3.1,3.1
2021-07-08 13:45:00,3.1,2.9,3.2,3.0
2021-06-07 13:45:00,3.0,,3.2,3.1
2021-05-07 13:45:00,3.1,3.3,3.3,3.3
2021-04-09 13:45:00,3.3,3.6,3.4,3.6
2021-03-08 14:45:00,3.6,3.6,3.5,3.5
2021-02-08 14:45:00,3.5,3.5,3.5,3.4
2021-01-08 14:45:00,3.4,3.5,3.4,3.4
2020-12-08 14:45:00,3.4,3.4,3.4,3.3
2020-11-09 14:45:00,3.3,3.4,3.4,3.3
2020-10-08 13:45:00,3.3,3.4,3.4,3.4
2020-09-09 13:45:00,3.4,3.4,3.4,3.3
2020-08-10 13:45:00,3.3,3.6,3.3,3.3
2020-07-08 13:45:00,3.3,3.6,3.2,3.4
2020-06-09 13:45:00,3.4,3.7,3.1,3.3
2020-05-07 13:45:00,3.3,3.3,2.8,2.8
2020-04-07 13:45:00,2.8,2.8,2.6,2.3
2020-03-09 14:45:00,2.3,,2.3,2.3
2020-02-10 14:45:00,2.3,2.3,2.3,2.3
2020-01-10 14:45:00,2.3,2.3,2.3,2.3
2019-12-09 14:45:00,2.3,2.3,2.3,2.3
2019-11-08 14:45:00,2.3,2.3,2.3,2.3
2019-10-08 13:45:00,2.3,2.1,2.3,2.3
2019-09-09 13:45:00,2.3,2.3,2.3,2.3
2019-08-09 13:45:00,2.3,2.3,2.3,2.3
2019-07-09 13:45:00,2.3,2.4,2.4,2.4
2019-06-07 13:45:00,2.4,2.4,2.4,2.4
2019-05-08 13:45:00,2.4,2.4,2.4,2.4
2019-04-09 13:45:00,2.4,2.4,2.4,2.4
2019-03-07 14:45:00,2.4,2.4,2.4,2.4
2019-02-08 14:45:00,2.4,2.4,2.4,2.4
2019-01-08 14:45:00,2.4,2.4,2.4,2.4
2018-12-10 14:45:00,2.4,2.5,2.5,2.5
2018-11-08 14:45:00,2.5,2.5,2.5,2.5
2018-10-08 13:45:00,2.5,2.5,2.6,2.6
2018-09-07 13:45:00,2.6,2.6,2.6,2.6
2018-08-09 13:45:00,2.6,2.6,2.6,2.6
2018-07-09 13:45:00,2.6,2.5,2.7,2.6
2018-06-07 13:45:00,2.6,2.6,2.7,2.7
2018-05-08 13:45:00,2.7,2.9,2.8,2.9
2018-04-09 13:45:00,2.9,2.9,2.9,2.9
2018-03-08 14:45:00,2.9,2.9,3.0,3.0
2018-02-09 14:45:00,3.0,3.0,3.0,3.0
2018-01-09 14:45:00,3.0,3.0,3.1,3.0
2017-12-07 14:45:00,3.0,3.1,3.1,3.1
2017-11-09 14:45:00,3.1,3.1,3.1,3.1
2017-10-10 13:45:00,3.1,3.2,3.2,3.2
2017-09-08 13:45:00,3.2,3.2,3.2,3.2
2017-08-08 13:45:00,3.2,3.2,3.2,3.2
2017-07-07 13:45:00,3.2,3.2,3.2,3.2
2017-06-08 13:45:00,3.2,3.3,3.2,3.3
2017-05-09 13:45:00,3.3,3.2,3.3,3.3
2017-04-07 13:45:00,3.3,3.3,3.3,3.3
2017-03-09 14:45:00,3.3,3.3,3.3,3.3
2017-02-09 14:45:00,3.3,3.3,3.3,3.3
2017-01-10 14:45:00,3.3,3.3,3.3,3.3
2016-12-09 14:45:00,3.3,3.3,3.3,3.3
2016-11-08 14:45:00,3.3,3.3,3.3,3.3
2016-10-10 13:45:00,3.3,3.4,3.3,3.4
2016-09-09 13:45:00,3.4,3.3,3.3,3.3
2016-08-09 13:45:00,3.3,3.3,3.3,3.3
2016-07-08 13:45:00,3.3,3.5,3.3,3.5
2016-06-09 13:45:00,3.5,3.5,3.5,3.5
2016-05-10 13:45:00,3.5,3.5,3.4,3.5
2016-04-08 13:45:00,3.5,3.5,3.4,3.4
2016-03-08 14:45:00,3.4,3.5,3.4,3.4
2016-02-09 14:45:00,3.4,3.4,3.4,3.4
2016-01-08 14:45:00,3.4,3.4,3.4,3.4
2015-12-09 14:45:00,3.4,3.4,3.4,3.4
2015-11-10 14:45:00,3.4,3.4,3.4,3.4
2015-10-08 13:45:00,3.4,3.4,3.3,3.3
2015-09-08 13:45:00,3.3,3.3,3.3,3.3
2015-08-07 13:45:00,3.3,3.3,3.3,3.3
2015-07-07 13:45:00,3.3,3.3,3.3,3.3
2015-06-09 13:45:00,3.3,3.3,3.3,3.3
2015-05-08 13:45:00,3.3,3.3,3.2,3.2
2015-04-10 13:45:00,3.2,3.2,3.2,3.2
