datetime,UK_LP_Actual,UK_LP_Srv_Med,UK_LP_Revised,UK_LP_Prior,Is_P
2023-08-15 14:00:00,0.7,None,-1.4,-1.4,1.0
2023-07-07 16:30:00,-1.4,-1.4,0.4,0.4,0.0
2023-05-16 14:00:00,-1.4,None,0.4,0.3,1.0
2023-04-26 16:30:00,0.4,0.3,-0.2,0.9,0.0
2023-02-14 15:00:00,0.3,None,0.3,0.2,1.0
2023-01-26 16:30:00,0.9,None,1.1,0.4,0.0
2022-11-16 15:00:00,0.2,None,0.4,0.0,1.0
2022-10-07 16:54:00,0.4,None,1.2,-0.8,0.0
2022-08-16 14:00:00,0.0,None,-0.8,-0.7,1.0
2022-07-07 16:30:00,-0.8,None,0.3,0.7,0.0
2022-05-17 14:00:00,-0.7,None,0.7,1.0,1.0
2022-04-07 16:30:00,0.7,None,-4.4,-1.4,0.0
2022-02-15 15:00:00,1.0,,-1.5,-1.2,1.0
2022-01-11 17:30:00,-1.4,,0.1,-0.5,0.0
2021-11-16 15:00:00,-1.2,,0.1,-0.5,1.0
2021-10-07 16:30:00,-0.5,,0.1,0.9,0.0
2021-08-17 14:00:00,-0.5,,0.4,0.8,1.0
2021-07-07 17:00:00,0.9,,-0.7,-0.7,0.0
2021-05-18 14:00:00,0.8,,-4.3,-1.1,1.0
2021-04-14 16:30:00,-0.7,,4.0,4.0,0.0
2021-02-23 15:00:00,-1.1,,4.0,3.0,1.0
2021-01-19 17:30:00,4.0,,-1.0,-2.0,0.0
2020-11-12 15:00:00,3.0,,-1.8,-1.8,1.0
2020-11-04 17:30:00,-1.8,,0.2,-3.0,1.0
2020-10-13 14:00:00,-2.0,,-0.5,-0.6,0.0
2020-08-12 14:00:00,-3.0,,-0.6,-1.1,1.0
2020-07-07 16:30:00,-0.6,,0.4,0.3,0.0
2020-05-19 14:00:00,-1.1,,0.3,0.3,1.0
2020-04-07 16:30:00,0.3,,0.3,0.1,0.0
2020-02-18 17:30:00,0.3,,0.1,,1.0
2020-01-08 17:30:00,0.1,,-0.6,-0.5,0.0
2019-10-08 16:30:00,-0.5,,-0.6,,0.0
