datetime,UK_MPMI_MoM_Actual,UK_MPMI_MoM_Srv_Med,UK_MPMI_MoM_Revised,UK_MPMI_MoM_Prior,Is_P
2023-09-01 16:30:00,None,42.5,45.3,45.3,0.0
2023-08-23 16:30:00,42.5,45.0,45.3,45.0,1.0
2023-08-01 16:30:00,45.3,45.0,46.5,46.5,0.0
2023-07-24 16:30:00,45.0,46.1,46.5,46.2,1.0
2023-07-03 16:30:00,46.5,46.2,47.1,47.1,0.0
2023-06-23 16:30:00,46.2,46.8,47.1,46.9,1.0
2023-06-01 16:30:00,47.1,46.9,47.8,47.8,0.0
2023-05-23 16:30:00,46.9,48.0,47.8,46.6,1.0
2023-05-02 16:30:00,47.8,46.6,47.9,47.9,0.0
2023-04-21 16:30:00,46.6,48.5,47.9,48.0,1.0
2023-04-03 16:30:00,47.9,48.0,49.3,49.3,0.0
2023-03-24 17:30:00,48.0,50.0,49.3,49.2,1.0
2023-03-01 17:30:00,49.3,49.2,49.2,47.0,0.0
2023-02-21 17:30:00,49.2,47.5,47.0,46.7,1.0
2023-02-01 17:30:00,47.0,46.7,46.7,45.3,0.0
2023-01-24 17:30:00,46.7,45.4,45.3,44.7,1.0
2023-01-03 17:30:00,45.3,44.7,46.5,46.5,0.0
2022-12-16 17:30:00,44.7,46.5,46.5,46.2,1.0
2022-12-01 17:30:00,46.5,46.2,46.2,46.2,0.0
2022-11-23 17:30:00,46.2,45.7,46.2,45.8,1.0
2022-11-01 17:30:00,46.2,45.8,48.4,48.4,0.0
2022-10-24 16:30:00,45.8,48.0,48.4,48.5,1.0
2022-10-03 16:30:00,48.4,48.5,47.3,47.3,0.0
2022-09-23 16:30:00,48.5,47.5,47.3,46.0,1.0
2022-09-01 16:30:00,47.3,46.0,46.0,52.1,0.0
2022-08-23 16:30:00,46.0,51.0,52.1,52.2,1.0
2022-08-01 16:30:00,52.1,52.2,52.8,52.8,0.0
2022-07-22 16:30:00,52.2,52.0,52.8,53.4,1.0
2022-07-01 16:30:00,52.8,53.4,54.6,54.6,0.0
2022-06-23 16:30:00,53.4,53.7,54.6,54.6,1.0
2022-06-01 16:30:00,54.6,54.6,55.8,55.8,0.0
2022-05-24 16:30:00,54.6,54.9,55.8,55.3,1.0
2022-05-03 16:30:00,55.8,55.3,55.2,55.2,0.0
2022-04-22 16:30:00,55.3,59.0,55.2,55.5,1.0
2022-04-01 16:30:00,55.2,55.5,58.0,58.0,0.0
2022-03-24 17:30:00,55.5,57.0,58.0,57.3,1.0
2022-03-01 17:30:00,58.0,57.3,57.3,57.3,0.0
2022-02-21 17:30:00,57.3,57.2,57.3,56.9,1.0
2022-02-01 17:30:00,57.3,56.9,57.9,57.9,0.0
2022-01-24 17:30:00,56.9,57.7,57.9,57.6,1.0
2022-01-04 17:30:00,57.9,57.6,58.1,58.1,0.0
2021-12-16 17:30:00,57.6,,58.1,58.2,1.0
2021-12-01 17:30:00,58.1,58.2,58.2,57.8,0.0
2021-11-23 17:30:00,58.2,56.3,57.8,57.7,1.0
2021-11-01 17:30:00,57.8,57.7,57.1,57.1,0.0
2021-10-22 16:30:00,57.7,55.8,57.1,56.3,1.0
2021-10-01 16:30:00,57.1,56.3,60.3,60.3,0.0
2021-09-23 16:30:00,56.3,59.0,60.3,60.1,1.0
2021-09-01 16:30:00,60.3,60.1,60.4,60.4,0.0
2021-08-23 16:30:00,60.1,,60.4,60.4,1.0
2021-08-02 16:30:00,60.4,60.4,63.9,63.9,0.0
2021-07-23 16:30:00,60.4,62.7,63.9,64.2,1.0
2021-07-01 16:30:00,63.9,64.2,64.2,65.6,0.0
2021-06-23 16:30:00,64.2,64.0,65.6,66.1,1.0
2021-06-01 16:30:00,65.6,66.1,66.1,60.9,0.0
2021-05-21 16:30:00,66.1,60.7,60.7,60.7,1.0
2021-05-04 16:30:00,60.9,60.7,58.9,58.9,0.0
2021-04-23 16:30:00,60.7,,58.9,57.9,1.0
2021-04-01 16:30:00,58.9,57.9,55.1,55.1,0.0
2021-03-24 17:30:00,57.9,55.0,55.1,54.9,1.0
2021-03-01 17:30:00,55.1,54.9,54.1,54.1,0.0
2021-02-19 17:30:00,54.9,53.2,54.1,52.9,1.0
2021-02-01 17:30:00,54.1,52.9,52.9,57.5,0.0
2021-01-22 17:30:00,52.9,57.3,57.5,57.3,1.0
2021-01-04 17:30:00,57.5,57.3,55.6,55.6,0.0
2020-12-16 17:30:00,57.3,55.9,55.6,55.2,1.0
2020-12-01 17:30:00,55.6,55.2,55.6,53.7,0.0
2020-11-23 17:30:00,55.2,53.3,53.3,53.3,1.0
2020-11-02 17:30:00,53.7,53.3,53.3,54.1,0.0
2020-10-23 16:30:00,53.3,54.3,54.1,54.3,1.0
2020-10-01 16:30:00,54.1,54.3,55.2,55.2,0.0
2020-09-23 16:30:00,54.3,54.1,55.2,55.3,1.0
2020-09-01 16:30:00,55.2,55.3,53.3,53.3,0.0
2020-08-21 16:30:00,55.3,53.8,53.3,53.6,1.0
2020-08-03 16:30:00,53.3,53.6,50.1,50.1,0.0
2020-07-24 16:30:00,53.6,52.0,50.1,50.1,1.0
2020-07-01 16:30:00,50.1,50.1,40.7,40.7,0.0
2020-06-23 16:30:00,50.1,45.0,40.7,40.6,1.0
2020-06-01 16:30:00,40.7,40.7,32.6,32.6,0.0
2020-05-21 16:30:00,40.6,36.0,32.6,32.9,1.0
2020-05-01 16:30:00,32.6,32.8,47.8,47.8,0.0
2020-04-23 16:30:00,32.9,42.0,47.8,48.0,1.0
2020-04-01 16:30:00,47.8,47.0,51.7,51.7,0.0
2020-03-24 17:30:00,48.0,45.0,51.7,51.9,1.0
2020-03-02 17:30:00,51.7,51.8,50.0,50.0,0.0
2020-02-21 17:30:00,51.9,49.7,50.0,49.8,1.0
2020-02-03 17:30:00,50.0,49.8,47.5,47.5,0.0
2020-01-24 17:30:00,49.8,47.6,47.5,47.4,1.0
2020-01-02 17:30:00,47.5,47.6,48.9,48.9,0.0
2019-12-16 17:30:00,47.4,49.3,48.9,48.3,1.0
2019-12-02 17:30:00,48.9,48.3,48.3,49.6,0.0
2019-11-22 17:30:00,48.3,48.8,49.6,49.1,1.0
2019-11-01 17:30:00,49.6,48.1,48.3,48.3,0.0
2019-10-01 16:30:00,48.3,47.0,47.4,47.4,0.0
2019-09-02 16:30:00,47.4,48.4,48.0,48.0,0.0
2019-08-01 16:30:00,48.0,47.7,48.0,48.0,0.0
2019-07-01 16:30:00,48.0,49.2,49.4,49.4,0.0
2019-06-03 16:30:00,49.4,52.0,53.1,53.1,0.0
2019-05-01 16:30:00,53.1,53.2,55.1,55.1,0.0
2019-04-01 16:30:00,55.1,51.2,52.1,52.0,0.0
2019-03-01 17:30:00,52.0,52.0,52.6,52.8,0.0
2019-02-01 17:30:00,52.8,53.5,54.2,54.2,0.0
2019-01-02 17:30:00,54.2,52.6,53.6,53.1,0.0
2018-12-03 17:30:00,53.1,51.6,51.1,51.1,0.0
2018-11-01 17:30:00,51.1,53.0,53.6,53.8,0.0
2018-10-01 16:30:00,53.8,52.6,53.0,52.8,0.0
2018-09-03 16:30:00,52.8,53.9,53.8,54.0,0.0
2018-08-01 16:30:00,54.0,54.2,54.3,54.4,0.0
2018-07-02 16:30:00,54.4,54.1,54.3,54.4,0.0
2018-06-01 16:30:00,54.4,53.5,53.9,53.9,0.0
2018-05-01 16:30:00,53.9,54.9,54.9,55.1,0.0
2018-04-03 16:30:00,55.1,54.8,55.0,55.2,0.0
2018-03-01 17:30:00,55.2,55.1,55.3,55.3,0.0
2018-02-01 17:30:00,55.3,56.5,56.2,56.3,0.0
2018-01-02 17:30:00,56.3,58.0,58.2,58.2,0.0
2017-12-01 17:30:00,58.2,56.5,56.6,56.3,0.0
2017-11-01 17:30:00,56.3,55.8,56.0,55.9,0.0
2017-10-02 16:30:00,55.9,56.4,56.7,56.9,0.0
2017-09-01 16:30:00,56.9,55.0,55.3,55.1,0.0
2017-08-01 16:30:00,55.1,54.4,54.2,54.3,0.0
2017-07-03 16:30:00,54.3,56.5,56.3,56.7,0.0
2017-06-01 16:30:00,56.7,56.5,57.3,57.3,0.0
2017-05-02 16:30:00,57.3,54.0,54.2,54.2,0.0
2017-04-03 16:30:00,54.2,55.1,54.5,54.6,0.0
2017-03-01 17:30:00,54.6,55.6,55.9,55.9,0.0
