datetime,UK_PPI_YoY_Actual,UK_PPI_YoY_Srv_Med,UK_PPI_YoY_Revised,UK_PPI_YoY_Prior
2023-08-16 14:00:00,-3.3,-3.1,-2.9,-2.7
2023-07-19 14:00:00,-2.7,-1.6,0.4,0.5
2023-06-21 14:00:00,0.5,1.2,4.2,3.9
2023-05-24 14:00:00,3.9,7.0,7.3,7.6
2023-04-19 14:00:00,7.6,7.0,12.8,12.7
2023-03-22 15:00:00,12.7,12.0,14.7,14.1
2023-02-15 15:00:00,14.1,14.7,16.2,16.5
2023-01-25 15:00:00,16.5,18.0,19.2,19.2
2022-11-16 15:00:00,19.2,18.0,20.8,20.0
2022-10-19 14:00:00,20.0,18.8,20.9,20.5
2022-09-14 14:00:00,20.5,22.4,22.6,22.6
2022-08-17 14:00:00,22.6,23.9,24.1,24.0
2022-07-20 14:00:00,24.0,23.2,22.4,22.1
2022-06-22 14:00:00,22.1,19.4,20.9,18.6
2022-05-18 14:00:00,18.6,19.0,18.6,19.2
2022-04-13 14:00:00,19.2,13.9,15.1,14.7
2022-03-23 15:00:00,14.7,13.9,14.2,13.6
2022-02-16 15:00:00,13.6,13.1,13.8,13.5
2022-01-19 15:00:00,13.5,13.7,15.2,14.3
2021-12-15 15:00:00,14.3,,13.7,13.0
2021-11-17 15:00:00,13.0,12.1,11.9,11.4
2021-10-20 14:00:00,11.4,11.6,11.2,11.0
2021-09-15 14:00:00,11.0,10.3,10.4,9.9
2021-08-18 14:00:00,9.9,9.1,9.7,9.1
2021-07-14 14:00:00,9.1,10.8,10.4,10.7
2021-06-16 14:00:00,10.7,10.6,10.0,9.9
2021-05-19 14:00:00,9.9,9.0,6.4,5.9
2021-04-21 14:00:00,5.9,4.4,3.3,2.6
2021-03-24 15:00:00,2.6,2.6,1.6,1.3
2021-02-17 15:00:00,1.3,0.6,0.6,0.2
2021-01-20 15:00:00,0.2,1.0,-0.3,-0.5
2020-12-16 15:00:00,-0.5,-2.5,-1.2,-1.3
2020-11-18 15:00:00,-1.3,-2.5,-2.2,-3.7
2020-10-21 14:00:00,-3.7,-5.5,-5.8,-5.8
2020-09-16 14:00:00,-5.8,-4.9,-5.7,-5.7
2020-08-19 14:00:00,-5.7,-6.1,-6.7,-6.4
2020-07-15 14:00:00,-6.4,-6.5,-9.4,-10.0
2020-06-17 14:00:00,-10.0,-6.0,-10.2,-9.8
2020-05-20 14:00:00,-9.8,-8.7,-3.1,-2.9
2020-04-22 14:00:00,-2.9,-3.6,-0.2,-0.5
2020-03-25 15:00:00,-0.5,-0.9,1.6,2.1
2020-02-19 17:30:00,2.1,-0.1,0.9,-0.1
2020-01-15 17:30:00,-0.1,-0.8,-1.9,-2.7
2019-12-18 17:30:00,-2.7,-2.5,-5.0,-5.1
2019-11-13 17:30:00,-5.1,-4.9,-3.0,-2.8
2019-10-16 16:30:00,-2.8,-1.8,-0.9,-0.8
2019-09-18 16:30:00,-0.8,-0.5,0.9,1.3
2019-08-14 16:30:00,1.3,0.1,0.3,-0.3
2019-07-17 16:30:00,-0.3,0.5,1.4,1.3
2019-06-19 16:30:00,1.3,0.8,4.5,3.8
2019-05-22 16:30:00,3.8,4.5,3.2,3.7
2019-04-17 16:30:00,3.7,3.9,4.0,3.7
2019-03-20 17:30:00,3.7,4.3,2.6,2.9
2019-02-13 17:30:00,2.9,3.8,3.2,3.7
2019-01-16 17:30:00,3.7,3.5,5.3,5.6
2018-12-19 17:30:00,5.6,4.6,10.3,10.0
2018-11-14 17:30:00,10.0,9.6,10.5,10.3
2018-10-17 16:30:00,10.3,9.2,9.4,8.7
2018-09-19 16:30:00,8.7,9.1,10.3,10.9
2018-08-15 16:30:00,10.9,10.4,10.3,10.2
2018-07-18 16:30:00,10.2,10.0,9.6,9.2
2018-06-13 16:30:00,9.2,7.6,5.6,5.3
2018-05-23 16:30:00,5.3,5.8,4.4,4.2
2018-04-18 16:30:00,4.2,4.1,3.8,3.4
2018-03-20 17:30:00,3.4,3.8,4.5,4.7
2018-02-13 17:30:00,4.7,4.2,5.4,4.9
2018-01-16 17:30:00,4.9,5.4,7.3,7.3
2017-12-12 17:30:00,7.3,6.8,4.8,4.6
2017-11-14 17:30:00,4.6,4.8,8.1,8.4
2017-10-17 16:30:00,8.4,8.2,8.4,7.6
2017-09-12 16:30:00,7.6,7.3,6.2,6.5
2017-08-15 16:30:00,6.5,7.0,10.0,9.9
2017-07-18 16:30:00,9.9,8.8,12.1,11.6
2017-06-13 16:30:00,11.6,13.5,15.6,16.6
2017-05-16 16:30:00,16.6,17.0,17.4,17.9
2017-04-11 16:30:00,17.9,17.0,19.4,19.1
2017-03-21 17:30:00,19.1,20.1,20.1,20.5
