datetime,UK_RS_MoM_Actual,UK_RS_MoM_Srv_Med,UK_RS_MoM_Revised,UK_RS_MoM_Prior
2023-08-18 14:00:00,-1.2,-0.5,0.6,0.7
2023-07-21 14:00:00,0.7,0.2,0.1,0.3
2023-06-23 14:00:00,0.3,-0.2,0.5,0.5
2023-05-26 14:00:00,0.5,0.4,-1.2,-0.9
2023-04-21 14:00:00,-0.9,-0.5,1.1,1.2
2023-03-24 15:00:00,1.2,0.2,0.9,0.5
2023-02-17 15:00:00,0.5,-0.3,-1.2,-1.0
2023-01-20 15:00:00,-1.0,0.5,-0.5,-0.4
2022-12-16 15:00:00,-0.4,0.3,0.9,0.6
2022-11-18 15:00:00,0.6,0.3,-1.5,-1.4
2022-10-21 14:00:00,-1.4,-0.5,-1.7,-1.6
2022-09-16 14:00:00,-1.6,-0.5,0.4,0.3
2022-08-19 14:00:00,0.3,-0.2,-0.2,-0.1
2022-07-22 14:00:00,-0.1,-0.3,-0.8,-0.5
2022-06-24 14:00:00,-0.5,-0.7,0.4,1.4
2022-05-20 14:00:00,1.4,-0.2,-1.2,-1.4
2022-04-22 14:00:00,-1.4,-0.3,-0.5,-0.3
2022-03-25 15:00:00,-0.3,0.6,1.9,1.9
2022-02-18 15:00:00,1.9,1.0,-4.0,-3.7
2022-01-21 15:00:00,-3.7,-0.6,1.0,1.4
2021-12-17 15:00:00,1.4,0.8,1.1,0.8
2021-11-19 15:00:00,0.8,0.5,-0.2,-0.2
2021-10-22 14:00:00,-0.2,0.5,-0.6,-0.9
2021-09-17 14:00:00,-0.9,0.5,-2.8,-2.5
2021-08-20 14:00:00,-2.5,0.4,0.2,0.5
2021-07-23 14:00:00,0.5,0.4,-1.3,-1.4
2021-06-18 14:00:00,-1.4,1.6,9.2,9.2
2021-05-21 14:00:00,9.2,4.5,5.1,5.4
2021-04-23 14:00:00,5.4,1.5,2.2,2.1
2021-03-26 15:00:00,2.1,2.1,-8.2,-8.2
2021-02-19 15:00:00,-8.2,-2.5,0.4,0.3
2021-01-22 15:00:00,0.3,1.2,-4.1,-3.8
2020-12-18 15:00:00,-3.8,-4.2,1.3,1.2
2020-11-20 15:00:00,1.2,0.1,1.4,1.5
2020-10-23 14:00:00,1.5,0.4,0.9,0.8
2020-09-18 14:00:00,0.8,0.7,3.7,3.6
2020-08-21 14:00:00,3.6,2.0,13.9,13.9
2020-07-24 14:00:00,13.9,8.0,12.3,12.0
2020-06-19 14:00:00,12.0,5.7,-18.0,-18.1
2020-05-22 14:00:00,-18.1,-16.0,-5.2,-5.1
2020-04-24 14:00:00,-5.1,-4.0,-0.3,-0.3
2020-03-26 15:00:00,-0.3,0.2,1.1,0.9
2020-02-20 17:30:00,0.9,0.7,-0.5,-0.6
2020-01-17 17:30:00,-0.6,0.5,-0.8,-0.6
2019-12-19 17:30:00,-0.6,0.3,-0.1,-0.1
2019-11-14 17:30:00,-0.1,0.2,0.0,0.0
2019-10-17 16:30:00,0.0,0.1,-0.3,-0.2
2019-09-19 16:30:00,-0.2,-0.2,0.4,0.2
2019-08-15 16:30:00,0.2,-0.2,0.9,1.0
2019-07-18 16:30:00,1.0,-0.3,-0.6,-0.5
2019-06-20 16:30:00,-0.5,-0.5,-0.1,0.0
2019-05-24 16:30:00,0.0,-0.3,1.2,1.1
2019-04-18 16:30:00,1.1,-0.3,0.6,0.4
2019-03-21 17:30:00,0.4,-0.4,0.9,1.0
2019-02-15 17:30:00,1.0,0.2,-0.7,-0.9
2019-01-18 17:30:00,-0.9,-0.8,1.3,1.4
2018-12-20 17:30:00,1.4,0.3,-0.4,-0.5
2018-11-15 17:30:00,-0.5,0.2,-0.4,-0.8
2018-10-18 16:30:00,-0.8,-0.4,0.4,0.3
2018-09-20 16:30:00,0.3,-0.1,0.9,0.7
2018-08-16 16:30:00,0.7,0.2,-0.5,-0.5
2018-07-19 16:30:00,-0.5,0.1,1.4,1.3
2018-06-14 16:30:00,1.3,0.5,1.8,1.6
