datetime,UK_UECC_MoM_Actual,UK_UECC_MoM_Srv_Med,UK_UECC_MoM_Revised,UK_UECC_MoM_Prior
2023-09-12 14:00:00,None,None,29.0,29.0
2023-08-15 14:00:00,29.0,-7.3,16.2,25.7
2023-07-11 14:00:00,25.7,-8.6,-22.5,-13.6
2023-06-13 14:00:00,-13.6,21.4,23.4,46.7
2023-05-16 14:00:00,46.7,31.2,26.5,28.2
2023-04-18 14:00:00,28.2,10.2,-18.8,-11.2
2023-03-14 15:00:00,-11.2,-12.4,-30.3,-12.9
2023-02-14 15:00:00,-12.9,17.9,-3.2,19.7
2023-01-17 15:00:00,19.7,19.8,16.1,30.5
2022-12-13 15:00:00,30.5,3.5,-6.4,3.3
2022-11-15 15:00:00,3.3,17.3,3.9,25.5
2022-10-11 14:00:00,25.5,4.2,1.1,6.3
2022-09-13 14:00:00,6.3,-13.2,-14.5,-10.5
2022-08-16 14:00:00,-10.5,-32.0,-26.8,-20.0
2022-07-19 14:00:00,-20.0,-41.2,-34.7,-19.7
2022-06-14 14:00:00,-19.7,-49.4,-65.5,-56.9
2022-05-17 14:00:00,-56.9,-42.5,-81.6,-46.9
2022-04-12 14:00:00,-46.9,-41.1,-58.0,-48.1
2022-03-15 15:00:00,-48.1,-28.0,-67.3,-31.9
2022-02-15 15:00:00,-31.9,-28.0,-51.6,-43.3
2022-01-18 15:00:00,-43.3,-38.6,-95.1,-49.8
2021-12-14 15:00:00,-49.8,,-14.9,-14.9
2021-11-16 15:00:00,-14.9,,-51.1,-51.1
2021-10-12 14:00:00,-51.1,,-58.6,-58.6
2021-09-14 14:00:00,-58.6,,-48.9,-7.8
2021-08-17 14:00:00,-7.8,,-114.8,-114.8
2021-07-15 14:00:00,-114.8,,-92.6,-92.6
2021-06-15 14:00:00,-92.6,,-55.8,-15.1
2021-05-18 14:00:00,-15.1,,-19.4,10.1
2021-04-20 14:00:00,10.1,,86.6,86.6
2021-03-23 15:00:00,86.6,,-20.8,-20.0
2021-02-23 15:00:00,-20.0,35.0,-20.4,7.0
2021-01-26 15:00:00,7.0,35.0,38.1,64.3
2020-12-15 15:00:00,64.3,50.0,-29.8,-29.8
2020-11-10 15:00:00,-29.8,50.0,-40.2,28.0
2020-10-13 14:00:00,28.0,78.8,73.7,73.7
2020-09-15 14:00:00,73.7,100.0,69.9,94.4
2020-08-11 14:00:00,94.4,10.0,-28.1,-28.1
2020-07-16 14:00:00,-28.1,250.0,566.4,528.9
2020-06-16 14:00:00,528.9,400.0,1032.7,856.5
2020-05-19 14:00:00,856.5,676.5,12.1,12.1
2020-04-21 14:00:00,12.1,172.5,5.9,17.3
2020-03-17 17:30:00,17.3,21.4,-0.2,5.5
2020-02-18 17:30:00,5.5,22.6,2.6,14.9
2020-01-21 17:30:00,14.9,22.6,14.9,28.8
2019-12-17 17:30:00,28.8,21.2,26.4,33.0
2019-11-12 17:30:00,33.0,24.2,13.5,21.1
2019-10-15 16:30:00,21.1,26.5,16.3,28.2
2019-09-10 16:30:00,28.2,29.3,19.8,28.0
2019-08-13 16:30:00,28.0,32.0,31.4,38.0
2019-07-16 16:30:00,38.0,18.9,24.5,23.2
2019-06-11 16:30:00,23.2,22.9,19.1,24.7
2019-05-14 16:30:00,24.7,24.2,22.6,28.3
2019-04-16 16:30:00,28.3,20.0,26.7,27.0
2019-03-19 17:30:00,27.0,13.1,15.7,14.2
2019-02-19 17:30:00,14.2,12.3,20.8,20.8
2019-01-22 17:30:00,20.8,20.0,24.8,21.9
2018-12-11 17:30:00,21.9,13.2,23.2,20.2
2018-11-13 17:30:00,20.2,4.3,23.2,18.5
2018-10-16 16:30:00,18.5,4.5,14.2,8.7
2018-09-11 16:30:00,8.7,10.0,10.2,6.2
2018-08-14 16:30:00,6.2,3.8,9.0,7.8
2018-07-17 16:30:00,7.8,2.3,-3.0,-7.7
2018-06-12 16:30:00,-7.7,11.3,28.2,31.2
2018-05-15 16:30:00,31.2,13.3,15.7,11.6
2018-04-17 16:30:00,11.6,13.3,15.1,9.2
2018-03-21 17:30:00,9.2,-3.1,-1.6,-7.2
2018-02-21 17:30:00,-7.2,2.3,6.2,8.6
2018-01-24 17:30:00,8.6,5.4,12.2,5.9
2017-12-13 17:30:00,5.9,3.2,6.5,1.1
2017-11-15 17:30:00,1.1,2.3,2.6,1.7
2017-10-18 16:30:00,1.7,1.0,-0.2,-2.8
2017-09-13 16:30:00,-2.8,0.6,-2.9,-4.2
2017-08-16 16:30:00,-4.2,3.7,3.5,6.0
2017-07-12 16:30:00,6.0,10.0,7.5,7.3
2017-06-14 16:30:00,7.3,20.3,22.0,19.4
2017-05-17 16:30:00,19.4,7.5,33.5,25.5
2017-04-12 16:30:00,25.5,-3.0,-6.1,-11.3
2017-03-15 17:30:00,-11.3,-5.0,-41.4,-42.4
2017-02-15 17:30:00,-42.4,0.8,-20.5,-10.1
2017-01-18 17:30:00,-10.1,5.0,1.3,2.4
2016-12-14 17:30:00,2.4,5.5,13.3,9.8
2016-11-16 17:30:00,9.8,2.0,5.6,0.7
2016-10-19 16:30:00,0.7,3.0,7.1,2.4
2016-09-14 16:30:00,2.4,1.8,-3.6,-8.6
2016-08-17 16:30:00,-8.6,9.5,0.9,0.4
2016-07-20 16:30:00,0.4,3.5,12.2,-0.4
2016-06-15 16:30:00,-0.4,-0.1,6.4,-2.4
2016-05-18 16:30:00,-2.4,4.3,14.7,6.7
2016-04-20 16:30:00,6.7,-11.3,-9.3,-18.0
2016-03-16 17:30:00,-18.0,-9.1,-28.4,-14.8
2016-02-17 17:30:00,-14.8,-3.0,-15.2,-4.3
2016-01-20 17:30:00,-4.3,2.5,-2.2,3.9
2015-12-16 17:30:00,3.9,1.5,0.2,3.3
2015-11-11 17:30:00,3.3,1.5,0.5,4.6
2015-10-14 16:30:00,4.6,-2.1,1.2,1.2
2015-09-16 16:30:00,1.2,-5.0,-6.8,-4.9
2015-08-12 16:30:00,-4.9,1.5,0.2,7.0
2015-07-15 16:30:00,7.0,-8.8,-1.1,-6.5
2015-06-17 16:30:00,-6.5,-12.3,-7.8,-12.6
2015-05-13 16:30:00,-12.6,-20.0,-16.7,-20.7
2015-04-17 16:30:00,-20.7,-29.5,-29.1,-31.0
