datetime,US_CPMI_QoQ_Actual,US_CPMI_QoQ_Srv_Med,US_CPMI_QoQ_Revised,US_CPMI_QoQ_Prior,Is_P
2023-09-06 21:45:00,None,None,50.4,52.0,0
2023-08-23 21:45:00,50.4,52.0,52.0,52.0,1
2023-08-03 21:45:00,52.0,52.0,53.2,53.2,0
2023-07-24 21:45:00,52.0,53.1,53.2,53.0,1
2023-07-06 21:45:00,53.2,53.0,54.3,54.3,0
2023-06-23 21:45:00,53.0,54.4,54.3,54.5,1
2023-06-05 21:45:00,54.3,54.5,53.4,53.4,0
2023-05-23 21:45:00,54.5,50.0,53.4,53.5,1
2023-05-03 21:45:00,53.4,53.5,52.3,52.3,0
2023-04-21 21:45:00,53.5,52.8,52.3,53.3,1
2023-04-05 21:45:00,52.3,53.3,50.1,50.1,0
2023-03-24 21:45:00,53.3,47.5,50.1,50.2,1
2023-03-03 22:45:00,50.1,50.2,46.8,46.8,0
2023-02-21 22:45:00,50.2,47.5,46.8,46.6,1
2023-02-03 22:45:00,46.8,46.6,45.0,45.0,0
2023-01-24 22:45:00,46.6,,45.0,44.6,1
2023-01-05 22:45:00,45.0,44.6,46.4,46.4,0
2022-12-16 22:45:00,44.6,47.0,46.4,46.3,1
2022-12-05 22:45:00,46.4,46.3,48.2,48.2,0
2022-11-23 22:45:00,46.3,,48.2,47.3,1
2022-11-03 21:45:00,48.2,47.3,49.5,49.5,0
2022-10-24 21:45:00,47.3,49.3,49.5,49.3,1
2022-10-05 21:45:00,49.5,,44.6,44.6,0
2022-09-23 21:45:00,49.3,,44.6,45.0,1
2022-09-06 21:45:00,44.6,45.0,47.7,47.7,0
2022-08-23 21:45:00,45.0,49.0,47.7,47.5,1
2022-08-03 21:45:00,47.7,47.5,52.3,52.3,0
2022-07-22 21:45:00,47.5,,52.3,51.2,1
2022-07-06 21:45:00,52.3,51.2,53.6,53.6,0
2022-06-23 21:45:00,51.2,,53.6,53.8,1
2022-06-03 21:45:00,53.6,53.8,56.0,56.0,0
2022-05-24 21:45:00,53.8,,56.0,55.1,1
2022-05-04 21:45:00,56.0,55.1,57.7,57.7,0
2022-04-22 21:45:00,55.1,57.0,57.7,58.5,1
2022-04-05 21:45:00,57.7,58.5,55.9,55.9,0
2022-03-24 21:45:00,58.5,,55.9,56.0,1
2022-03-03 22:45:00,55.9,56.0,51.1,51.1,0
2022-02-22 22:45:00,56.0,,51.1,50.8,1
2022-02-03 22:45:00,51.1,50.8,57.0,57.0,0
2022-01-24 22:45:00,50.8,,57.0,56.9,1
2022-01-05 22:45:00,57.0,56.9,57.2,57.2,0
2021-12-16 22:45:00,56.9,,57.2,56.5,1
2021-12-03 22:45:00,57.2,56.5,57.6,57.6,0
2021-11-23 22:45:00,56.5,,57.6,57.3,1
2021-11-03 21:45:00,57.6,57.3,55.0,55.0,0
2021-10-22 21:45:00,57.3,,55.0,54.5,1
2021-10-05 21:45:00,55.0,54.5,55.4,55.4,0
2021-09-23 21:45:00,54.5,58.3,55.4,55.4,1
2021-09-03 21:45:00,55.4,55.4,59.9,59.9,0
2021-08-23 21:45:00,55.4,58.3,59.9,59.7,1
2021-08-04 21:45:00,59.9,59.7,63.7,63.7,0
2021-07-23 21:45:00,59.7,,63.7,63.9,1
2021-07-06 21:45:00,63.7,63.9,68.7,68.7,0
2021-06-23 21:45:00,63.9,,68.7,68.1,1
2021-06-03 21:45:00,68.7,68.1,63.5,63.5,0
2021-05-21 21:45:00,68.1,,63.5,62.2,1
2021-05-05 21:45:00,63.5,62.2,59.7,59.7,0
2021-04-23 21:45:00,62.2,,59.7,58.8,1
2021-04-05 21:45:00,59.7,,59.5,59.1,0
2021-03-24 21:45:00,59.1,,59.5,59.5,0
2021-03-03 22:45:00,59.5,58.8,58.7,58.7,0
2021-02-19 22:45:00,58.8,,58.7,58.0,1
2021-02-03 22:45:00,58.7,,55.3,55.3,0
2021-01-22 22:45:00,58.0,,55.3,55.7,1
2021-01-06 22:45:00,55.3,55.7,58.6,58.6,0
2020-12-16 22:45:00,55.7,,58.6,57.9,1
2020-12-03 22:45:00,58.6,57.9,56.3,56.3,0
2020-11-23 22:45:00,57.9,,56.3,55.5,1
2020-11-04 22:45:00,56.3,55.5,54.3,54.3,0
2020-10-23 21:45:00,55.5,,54.3,54.4,1
2020-10-05 21:45:00,54.3,54.4,54.6,54.6,0
2020-09-23 21:45:00,54.4,,54.6,54.7,1
2020-09-03 21:45:00,54.6,54.7,50.3,50.3,0
2020-08-21 21:45:00,54.7,,50.3,50.0,1
2020-08-05 21:45:00,50.3,50.0,47.9,47.9,0
2020-07-24 21:45:00,50.0,,47.9,46.8,1
2020-07-06 21:45:00,47.9,46.8,37.0,37.0,0
2020-06-23 21:45:00,46.8,,37.0,36.4,1
2020-06-03 21:45:00,37.0,36.4,27.0,27.0,0
2020-05-21 21:45:00,36.4,,27.0,27.4,1
2020-05-05 21:45:00,27.0,27.4,40.9,40.9,0
2020-04-23 21:45:00,27.4,,40.9,40.5,1
2020-04-03 21:45:00,40.9,40.5,49.6,49.6,0
2020-03-24 21:45:00,40.5,,49.6,49.6,1
2020-03-04 22:45:00,49.6,49.6,53.3,53.3,0
2020-02-21 22:45:00,49.6,,53.3,53.1,1
2020-02-05 22:45:00,53.3,53.1,52.7,52.7,0
2020-01-24 22:45:00,53.1,52.5,52.7,52.2,1
