datetime,US_EROIC_WoW_Actual,US_EROIC_WoW_Srv_Med,US_EROIC_WoW_Revised,US_EROIC_WoW_Prior
2023-08-30 23:00:00,None,0.045,0.945,0.945
2023-08-23 22:30:00,0.945,0.218,0.296,0.296
2023-08-16 22:30:00,0.296,-0.473,-1.706,-1.706
2023-08-09 22:30:00,-1.706,0.006,-0.796,-0.796
2023-08-02 22:30:00,-0.796,0.112,-0.245,-0.245
2023-07-26 22:30:00,-0.245,-0.301,0.014,0.014
2023-07-19 22:30:00,0.014,0.460,4.815,4.815
2023-07-12 22:30:00,4.815,-0.262,-1.045,-1.045
2023-07-06 23:00:00,-1.045,0.296,0.124,0.124
2023-06-28 22:30:00,0.124,0.782,0.433,0.433
2023-06-22 23:00:00,0.433,-0.001,2.123,2.123
2023-06-14 22:30:00,2.123,0.922,5.075,5.075
2023-06-07 22:30:00,5.075,1.328,0.985,0.985
2023-06-01 23:00:00,0.985,-0.118,-0.562,-0.562
2023-05-24 22:30:00,-0.562,0.057,0.08,0.080
2023-05-17 22:30:00,0.080,0.057,-4.17,-4.170
2023-05-10 22:30:00,-4.170,-0.808,-1.191,-1.191
2023-05-03 22:30:00,-1.191,-1.084,-0.576,-0.576
2023-04-26 22:30:00,-0.576,-0.839,-0.356,-0.356
2023-04-19 22:30:00,-0.356,-0.927,-0.606,-0.606
2023-04-12 22:30:00,-0.606,-0.764,-3.632,-3.632
2023-04-05 22:30:00,-3.632,-0.396,0.281,0.281
2023-03-29 22:30:00,0.281,-1.455,-3.313,-3.313
2023-03-22 22:30:00,-3.313,-1.500,-2.537,-2.537
2023-03-15 22:30:00,-2.537,-1.172,0.138,0.138
2023-03-08 23:30:00,0.138,-1.038,0.179,0.179
2023-03-01 23:30:00,0.179,-0.462,2.698,2.698
2023-02-24 00:00:00,2.698,-1.126,-1.285,-1.285
2023-02-15 23:30:00,-1.285,0.447,2.932,2.932
2023-02-08 23:30:00,2.932,0.097,2.32,2.320
2023-02-01 23:30:00,2.320,-1.300,-0.507,-0.507
2023-01-25 23:30:00,-0.507,-1.121,-1.939,-1.939
2023-01-20 00:00:00,-1.939,0.122,-1.069,-1.069
2023-01-11 23:30:00,-1.069,-0.472,-1.427,-1.427
2023-01-06 00:00:00,-1.427,-0.396,0.282,0.282
2022-12-30 00:00:00,0.282,-2.050,-0.242,-0.242
2022-12-21 23:30:00,-0.242,0.336,1.364,1.364
2022-12-14 23:30:00,1.364,2.517,6.159,6.159
2022-12-07 23:30:00,6.159,2.208,3.547,3.547
2022-11-30 23:30:00,3.547,1.457,1.718,1.718
2022-11-23 23:30:00,1.718,-0.550,1.12,1.120
2022-11-16 23:30:00,1.120,-0.513,-0.521,-0.521
2022-11-09 23:30:00,-0.521,-0.800,0.427,0.427
2022-11-02 22:30:00,0.427,-0.560,0.17,0.170
2022-10-26 22:30:00,0.170,-1.138,0.124,0.124
2022-10-19 22:30:00,0.124,-2.167,-4.853,-4.853
2022-10-13 23:00:00,-4.853,-2.050,-3.443,-3.443
2022-10-05 22:30:00,-3.443,-1.367,-2.892,-2.892
2022-09-28 22:30:00,-2.892,-0.069,1.231,1.231
2022-09-21 22:30:00,1.231,0.420,4.219,4.219
2022-09-14 22:30:00,4.219,0.600,0.095,0.095
2022-09-08 23:00:00,0.095,0.530,0.111,0.111
2022-08-31 22:30:00,0.111,-0.960,-0.661,-0.661
2022-08-24 22:30:00,-0.661,0.580,0.766,0.766
2022-08-17 22:30:00,0.766,0.440,2.166,2.166
2022-08-10 22:30:00,2.166,-0.667,-2.4,-2.400
2022-08-03 22:30:00,-2.400,1.038,-0.784,-0.784
2022-07-27 22:30:00,-0.784,0.500,-1.295,-1.295
2022-07-20 22:30:00,-1.295,1.169,2.668,2.668
2022-07-13 22:30:00,2.668,1.591,-1.266,-1.266
2022-07-07 23:00:00,-1.266,1.133,2.559,2.559
2022-06-29 22:30:00,2.559,,0.133,0.133
2022-06-29 22:25:00,0.133,0.328,0.725,0.725
2022-06-15 22:30:00,0.725,0.292,2.592,2.592
2022-06-08 22:30:00,2.592,1.060,-0.53,-0.530
2022-06-02 23:00:00,-0.530,0.990,1.657,1.657
2022-05-25 22:30:00,1.657,0.917,1.235,1.235
2022-05-18 22:30:00,1.235,-0.800,-0.913,-0.913
2022-05-11 22:30:00,-0.913,-1.312,-2.344,-2.344
2022-05-04 22:30:00,-2.344,-1.341,-1.449,-1.449
2022-04-27 22:30:00,-1.449,-0.292,-2.664,-2.664
2022-04-20 22:30:00,-2.664,-0.829,-2.902,-2.902
2022-04-13 22:30:00,-2.902,-0.515,0.771,0.771
2022-04-06 22:30:00,0.771,-0.819,1.394,1.394
2022-03-30 22:30:00,1.394,-1.550,-2.071,-2.071
2022-03-23 22:30:00,-2.071,-1.386,0.332,0.332
2022-03-16 22:30:00,0.332,-1.826,-5.231,-5.231
2022-03-09 23:30:00,-5.231,-1.914,-0.573,-0.573
2022-03-02 23:30:00,-0.573,-1.726,-0.585,-0.585
2022-02-25 00:00:00,-0.585,-1.763,-1.552,-1.552
2022-02-16 23:30:00,-1.552,-1.463,-0.929,-0.929
2022-02-09 23:30:00,-0.929,-1.739,-2.411,-2.411
2022-02-02 23:30:00,-2.411,-1.492,-2.798,-2.798
2022-01-26 23:30:00,-2.798,-1.260,-1.431,-1.431
2022-01-21 00:00:00,-1.431,-0.850,2.537,2.537
2022-01-12 23:30:00,2.537,1.757,4.418,4.418
2022-01-05 23:30:00,4.418,1.525,-1.726,-1.726
2021-12-29 23:30:00,-1.726,-0.059,0.396,0.396
2021-12-22 23:30:00,0.396,0.033,-2.853,-2.853
2021-12-15 23:30:00,-2.853,0.688,2.734,2.734
2021-12-08 23:30:00,2.734,1.571,2.16,2.160
2021-12-01 23:30:00,2.160,0.462,-1.968,-1.968
2021-11-24 23:30:00,-1.968,-1.002,-0.824,-0.824
2021-11-17 23:30:00,-0.824,-1.229,-2.613,-2.613
2021-11-10 23:30:00,-2.613,-1.133,2.16,2.160
2021-11-03 22:30:00,2.160,-1.443,-0.432,-0.432
2021-10-27 22:30:00,-0.432,-2.311,-3.913,-3.913
2021-10-20 22:30:00,-3.913,-0.700,-0.024,-0.024
2021-10-14 23:00:00,-0.024,-0.933,-0.396,-0.396
2021-10-06 22:30:00,-0.396,-1.007,0.385,0.385
2021-09-29 22:30:00,0.385,-1.648,-2.555,-2.555
2021-09-22 22:30:00,-2.555,-1.190,-1.688,-1.688
2021-09-15 22:30:00,-1.688,-1.612,-3.142,-3.142
2021-09-09 23:00:00,-3.142,-2.617,-1.732,-1.732
2021-09-01 22:30:00,-1.732,-0.650,0.645,0.645
2021-08-25 22:30:00,0.645,-0.271,-2.697,-2.697
2021-08-18 22:30:00,-2.697,0.276,1.766,1.766
2021-08-11 22:30:00,1.766,-0.472,0.833,0.833
2021-08-04 22:30:00,0.833,-0.543,-3.088,-3.088
2021-07-28 22:30:00,-3.088,-0.435,-1.349,-1.349
2021-07-21 22:30:00,-1.349,0.557,3.657,3.657
2021-07-14 22:30:00,3.657,0.877,1.616,1.616
2021-07-08 23:00:00,1.616,0.171,-0.869,-0.869
2021-06-30 22:30:00,-0.869,0.486,1.754,1.754
2021-06-23 22:30:00,1.754,1.083,-1.023,-1.023
2021-06-16 22:30:00,-1.023,0.186,4.412,4.412
2021-06-09 22:30:00,4.412,1.358,3.72,3.720
2021-06-03 23:00:00,3.720,-1.479,-3.013,-3.013
2021-05-26 22:30:00,-3.013,-1.900,-1.734,-2.324
2021-05-19 22:30:00,-2.324,-0.386,-1.733,-1.733
2021-05-12 22:30:00,-1.733,-1.080,-2.896,-2.896
2021-05-05 22:30:00,-2.896,-1.120,-3.342,-3.342
2021-04-28 22:30:00,-3.342,-0.648,-1.074,-1.074
2021-04-21 22:30:00,-1.074,-0.956,-2.083,-2.083
2021-04-14 22:30:00,-2.083,0.971,1.452,1.452
2021-04-07 22:30:00,1.452,0.486,2.542,2.542
