datetime,US_EROI_WoW_Actual,US_EROI_WoW_Srv_Med,US_EROI_WoW_Revised,US_EROI_WoW_Prior
2023-08-30 23:00:00,None,-1.555,0.116,0.116
2023-08-23 22:30:00,0.116,-2.270,-1.763,-1.763
2023-08-16 22:30:00,-1.763,0.374,2.937,2.937
2023-08-09 22:30:00,2.937,2.173,-0.391,-0.391
2023-08-02 22:30:00,-0.391,0.908,-1.584,-1.584
2023-07-26 22:30:00,-1.584,-1.937,-0.376,-0.376
2023-07-19 22:30:00,-0.376,-1.845,0.599,0.599
2023-07-12 22:30:00,0.599,-0.527,1.895,1.895
2023-07-06 23:00:00,1.895,2.054,-0.376,-0.376
2023-06-28 22:30:00,-0.376,0.923,-1.493,-1.493
2023-06-22 23:00:00,-1.493,-0.048,-0.814,-0.814
2023-06-14 22:30:00,-0.814,-0.782,1.623,1.623
2023-06-07 22:30:00,1.623,0.416,1.001,1.001
2023-06-01 23:00:00,1.001,0.432,-1.249,-1.249
2023-05-24 22:30:00,-1.249,-2.132,-0.127,-0.127
2023-05-17 22:30:00,-0.127,-0.389,1.018,1.018
2023-05-10 22:30:00,1.018,,0.102,0.102
2023-05-03 22:30:00,0.102,1.589,-0.166,-0.166
2023-04-26 22:30:00,-0.166,-0.300,-1.743,-1.743
2023-04-19 22:30:00,-1.743,-0.778,1.561,1.561
2023-04-12 22:30:00,1.561,-0.757,1.164,1.164
2023-04-05 22:30:00,1.164,-0.137,-0.499,-0.499
2023-03-29 22:30:00,-0.499,,0.051,0.051
2023-03-22 22:30:00,0.051,,-1.72,-1.720
2023-03-15 22:30:00,-1.720,,2.33,2.330
2023-03-08 23:30:00,2.330,,-1.15,-1.150
2023-03-01 23:30:00,-1.150,,-1.357,-1.357
2023-02-24 00:00:00,-1.357,,-1.072,-1.072
2023-02-15 23:30:00,-1.072,,0.367,0.367
2023-02-08 23:30:00,0.367,,2.593,2.593
2023-02-01 23:30:00,2.593,,-1.791,-1.791
2023-01-25 23:30:00,-1.791,,-1.224,-1.224
2023-01-20 00:00:00,-1.224,,2.708,2.708
2023-01-11 23:30:00,2.708,,-1.282,-1.282
2023-01-06 00:00:00,-1.282,,1.328,1.328
2022-12-30 00:00:00,1.328,,-1.092,-1.092
2022-12-21 23:30:00,-1.092,,-0.031,-0.031
2022-12-14 23:30:00,-0.031,,1.493,1.493
2022-12-07 23:30:00,1.493,,-1.732,-1.732
2022-11-30 23:30:00,-1.732,,1.124,1.124
2022-11-23 23:30:00,1.124,,-1.236,-1.236
2022-11-16 23:30:00,-1.236,,0.653,0.653
2022-11-09 23:30:00,0.653,,1.229,1.229
2022-11-02 22:30:00,1.229,,-0.719,-0.719
2022-10-26 22:30:00,-0.719,,-1.421,-1.421
2022-10-19 22:30:00,-1.421,,1.795,1.795
2022-10-13 23:00:00,1.795,,-0.407,-0.407
2022-10-05 22:30:00,-0.407,,-1.604,-1.604
2022-09-28 22:30:00,-1.604,,1.13,1.130
