datetime,US_IMS_ORD_Actual,US_IMS_ORD_Srv_Med,US_IMS_ORD_Revised,US_IMS_ORD_Prior
2023-09-01 22:00:00,None,46.3,47.3,47.3
2023-08-01 22:00:00,47.3,44.0,45.6,45.6
2023-07-03 22:00:00,45.6,44.0,42.6,42.6
2023-06-01 22:00:00,42.6,44.9,45.7,45.7
2023-05-01 22:00:00,45.7,45.5,44.3,44.3
2023-04-03 22:00:00,44.3,49.0,47.0,47.0
2023-03-01 23:00:00,47.0,None,42.5,42.5
2023-02-01 23:00:00,42.5,None,45.1,45.2
2023-01-04 23:00:00,45.2,None,47.2,47.2
2022-12-01 23:00:00,47.2,None,49.2,49.2
2022-11-01 22:00:00,49.2,None,47.1,47.1
2022-10-03 22:00:00,47.1,None,51.3,51.3
2022-09-01 22:00:00,51.3,,48.0,48.0
2022-08-01 22:00:00,48.0,,49.2,49.2
2022-07-01 22:00:00,49.2,,55.1,55.1
2022-06-01 22:00:00,55.1,,53.5,53.5
2022-05-02 22:00:00,53.5,,53.8,53.8
2022-04-01 22:00:00,53.8,,61.7,61.7
2022-03-01 23:00:00,61.7,,57.9,57.9
2022-02-01 23:00:00,57.9,,61.0,60.4
2022-01-04 23:00:00,60.4,,61.5,61.5
2021-12-01 23:00:00,61.5,,59.8,59.8
2021-11-01 22:00:00,59.8,,66.7,66.7
2021-10-01 22:00:00,66.7,,66.7,66.7
2021-09-01 22:00:00,66.7,,64.9,64.9
2021-08-02 22:00:00,64.9,,66.0,66.0
2021-07-01 22:00:00,66.0,,67.0,67.0
2021-06-01 22:00:00,67.0,,64.3,64.3
2021-05-03 22:00:00,64.3,,68.0,68.0
2021-04-01 22:00:00,68.0,,64.8,64.8
2021-03-01 23:00:00,64.8,,61.1,61.1
2021-02-01 23:00:00,61.1,,67.5,67.9
2021-01-05 23:00:00,67.9,,65.1,65.1
2020-12-01 23:00:00,65.1,,67.9,67.9
2020-11-02 23:00:00,67.9,,60.2,60.2
2020-10-01 22:00:00,60.2,,67.6,67.6
2020-09-01 22:00:00,67.6,,61.5,61.5
2020-08-03 22:00:00,61.5,,56.4,56.4
2020-07-01 22:00:00,56.4,,31.8,31.8
2020-06-01 22:00:00,31.8,,27.1,27.1
2020-05-01 22:00:00,27.1,,42.2,42.2
2020-04-01 22:00:00,42.2,,49.8,49.8
2020-03-02 23:00:00,49.8,,52.0,52.0
2020-02-03 23:00:00,52.0,,47.6,46.8
2020-01-03 23:00:00,46.8,,47.2,47.2
2019-12-02 23:00:00,47.2,,49.1,49.1
2019-11-01 22:00:00,49.1,,47.3,47.3
2019-10-01 22:00:00,47.3,,47.2,47.2
2019-09-03 22:00:00,47.2,,50.8,50.8
2019-08-01 22:00:00,50.8,,50.0,50.0
2019-07-01 22:00:00,50.0,52.5,52.7,52.7
2019-06-03 22:00:00,52.7,,51.7,51.7
2019-05-01 22:00:00,51.7,,57.4,57.4
2019-04-01 22:00:00,57.4,,55.5,55.5
2019-03-01 23:00:00,55.5,,58.2,58.2
2019-02-01 23:00:00,58.2,,51.3,51.1
2019-01-03 23:00:00,51.1,,62.1,62.1
2018-12-03 23:00:00,62.1,,57.4,57.4
2018-11-01 22:00:00,57.4,,61.8,61.8
2018-10-01 22:00:00,61.8,,65.1,65.1
2018-09-04 22:00:00,65.1,,60.2,60.2
2018-08-01 22:00:00,60.2,,63.5,63.5
2018-07-02 22:00:00,63.5,,63.7,63.7
2018-06-01 22:00:00,63.7,,61.2,61.2
2018-05-01 22:00:00,61.2,,61.9,61.9
2018-04-02 22:00:00,61.9,,64.2,64.2
2018-03-01 23:00:00,64.2,,65.4,65.4
2018-02-01 23:00:00,65.4,,67.4,69.4
2018-01-03 23:00:00,69.4,,64.0,64.0
2017-12-01 23:00:00,64.0,,63.4,63.4
2017-11-01 22:00:00,63.4,,64.6,64.6
2017-10-02 22:00:00,64.6,,60.3,60.3
2017-09-01 22:00:00,60.3,60.0,60.4,60.4
2017-08-01 22:00:00,60.4,,63.5,63.5
2017-07-03 22:00:00,63.5,,59.5,59.5
2017-06-01 22:00:00,59.5,,57.5,57.5
2017-05-01 22:00:00,57.5,,64.5,64.5
2017-04-03 22:00:00,64.5,,65.1,65.1
2017-03-01 23:00:00,65.1,,60.4,60.4
2017-02-01 23:00:00,60.4,,60.3,60.2
2017-01-03 23:00:00,60.2,,53.0,53.0
2016-12-01 23:00:00,53.0,,52.1,52.1
2016-11-01 22:00:00,52.1,,55.1,55.1
2016-10-03 22:00:00,55.1,,49.1,49.1
2016-09-01 22:00:00,49.1,,56.9,56.9
2016-08-01 22:00:00,56.9,,57.0,57.0
2016-07-01 22:00:00,57.0,,55.7,55.7
2016-06-01 22:00:00,55.7,,55.8,55.8
2016-05-02 22:00:00,55.8,,58.3,58.3
2016-04-01 22:00:00,58.3,,51.5,51.5
2016-03-01 23:00:00,51.5,,51.5,51.5
2016-02-01 23:00:00,51.5,,48.8,49.2
2016-01-04 23:00:00,49.2,,48.9,48.9
2015-12-01 23:00:00,48.9,,52.9,52.9
2015-11-02 23:00:00,52.9,,50.1,50.1
2015-10-01 22:00:00,50.1,,51.7,51.7
2015-09-01 22:00:00,51.7,,56.5,56.5
2015-08-03 21:25:00,56.5,,56.0,56.0
2015-07-01 22:00:00,56.0,,55.8,55.8
2015-06-01 22:00:00,55.8,,53.5,53.5
2015-05-01 22:00:00,53.5,,51.8,51.8
2015-04-01 22:00:00,51.8,,52.5,52.5
2015-03-02 23:00:00,52.5,,52.9,52.9
2015-02-02 23:00:00,52.9,,57.3,57.3
2015-01-02 23:00:00,57.3,,66.0,66.0
2014-12-01 23:00:00,66.0,,65.8,65.8
2014-11-03 23:00:00,65.8,,60.0,60.0
2014-10-01 22:00:00,60.0,,66.7,63.9
2014-09-01 17:00:00,63.9,,62.0,62.0
2014-08-01 17:00:00,62.0,,59.1,59.1
2014-07-01 17:00:00,59.1,,58.7,58.7
2014-06-01 17:00:00,58.7,,56.2,56.2
2014-05-01 17:00:00,56.2,,56.4,56.4
2014-04-01 17:00:00,56.4,,56.1,56.1
2014-03-01 17:00:00,56.1,,52.8,52.8
2014-02-01 17:00:00,52.8,,64.9,64.9
2014-01-01 17:00:00,64.9,,60.2,60.2
2013-12-01 17:00:00,60.2,,58.9,58.9
2013-11-01 17:00:00,58.9,,60.7,60.7
2013-10-01 17:00:00,60.7,,61.5,61.5
2013-09-01 17:00:00,61.5,,58.0,58.0
2013-08-01 17:00:00,58.0,,55.9,55.9
2013-07-01 17:00:00,55.9,,51.1,51.1
2013-06-01 17:00:00,51.1,,50.6,50.6
2013-05-01 17:00:00,50.6,,52.7,52.7
2013-04-01 17:00:00,52.7,,57.0,57.0
2013-03-01 17:00:00,57.0,,51.6,51.6
2013-02-01 17:00:00,51.6,,50.3,50.3
2013-01-01 17:00:00,50.3,,49.5,49.5
2012-12-01 17:00:00,49.5,,50.2,50.2
2012-11-01 17:00:00,50.2,,53.0,53.0
2012-10-01 17:00:00,53.0,,48.4,48.4
2012-09-01 17:00:00,48.4,,49.2,49.2
2012-08-01 17:00:00,49.2,,51.5,51.5
2012-07-01 17:00:00,51.5,,58.9,58.9
2012-06-01 17:00:00,58.9,,57.3,57.3
2012-05-01 17:00:00,57.3,,55.9,55.9
2012-04-01 17:00:00,55.9,,55.9,55.9
2012-03-01 17:00:00,55.9,,55.2,55.2
2012-02-01 17:00:00,55.2,,55.3,55.3
2012-01-01 17:00:00,55.3,,54.0,54.0
2011-12-01 17:00:00,54.0,,51.2,51.2
2011-11-01 17:00:00,51.2,,51.3,51.3
2011-10-01 17:00:00,51.3,,51.3,51.3
2011-09-01 17:00:00,51.3,,54.4,54.4
2011-08-01 17:00:00,54.4,,55.9,55.9
2011-07-01 17:00:00,55.9,,53.9,53.9
2011-06-01 17:00:00,53.9,,62.1,62.1
2011-05-01 17:00:00,62.1,,61.7,61.7
2011-04-01 17:00:00,61.7,,61.9,61.9
2011-03-01 17:00:00,61.9,,62.1,62.1
2011-02-01 17:00:00,62.1,,59.8,59.8
2011-01-01 17:00:00,59.8,,57.9,57.9
2010-12-01 17:00:00,57.9,,59.5,59.5
2010-11-01 17:00:00,59.5,,53.5,53.5
2010-10-01 17:00:00,53.5,,56.9,56.9
2010-09-01 17:00:00,56.9,,57.0,57.0
2010-08-01 17:00:00,57.0,,60.0,60.0
2010-07-01 17:00:00,60.0,,63.1,63.1
2010-06-01 17:00:00,63.1,,62.4,62.4
2010-05-01 17:00:00,62.4,,61.4,61.4
2010-04-01 17:00:00,61.4,,57.1,57.1
2010-03-01 17:00:00,57.1,,62.9,62.9
2010-02-01 17:00:00,62.9,,63.0,63.0
2010-01-01 17:00:00,63.0,,60.6,60.6
2009-12-01 17:00:00,60.6,,59.9,59.9
2009-11-01 17:00:00,59.9,,63.3,63.3
2009-10-01 17:00:00,63.3,,66.6,66.6
2009-09-01 17:00:00,66.6,,57.6,57.6
2009-08-01 17:00:00,57.6,,51.7,51.7
2009-07-01 17:00:00,51.7,,49.0,49.0
2009-06-01 17:00:00,49.0,,46.5,46.5
2009-05-01 17:00:00,46.5,,40.3,40.3
2009-04-01 17:00:00,40.3,,32.8,32.8
2009-03-01 17:00:00,32.8,,31.8,31.8
2009-02-01 17:00:00,31.8,,23.2,23.2
2009-01-01 17:00:00,23.2,,27.6,27.6
2008-12-01 17:00:00,27.6,,33.2,33.2
2008-11-01 17:00:00,33.2,,41.8,41.8
2008-10-01 17:00:00,41.8,,46.7,46.7
2008-09-01 17:00:00,46.7,,47.0,47.0
2008-08-01 17:00:00,47.0,,49.7,49.7
2008-07-01 17:00:00,49.7,,48.5,48.5
2008-06-01 17:00:00,48.5,,46.5,46.5
2008-05-01 17:00:00,46.5,,45.6,45.6
2008-04-01 17:00:00,45.6,,46.4,46.4
2008-03-01 17:00:00,46.4,,48.0,48.0
2008-02-01 17:00:00,48.0,,46.5,46.5
2008-01-01 17:00:00,46.5,,52.4,52.4
2007-12-01 17:00:00,52.4,,56.4,56.4
2007-11-01 17:00:00,56.4,,54.4,54.4
2007-10-01 17:00:00,54.4,,54.4,54.4
2007-09-01 17:00:00,54.4,,58.6,58.6
2007-08-01 17:00:00,58.6,,57.7,57.7
2007-07-01 17:00:00,57.7,,58.6,58.6
2007-06-01 17:00:00,58.6,,57.4,57.4
2007-05-01 17:00:00,57.4,,50.2,50.2
2007-04-01 17:00:00,50.2,,55.1,55.1
2007-03-01 17:00:00,55.1,,52.2,52.2
