datetime,US_IMS_PMI_Actual,US_IMS_PMI_Srv_Med,US_IMS_PMI_Revised,US_IMS_PMI_Prior
2023-09-01 22:00:00,None,47.0,46.4,46.4
2023-08-01 22:00:00,46.4,46.8,46.0,46.0
2023-07-03 22:00:00,46.0,47.2,46.9,46.9
2023-06-01 22:00:00,46.9,47.0,47.1,47.1
2023-05-01 22:00:00,47.1,46.8,46.3,46.3
2023-04-03 22:00:00,46.3,47.5,47.7,47.7
2023-03-01 23:00:00,47.7,48.0,47.4,47.4
2023-02-01 23:00:00,47.4,48.0,48.4,48.4
2023-01-04 23:00:00,48.4,48.5,49.0,49.0
2022-12-01 23:00:00,49.0,49.8,50.2,50.2
2022-11-01 22:00:00,50.2,50.0,50.9,50.9
2022-10-03 22:00:00,50.9,52.2,52.8,52.8
2022-09-01 22:00:00,52.8,52.0,52.8,52.8
2022-08-01 22:00:00,52.8,52.0,53.0,53.0
2022-07-01 22:00:00,53.0,54.9,56.1,56.1
2022-06-01 22:00:00,56.1,54.5,55.4,55.4
2022-05-02 22:00:00,55.4,57.6,57.1,57.1
2022-04-01 22:00:00,57.1,59.0,58.6,58.6
2022-03-01 23:00:00,58.6,58.0,57.6,57.6
2022-02-01 23:00:00,57.6,57.5,58.8,58.7
2022-01-04 23:00:00,58.7,60.0,61.1,61.1
2021-12-01 23:00:00,61.1,61.0,60.8,60.8
2021-11-01 22:00:00,60.8,60.5,61.1,61.1
2021-10-01 22:00:00,61.1,59.6,59.9,59.9
2021-09-01 22:00:00,59.9,58.6,59.5,59.5
2021-08-02 22:00:00,59.5,60.9,60.6,60.6
2021-07-01 22:00:00,60.6,61.0,61.2,61.2
2021-06-01 22:00:00,61.2,60.9,60.7,60.7
2021-05-03 22:00:00,60.7,65.0,64.7,64.7
2021-04-01 22:00:00,64.7,61.3,60.8,60.8
2021-03-01 23:00:00,60.8,58.8,58.7,58.7
2021-02-01 23:00:00,58.7,60.0,60.5,60.7
2021-01-05 23:00:00,60.7,56.6,57.5,57.5
2020-12-01 23:00:00,57.5,58.0,59.3,59.3
2020-11-02 23:00:00,59.3,55.8,55.4,55.4
2020-10-01 22:00:00,55.4,56.4,56.0,56.0
2020-09-01 22:00:00,56.0,54.5,54.2,54.2
2020-08-03 22:00:00,54.2,53.6,52.6,52.6
