datetime,US_IMS_PPI_Actual,US_IMS_PPI_Srv_Med,US_IMS_PPI_Revised,US_IMS_PPI_Prior
2023-09-01 22:00:00,None,43.5,42.6,42.6
2023-08-01 22:00:00,42.6,42.8,41.8,41.8
2023-07-03 22:00:00,41.8,44.0,44.2,44.2
2023-06-01 22:00:00,44.2,52.0,53.2,53.2
2023-05-01 22:00:00,53.2,49.0,49.2,49.2
2023-04-03 22:00:00,49.2,51.2,51.3,51.3
2023-03-01 23:00:00,51.3,45.1,44.5,44.5
2023-02-01 23:00:00,44.5,39.5,39.4,39.4
2023-01-04 23:00:00,39.4,42.6,43.0,43.0
2022-12-01 23:00:00,43.0,47.5,46.6,46.6
2022-11-01 22:00:00,46.6,52.5,51.7,51.7
2022-10-03 22:00:00,51.7,51.9,52.5,52.5
2022-09-01 22:00:00,52.5,55.5,60.0,60.0
2022-08-01 22:00:00,60.0,74.3,78.5,78.5
2022-07-01 22:00:00,78.5,81.0,82.2,82.2
2022-06-01 22:00:00,82.2,83.0,84.6,84.6
2022-05-02 22:00:00,84.6,87.5,87.1,87.1
2022-04-01 22:00:00,87.1,80.0,75.6,75.6
2022-03-01 23:00:00,75.6,68.1,76.1,76.1
2022-02-01 23:00:00,76.1,68.1,68.2,68.2
2022-01-04 23:00:00,68.2,79.5,82.4,82.4
2021-12-01 23:00:00,82.4,85.5,85.7,85.7
2021-11-01 22:00:00,85.7,78.5,81.2,81.2
2021-10-01 22:00:00,81.2,78.5,79.4,79.4
2021-09-01 22:00:00,79.4,83.8,85.7,85.7
2021-08-02 22:00:00,85.7,,92.1,92.1
2021-07-01 22:00:00,92.1,86.5,88.0,88.0
2021-06-01 22:00:00,88.0,89.8,89.6,89.6
2021-05-03 22:00:00,89.6,86.1,85.6,85.6
2021-04-01 22:00:00,85.6,85.0,86.0,86.0
2021-03-01 23:00:00,86.0,80.0,82.1,82.1
2021-02-01 23:00:00,82.1,77.0,77.6,77.6
2021-01-05 23:00:00,77.6,65.7,65.4,65.4
2020-12-01 23:00:00,65.4,65.0,65.5,65.5
2020-11-02 23:00:00,65.5,60.0,62.8,62.8
2020-10-01 22:00:00,62.8,58.6,59.5,59.5
2020-09-01 22:00:00,59.5,54.0,53.2,53.2
2020-08-03 22:00:00,53.2,52.0,51.3,51.3
2020-07-01 22:00:00,51.3,43.0,40.8,40.8
2020-06-01 22:00:00,40.8,37.0,35.3,35.3
2020-05-01 22:00:00,35.3,35.0,37.4,37.4
2020-04-01 22:00:00,37.4,41.2,45.9,45.9
2020-03-02 23:00:00,45.9,51.0,53.3,53.3
2020-02-03 23:00:00,53.3,50.8,51.7,51.7
2020-01-03 23:00:00,51.7,47.5,46.7,46.7
2019-12-02 23:00:00,46.7,47.0,45.5,45.5
2019-11-01 22:00:00,45.5,49.9,49.7,49.7
2019-10-01 22:00:00,49.7,48.5,46.0,46.0
2019-09-03 22:00:00,46.0,45.8,45.1,45.1
2019-08-01 22:00:00,45.1,49.6,47.9,47.9
2019-07-01 22:00:00,47.9,53.0,53.2,53.2
2019-06-03 22:00:00,53.2,52.0,50.0,50.0
2019-05-01 22:00:00,50.0,54.5,54.3,54.3
2019-04-01 22:00:00,54.3,50.1,49.4,49.4
2019-03-01 23:00:00,49.4,51.6,49.6,49.6
2019-02-01 23:00:00,49.6,54.5,54.9,54.9
2019-01-03 23:00:00,54.9,57.9,60.7,60.7
2018-12-03 23:00:00,60.7,70.0,71.6,71.6
2018-11-01 22:00:00,71.6,65.0,66.9,66.9
2018-10-01 22:00:00,66.9,71.0,72.1,72.1
2018-09-04 22:00:00,72.1,71.1,73.2,73.2
2018-08-01 22:00:00,73.2,75.5,76.8,76.8
2018-07-02 22:00:00,76.8,77.0,79.5,79.5
2018-06-01 22:00:00,79.5,77.6,79.3,79.3
2018-05-01 22:00:00,79.3,78.6,78.1,78.1
2018-04-02 22:00:00,78.1,72.6,74.2,74.2
2018-03-01 23:00:00,74.2,70.5,72.7,72.7
2018-02-01 23:00:00,72.7,68.0,69.0,69.0
2018-01-03 23:00:00,69.0,64.8,65.5,65.5
2017-12-01 23:00:00,65.5,67.0,68.5,68.5
2017-11-01 22:00:00,68.5,68.0,71.5,71.5
2017-10-02 22:00:00,71.5,64.0,62.0,62.0
2017-09-01 22:00:00,62.0,62.0,62.0,62.0
2017-08-01 22:00:00,62.0,55.5,55.0,55.0
2017-07-03 22:00:00,55.0,58.8,60.5,60.5
2017-06-01 22:00:00,60.5,66.4,68.5,68.5
2017-05-01 22:00:00,68.5,67.7,70.5,70.5
2017-04-03 22:00:00,70.5,66.0,68.0,68.0
2017-03-01 23:00:00,68.0,68.0,69.0,69.0
2017-02-01 23:00:00,69.0,66.0,65.5,65.5
2017-01-03 23:00:00,65.5,55.5,54.5,54.5
2016-12-01 23:00:00,54.5,54.0,54.5,54.5
2016-11-01 22:00:00,54.5,54.0,53.0,53.0
2016-10-03 22:00:00,53.0,53.0,53.0,53.0
2016-09-01 22:00:00,53.0,54.5,55.0,55.0
2016-08-01 22:00:00,55.0,60.0,60.5,60.5
2016-07-01 22:00:00,60.5,63.5,63.5,63.5
2016-06-01 22:00:00,63.5,59.8,59.0,59.0
2016-05-02 22:00:00,59.0,52.0,51.5,51.5
2016-04-01 22:00:00,51.5,42.0,38.5,38.5
2016-03-01 23:00:00,38.5,34.5,33.5,33.5
2016-02-01 23:00:00,33.5,33.5,33.5,33.5
2016-01-04 23:00:00,33.5,35.0,35.5,35.5
2015-12-01 23:00:00,35.5,40.0,39.0,39.0
2015-11-02 23:00:00,39.0,38.0,38.0,38.0
2015-10-01 22:00:00,38.0,39.3,39.0,39.0
2015-09-01 22:00:00,39.0,42.5,44.0,44.0
2015-08-03 21:25:00,44.0,49.0,49.5,49.5
2015-07-01 22:00:00,49.5,51.0,49.5,49.5
2015-06-01 22:00:00,49.5,42.5,40.5,40.5
2015-05-01 22:00:00,40.5,42.3,39.0,39.0
2015-04-01 22:00:00,39.0,38.0,35.0,35.0
2015-03-02 23:00:00,35.0,37.0,35.0,35.0
2015-02-02 23:00:00,35.0,39.5,38.5,38.5
2015-01-02 23:00:00,38.5,43.3,44.5,44.5
2014-12-01 23:00:00,44.5,52.6,53.5,53.5
2014-11-03 23:00:00,53.5,56.3,59.5,59.5
2014-10-01 22:00:00,59.5,57.0,58.0,58.0
2014-09-02 22:00:00,58.0,58.0,59.5,59.5
2014-08-01 22:00:00,59.5,59.0,58.0,58.0
2014-07-01 22:00:00,58.0,60.3,60.0,60.0
2014-06-02 22:00:00,60.0,57.0,56.5,56.5
2014-05-01 22:00:00,56.5,59.1,59.0,59.0
2014-04-01 22:00:00,59.0,60.0,60.0,60.0
2014-03-03 23:00:00,60.0,58.3,60.5,60.5
2014-02-03 23:00:00,60.5,54.0,53.5,53.5
2014-01-02 23:00:00,53.5,53.0,52.5,52.5
2013-12-02 23:00:00,52.5,55.0,55.5,55.5
2013-11-01 22:00:00,55.5,55.0,56.5,56.5
2013-10-01 22:00:00,56.5,55.0,54.0,54.0
2013-09-03 22:00:00,54.0,52.0,49.0,49.0
2013-08-01 22:00:00,49.0,54.2,52.5,52.5
2013-07-01 22:00:00,52.5,50.5,49.5,49.5
2013-06-03 22:00:00,49.5,49.6,50.0,50.0
2013-05-01 22:00:00,50.0,53.0,54.5,54.5
2013-04-01 22:00:00,54.5,59.8,61.5,61.5
2013-03-01 23:00:00,61.5,57.0,56.5,56.5
2013-02-01 23:00:00,56.5,56.0,55.5,55.5
2013-01-02 23:00:00,55.5,51.5,52.5,52.5
2012-12-03 23:00:00,52.5,53.0,55.0,55.0
2012-11-01 22:00:00,55.0,56.0,58.0,58.0
2012-10-01 22:00:00,58.0,55.5,54.0,54.0
2012-09-04 22:00:00,54.0,46.0,39.5,39.5
2012-08-01 22:00:00,39.5,40.0,37.0,37.0
2012-07-02 22:00:00,37.0,45.8,47.5,47.5
2012-06-01 22:00:00,47.5,56.8,61.0,61.0
2012-05-01 22:00:00,61.0,59.0,61.0,61.0
