datetime,US_IPI_Actual,US_IPI_Srv_Med,US_IPI_Revised,US_IPI_Prior
2023-09-15 20:30:00,None,None,0.4,0.4
2023-08-15 20:30:00,0.4,0.2,-0.1,-0.2
2023-07-14 20:30:00,-0.2,-0.1,-0.4,-0.6
2023-06-15 20:30:00,-0.6,-0.6,0.3,0.4
2023-05-12 20:30:00,0.4,0.3,-0.8,-0.6
2023-04-14 20:30:00,-0.6,-0.1,-0.2,-0.1
2023-03-16 20:30:00,-0.1,-0.2,-0.4,-0.2
2023-02-17 21:30:00,-0.2,-0.2,-0.1,0.4
2023-01-13 21:30:00,0.4,-0.9,-0.7,-0.6
2022-12-14 21:30:00,-0.6,-0.5,-0.4,-0.2
2022-11-16 21:30:00,-0.2,-0.4,-1.1,-1.2
2022-10-14 20:30:00,-1.2,-1.1,-1.1,-1.0
2022-09-15 20:30:00,-1.0,-1.2,-1.5,-1.4
2022-08-12 20:30:00,-1.4,-1.0,0.3,0.2
2022-07-15 20:30:00,0.2,0.7,0.5,0.6
2022-06-15 20:30:00,0.6,1.1,0.4,0.0
2022-05-13 20:30:00,0.0,0.6,2.9,2.6
2022-04-14 20:30:00,2.6,2.3,1.6,1.4
2022-03-16 20:30:00,1.4,1.5,1.9,2.0
2022-02-16 21:30:00,2.0,1.3,-0.4,-0.2
2022-01-14 21:30:00,-0.2,0.3,0.7,0.7
2021-12-15 21:30:00,0.7,0.7,1.5,1.2
2021-11-16 21:30:00,1.2,1.0,0.4,0.4
2021-10-15 20:30:00,0.4,0.6,-0.3,-0.3
2021-09-15 20:30:00,-0.3,0.3,0.4,0.3
2021-08-13 20:30:00,0.3,0.6,1.1,1.0
2021-07-15 20:30:00,1.0,1.2,1.4,1.1
2021-06-16 20:30:00,1.1,0.8,0.8,0.7
2021-05-14 20:30:00,0.7,0.6,1.4,1.2
2021-04-14 20:30:00,1.2,1.0,1.3,1.3
2021-03-16 20:30:00,1.3,1.2,1.4,1.4
2021-02-18 21:30:00,1.4,1.0,1.0,0.9
2021-01-14 21:30:00,0.9,0.7,0.2,0.1
2020-12-15 21:30:00,0.1,0.3,-0.1,-0.1
2020-11-17 21:30:00,-0.1,0.2,0.2,0.3
2020-10-15 20:30:00,0.3,0.3,1.0,0.9
2020-09-15 20:30:00,0.9,0.5,1.2,0.7
2020-08-13 20:30:00,0.7,0.6,1.4,1.4
2020-07-15 20:30:00,1.4,1.0,0.8,1.0
2020-06-12 20:30:00,1.0,0.6,-2.6,-2.6
