datetime,US_LFPR_YoY_Actual,US_LFPR_YoY_Srv_Med,US_LFPR_YoY_Revised,US_LFPR_YoY_Prior
2023-09-01 20:30:00,None,62.6,62.6,62.6
2023-08-04 20:30:00,62.6,62.6,62.6,62.6
2023-07-07 20:30:00,62.6,62.6,62.6,62.6
2023-06-02 20:30:00,62.6,62.5,62.6,62.6
2023-05-05 20:30:00,62.6,62.5,62.6,62.6
2023-04-07 20:30:00,62.6,62.5,62.5,62.5
2023-03-10 21:30:00,62.5,None,62.4,62.4
2023-02-03 21:30:00,62.4,None,62.3,62.3
2023-01-06 21:30:00,62.3,None,62.2,62.1
2022-12-02 21:30:00,62.1,None,62.2,62.2
2022-11-04 20:30:00,62.2,None,62.3,62.3
2022-10-07 20:30:00,62.3,None,62.4,62.4
2022-09-02 20:30:00,62.4,,62.1,62.1
2022-08-05 20:30:00,62.1,,62.2,62.2
2022-07-08 20:30:00,62.2,,62.3,62.3
2022-06-03 20:30:00,62.3,,62.2,62.2
2022-05-06 20:30:00,62.2,,62.4,62.4
2022-04-01 20:30:00,62.4,,62.3,62.3
2022-03-04 21:30:00,62.3,,62.2,62.2
2022-02-04 21:30:00,62.2,,61.9,61.9
2022-01-07 21:30:00,61.9,,61.9,61.8
2021-12-03 21:30:00,61.8,,61.6,61.6
2021-11-05 20:30:00,61.6,,61.6,61.6
2021-10-08 20:30:00,61.6,,61.7,61.7
2021-09-03 20:30:00,61.7,,61.7,61.7
2021-08-06 20:30:00,61.7,,61.6,61.6
2021-07-02 20:30:00,61.6,,61.6,61.6
2021-06-04 20:30:00,61.6,,61.7,61.7
2021-05-07 20:30:00,61.7,,61.5,61.5
2021-04-02 20:30:00,61.5,,61.4,61.4
2021-03-05 21:30:00,61.4,,61.4,61.4
2021-02-05 21:30:00,61.4,,61.5,61.5
2021-01-08 21:30:00,61.5,,61.5,61.5
2020-12-04 21:30:00,61.5,,61.7,61.7
2020-11-06 21:30:00,61.7,,61.4,61.4
2020-10-02 20:30:00,61.4,,61.7,61.7
2020-09-04 20:30:00,61.7,,61.4,61.4
2020-08-07 20:30:00,61.4,,61.5,61.5
2020-07-02 20:30:00,61.5,,60.8,60.8
2020-06-05 20:30:00,60.8,,60.2,60.2
2020-05-08 20:30:00,60.2,,62.7,62.7
2020-04-03 20:30:00,62.7,63.3,63.4,63.4
2020-03-06 21:30:00,63.4,,63.4,63.4
2020-02-07 21:30:00,63.4,63.1,63.2,63.2
2020-01-10 21:30:00,63.2,63.2,63.2,63.2
2019-12-06 21:30:00,63.2,63.3,63.3,63.3
2019-11-01 20:30:00,63.3,63.2,63.2,63.2
2019-10-04 20:30:00,63.2,,63.2,63.2
2019-09-06 20:30:00,63.2,,63.0,63
2019-08-02 20:30:00,63,,62.9,62.9
2019-07-05 20:30:00,62.9,,62.8,62.8
2019-06-07 20:30:00,62.8,,62.8,62.8
2019-05-03 20:30:00,62.8,62.9,63.0,63
2019-04-05 20:30:00,63,,63.2,63.2
2019-03-08 21:30:00,63.2,,63.2,63.2
2019-02-01 21:30:00,63.2,,63.1,63.1
2019-01-04 21:30:00,63.1,,62.9,62.9
2018-12-07 21:30:00,62.9,,62.9,62.9
2018-11-02 20:30:00,62.9,,62.7,62.7
2018-10-05 20:30:00,62.7,,62.7,62.7
2018-09-07 20:30:00,62.7,,62.9,62.9
2018-08-03 20:30:00,62.9,,62.9,62.9
2018-07-06 20:30:00,62.9,,62.7,62.7
2018-06-01 20:30:00,62.7,,62.8,62.8
2018-05-04 20:30:00,62.8,,62.9,62.9
2018-04-06 20:30:00,62.9,,63.0,63
2018-03-09 21:30:00,63,,62.7,62.7
2018-02-02 21:30:00,62.7,,62.7,62.7
2018-01-05 21:30:00,62.7,,62.7,62.7
2017-12-08 21:30:00,62.7,,62.7,62.7
2017-11-03 20:30:00,62.7,,63.1,63.1
2017-10-06 20:30:00,63.1,,62.9,62.9
2017-09-01 20:30:00,62.9,,62.9,62.9
2017-08-04 20:30:00,62.9,,62.8,62.8
2017-07-07 20:30:00,62.8,,62.7,62.7
2017-06-02 20:30:00,62.7,,62.9,62.9
2017-05-05 20:30:00,62.9,,63.0,63
2017-04-07 20:30:00,63,,63.0,63
2017-03-10 21:30:00,63,,62.9,62.9
2017-02-03 21:30:00,62.9,,62.7,62.7
