datetime,US_M5Y_Actual,US_M5Y_Srv_Med,US_M5Y_Revised,US_M5Y_Prior,Is_P
2023-09-15 22:00:00,None,None,3.0,3.0,0
2023-08-25 22:00:00,3.0,2.9,3.0,3.0,0
2023-08-11 22:00:00,2.9,3.0,3.0,3.1,1
2023-07-28 22:00:00,3.0,3.1,3.0,3.0,0
2023-07-14 22:00:00,3.1,3.1,3.0,3.0,1
2023-06-30 22:00:00,3.0,3.0,3.1,3.1,0
2023-06-16 22:00:00,3.0,3.1,3.1,3.2,1
2023-05-26 22:00:00,3.1,3.2,3.0,3.0,0
2023-05-12 22:00:00,3.2,2.9,3.0,2.9,1
2023-04-28 22:00:00,3.0,None,2.9,2.9,0
2023-04-14 22:00:00,2.9,2.8,2.9,2.8,1
2023-03-31 22:00:00,2.9,2.8,2.9,2.9,0
2023-03-17 22:00:00,2.8,,2.9,2.9,1
2023-02-24 23:00:00,2.9,2.9,2.9,2.9,0
2023-02-10 23:00:00,2.9,2.9,2.9,3.0,1
2023-01-27 23:00:00,2.9,3.0,2.9,2.9,0
2023-01-13 23:00:00,3.0,,2.9,3.0,1
2022-12-23 23:00:00,2.9,,3.0,3.0,0
2022-12-09 23:00:00,3.0,3.0,3.0,3.00,1
2022-11-23 23:00:00,3.0,3.0,2.9,2.70,0
2022-11-11 23:00:00,3.00,,2.9,2.90,1
2022-10-28 22:00:00,2.90,,2.9,2.90,1
2022-10-14 22:00:00,2.90,,2.7,2.80,1
2022-09-30 22:00:00,2.70,,2.8,2.90,0
2022-09-16 22:00:00,2.80,,2.9,3.00,1
2022-08-26 22:00:00,2.90,3.0,2.9,2.90,0
2022-08-12 22:00:00,3.00,2.8,2.9,2.80,1
2022-07-29 22:00:00,2.90,2.8,3.1,3.10,0
2022-07-15 22:00:00,2.80,,3.1,3.30,1
2022-06-24 22:00:00,3.10,,3.3,3.00,0
2022-06-10 22:00:00,3.30,,3.0,3.00,1
2022-05-27 22:00:00,3.00,3.0,3.0,3.00,0
2022-05-13 22:00:00,3.00,,3.0,3.00,1
2022-04-29 22:00:00,3.00,3.0,3.0,3.00,0
2022-04-14 22:00:00,3.00,,3.0,3.00,1
2022-03-25 22:00:00,3.00,,3.0,3.00,0
2022-03-11 23:00:00,3.00,,3.0,3.10,1
2022-02-25 23:00:00,3.00,3.1,3.1,3.10,0
2022-02-11 23:00:00,3.10,,3.1,3.10,1
2022-01-28 23:00:00,3.10,3.1,2.9,2.90,0
2022-01-14 23:00:00,3.10,,2.9,3.00,1
2021-12-23 23:00:00,2.90,3.0,3.0,3.00,0
2021-12-10 23:00:00,3.00,,3.0,2.80,1
2021-11-24 23:00:00,3.00,2.9,2.9,2.90,0
2021-11-12 23:00:00,2.90,,2.9,2.90,0
2021-10-29 22:00:00,2.90,,2.8,3.00,0
2021-10-15 22:00:00,2.80,,3.0,2.90,1
2021-10-01 22:00:00,3.00,2.9,2.9,2.90,0
2021-09-17 22:00:00,2.90,,2.9,2.80,0
