datetime,US_MCE_Actual,US_MCE_Srv_Med,US_MCE_Revised,US_MCE_Prior,Is_P
2023-09-15 22:00:00,None,None,65.5,65.5,0.0
2023-08-25 22:00:00,65.5,67.3,68.3,68.3,0.0
2023-08-11 22:00:00,67.3,68.1,68.3,69.4,1.0
2023-07-28 22:00:00,68.3,69.4,61.5,61.5,0.0
2023-07-14 22:00:00,69.4,61.8,61.5,61.3,1.0
2023-06-30 22:00:00,61.5,61.3,55.4,55.4,0.0
2023-06-16 22:00:00,61.3,56.5,55.4,53.4,1.0
2023-05-26 22:00:00,55.4,53.4,60.5,60.5,0.0
2023-05-12 22:00:00,53.4,59.8,60.5,60.3,1.0
2023-04-28 22:00:00,60.5,61.8,60.3,59.2,0.0
2023-04-14 22:00:00,60.3,60.0,59.2,61.5,1.0
2023-03-31 22:00:00,59.2,61.5,64.7,64.7,0.0
2023-03-17 22:00:00,61.5,64.5,64.7,62.3,1.0
2023-02-24 23:00:00,64.7,62.3,62.7,62.7,0.0
2023-02-10 23:00:00,62.3,62.9,62.7,62.0,1.0
2023-01-27 23:00:00,62.7,62.0,59.9,59.9,0.0
2023-01-13 23:00:00,62.0,59.5,59.9,58.4,1.0
2022-12-23 23:00:00,59.9,,58.4,55.6,0.0
2022-12-09 23:00:00,58.4,56.0,55.6,52.7,1.0
2022-11-23 23:00:00,55.6,52.7,56.2,58.0,0.0
2022-11-11 23:00:00,52.7,56.0,56.2,56.2,1.0
2022-10-28 22:00:00,56.2,,56.2,56.2,1.0
2022-10-14 22:00:00,56.2,58.5,58.0,59.9,1.0
2022-09-30 22:00:00,58.0,,59.9,58.0,0.0
2022-09-16 22:00:00,59.9,59.7,58.0,54.9,1.0
2022-08-26 22:00:00,58.0,54.9,47.3,47.3,0.0
2022-08-12 22:00:00,54.9,48.4,47.3,47.3,1.0
2022-07-29 22:00:00,47.3,47.3,47.5,47.5,0.0
2022-07-15 22:00:00,47.3,47.0,47.5,46.8,1.0
2022-06-24 22:00:00,47.5,,46.8,55.2,0.0
2022-06-10 22:00:00,46.8,54.5,55.2,56.3,1.0
2022-05-27 22:00:00,55.2,56.3,62.5,62.5,0.0
2022-05-13 22:00:00,56.3,63.0,62.5,64.1,1.0
2022-04-29 22:00:00,62.5,64.1,54.3,54.3,0.0
2022-04-14 22:00:00,64.1,54.2,54.3,54.4,1.0
2022-03-25 22:00:00,54.3,54.4,59.4,59.4,0.0
2022-03-11 23:00:00,54.4,58.8,59.4,57.4,1.0
2022-02-25 23:00:00,59.4,57.4,64.1,64.1,0.0
2022-02-11 23:00:00,57.4,,64.1,65.9,1.0
2022-01-28 23:00:00,64.1,65.8,68.3,68.3,0.0
2022-01-14 23:00:00,65.9,66.5,68.3,67.8,1.0
2021-12-23 23:00:00,68.3,67.8,63.5,63.5,0.0
2021-12-10 23:00:00,67.8,62.0,63.5,62.8,1.0
2021-11-24 23:00:00,63.5,63.0,67.9,67.9,0.0
2021-11-12 23:00:00,62.8,70.0,67.9,67.2,1.0
2021-10-29 22:00:00,67.9,67.2,68.1,68.1,0.0
2021-10-15 22:00:00,67.2,70.3,68.1,65.1,1.0
2021-10-01 22:00:00,68.1,67.1,65.1,67.1,0.0
2021-09-17 22:00:00,67.1,,65.1,79.0,0.0
2021-08-27 22:00:00,65.1,65.2,79.0,65.2,1.0
2021-08-13 22:00:00,65.2,85.0,79.0,78.4,1.0
2021-07-30 22:00:00,79.0,78.4,83.5,83.5,0.0
2021-07-16 22:00:00,78.4,85.0,83.5,83.8,1.0
2021-06-25 22:00:00,83.5,83.8,78.8,78.8,0.0
2021-06-11 22:00:00,83.8,79.0,78.8,77.6,1.0
2021-05-28 22:00:00,78.8,77.6,82.7,82.7,0.0
2021-05-14 22:00:00,77.6,85.0,82.7,79.7,1.0
2021-04-30 22:00:00,82.7,79.7,79.7,70.7,0.0
2021-04-16 22:00:00,79.7,83.6,79.7,79.7,1.0
2021-03-26 22:00:00,79.7,,77.5,77.5,1.0
2021-03-12 23:00:00,77.5,74.0,70.7,69.8,1.0
2021-02-26 23:00:00,70.7,69.8,74.0,74.6,0.0
2021-02-12 23:00:00,69.8,75.7,74.0,74.0,1.0
2021-01-29 23:00:00,74.0,,73.8,73.8,1.0
