datetime,US_MF_PRL_Actual,US_MF_PRL_Srv_Med,US_MF_PRL_Revised,US_MF_PRL_Prior
2023-09-01 20:30:00,None,1,-2,-2
2023-08-04 20:30:00,-2,5,6,7
2023-07-07 20:30:00,7,0,-3,-2
2023-06-02 20:30:00,-2,8,10,11
2023-05-05 20:30:00,11,-5,-8,-1
2023-04-07 20:30:00,-1,5,-1,-4
2023-03-10 21:30:00,-4,12,13,19
2023-02-03 21:30:00,19,6,12,8
2023-01-06 21:30:00,8,10,8,14
2022-12-02 21:30:00,14,20,36,32
2022-11-04 20:30:00,32,15,23,22
2022-10-07 20:30:00,22,19,27,22
2022-09-02 20:30:00,22,20,36,30
2022-08-05 20:30:00,30,17,27,29
2022-07-08 20:30:00,29,15,18,18
2022-06-03 20:30:00,18,40,61,55
2022-05-06 20:30:00,55,35,43,38
2022-04-01 20:30:00,38,30,38,36
2022-03-04 21:30:00,36,20,16,13
2022-02-04 21:30:00,13,25,32,26
2022-01-07 21:30:00,26,35,35,31
2021-12-03 21:30:00,31,45,48,60
2021-11-05 20:30:00,60,27,31,26
2021-10-08 20:30:00,26,25,31,37
2021-09-03 20:30:00,37,25,52,27
2021-08-06 20:30:00,27,25,39,15
2021-07-02 20:30:00,15,28,39,23
2021-06-04 20:30:00,23,24,-32,-18
2021-05-07 20:30:00,-18,55,54,53
2021-04-02 20:30:00,53,33,18,21
2021-03-05 21:30:00,21,18,-10,-10
2021-02-05 21:30:00,-10,30,31,38
2021-01-08 21:30:00,38,20,35,27
2020-12-04 21:30:00,27,43,33,38
2020-11-06 21:30:00,38,50,60,66
2020-10-02 20:30:00,66,35,36,29
2020-09-04 20:30:00,29,50,41,26
2020-08-07 20:30:00,26,253,357,356
2020-07-02 20:30:00,356,311,250,225
2020-06-05 20:30:00,225,-440,-1324,-1330
2020-05-08 20:30:00,-1330,-2500,-34,-18
2020-04-03 20:30:00,-18,-20,13,15
2020-03-06 21:30:00,15,-3,-20,-12
2020-02-07 21:30:00,-12,-5,-5,-12
2020-01-10 21:30:00,-12,5,58,54
2019-12-06 21:30:00,54,38,-43,-36
2019-11-01 20:30:00,-36,-50,-5,-2
2019-10-04 20:30:00,-2,4,2,3
2019-09-06 20:30:00,3,8,4,16
2019-08-02 20:30:00,16,5,12,17
2019-07-05 20:30:00,17,2,3,3
2019-06-07 20:30:00,3,5,5,4
2019-05-03 20:30:00,4,10,-6,-6
2019-04-05 20:30:00,-6,10,1,4
2019-03-08 21:30:00,4,11,21,13
2019-02-01 21:30:00,13,17,20,32
2019-01-04 21:30:00,32,20,27,27
2018-12-07 21:30:00,27,20,26,32
2018-11-02 20:30:00,32,15,18,18
2018-10-05 20:30:00,18,12,5,-3
2018-09-07 20:30:00,-3,24,18,37.0
2018-08-03 20:30:00,37.0,22.0,33,36.0
2018-07-06 20:30:00,36.0,15.0,19,18.0
2018-06-01 20:30:00,18.0,20.0,25,24.0
2018-05-04 20:30:00,24.0,20.0,22,22.0
2018-04-06 20:30:00,22.0,20.0,32,31.0
2018-03-09 21:30:00,31.0,15.0,25,15.0
2018-02-02 21:30:00,15.0,20.0,21,25.0
2018-01-05 21:30:00,25.0,15.0,31,31.0
2017-12-08 21:30:00,31.0,17.0,23,24.0
2017-11-03 20:30:00,24.0,15.0,6,-1.0
2017-10-06 20:30:00,-1.0,10.0,41,36.0
2017-09-01 20:30:00,36.0,9.0,26,16.0
2017-08-04 20:30:00,16.0,5.0,12,1.0
2017-07-07 20:30:00,1.0,5.0,-2,-1.0
2017-06-02 20:30:00,-1.0,5.0,11,6.0
2017-05-05 20:30:00,6.0,10.0,13,11.0
2017-04-07 20:30:00,11.0,15.0,26,28.0
2017-03-10 21:30:00,28.0,10.0,11,5.0
2017-02-03 21:30:00,5.0,4.0,11,17.0
2017-01-06 21:30:00,17.0,0.0,-7,-4.0
