datetime,US_MIE_Actual,US_MIE_Srv_Med,US_MIE_Revised,US_MIE_Prior,Is_P
2023-09-15 22:00:00,None,None,3.5,3.5,0
2023-08-25 22:00:00,3.5,3.3,3.4,3.4,0
2023-08-11 22:00:00,3.3,3.8,3.4,3.4,1
2023-07-28 22:00:00,3.4,3.4,3.3,3.3,0
2023-07-14 22:00:00,3.4,3.3,3.3,3.3,1
2023-06-30 22:00:00,3.3,3.3,4.2,4.2,0
2023-06-16 22:00:00,3.3,4.4,4.2,4.5,1
2023-05-26 22:00:00,4.2,4.5,4.6,4.6,0
2023-05-12 22:00:00,4.5,4.4,4.6,4.6,1
2023-04-28 22:00:00,4.6,None,4.6,3.6,0
2023-04-14 22:00:00,4.6,3.5,3.6,3.8,1
2023-03-31 22:00:00,3.6,3.8,4.1,4.1,0
2023-03-17 22:00:00,3.8,,4.1,4.2,1
2023-02-24 23:00:00,4.1,4.2,3.9,3.9,0
2023-02-10 23:00:00,4.2,4.0,3.9,4.0,1
2023-01-27 23:00:00,3.9,4.4,4.0,4.4,0
2023-01-13 23:00:00,4.0,,4.4,4.6,1
2022-12-23 23:00:00,4.4,,4.6,4.9,0
2022-12-09 23:00:00,4.6,4.9,4.9,5.1,1
2022-11-23 23:00:00,4.9,5.1,5.0,4.7,0
2022-11-11 23:00:00,5.1,,5.0,5.0,1
2022-10-28 22:00:00,5.0,,5.1,5.1,1
2022-10-14 22:00:00,5.1,,4.7,4.6,1
2022-09-30 22:00:00,4.7,,4.6,4.8,0
2022-09-16 22:00:00,4.6,,4.8,5.0,1
2022-08-26 22:00:00,4.8,5.0,5.2,5.2,0
2022-08-12 22:00:00,5.0,5.1,5.2,5.2,1
2022-07-29 22:00:00,5.2,5.2,5.3,5.3,0
2022-07-15 22:00:00,5.2,,5.3,5.4,1
2022-06-24 22:00:00,5.3,,5.4,5.3,0
2022-06-10 22:00:00,5.4,,5.3,5.4,1
2022-05-27 22:00:00,5.3,5.4,5.4,5.4,0
2022-05-13 22:00:00,5.4,,5.4,5.4,1
2022-04-29 22:00:00,5.4,5.4,5.4,5.4,0
2022-04-14 22:00:00,5.4,,5.4,5.4,1
2022-03-25 22:00:00,5.4,5.4,4.9,4.9,0
2022-03-11 23:00:00,5.4,,4.9,5.0,1
2022-02-25 23:00:00,4.9,5.0,4.9,4.9,0
2022-02-11 23:00:00,5.0,,4.9,4.9,1
2022-01-28 23:00:00,4.9,4.9,4.8,4.8,0
2022-01-14 23:00:00,4.9,,4.8,4.9,1
2021-12-23 23:00:00,4.8,4.9,4.9,4.9,0
2021-12-10 23:00:00,4.9,4.9,4.9,4.9,1
2021-11-24 23:00:00,4.9,4.9,4.8,4.8,0
2021-11-12 23:00:00,4.9,,4.8,4.8,1
2021-10-29 22:00:00,4.8,4.8,4.6,4.6,0
2021-10-15 22:00:00,4.8,,4.6,4.6,1
2021-10-01 22:00:00,4.6,4.7,4.6,4.7,0
2021-09-17 22:00:00,4.7,,4.6,4.7,0
2021-08-27 22:00:00,4.6,4.6,4.7,4.6,1
2021-08-13 22:00:00,4.6,,4.7,4.8,1
2021-07-30 22:00:00,4.7,4.8,4.2,4.2,0
2021-07-16 22:00:00,4.8,,4.2,4.0,1
2021-06-25 22:00:00,4.2,4.0,4.6,4.6,0
2021-06-11 22:00:00,4.0,,4.6,4.6,1
2021-05-28 22:00:00,4.6,4.6,3.4,3.4,0
2021-05-14 22:00:00,4.6,,3.4,3.7,1
2021-04-30 22:00:00,3.4,3.7,3.7,3.3,0
2021-04-16 22:00:00,3.7,,3.1,3.1,1
2021-03-26 22:00:00,3.1,,3.1,3.1,1
2021-03-12 23:00:00,3.1,,3.3,3.3,1
2021-02-26 23:00:00,3.3,3.3,3.0,2.5,0
2021-02-12 23:00:00,3.3,,3.0,3.0,1
2021-01-29 23:00:00,3.0,,3.0,3.0,1
2021-01-15 23:00:00,3.0,,2.5,2.3,1
2020-12-23 23:00:00,2.5,2.3,2.8,2.8,0
2020-12-11 23:00:00,2.3,,2.8,2.8,1
2020-11-25 23:00:00,2.8,2.8,2.6,2.6,0
2020-11-13 23:00:00,2.8,,2.6,2.7,1
2020-10-30 22:00:00,2.6,2.7,2.6,2.6,0
2020-10-16 22:00:00,2.7,,2.6,2.7,1
2020-10-02 22:00:00,2.6,2.7,3.1,3.1,0
2020-09-18 22:00:00,2.7,,3.1,3.0,1
2020-08-28 22:00:00,3.1,3.0,3.0,3.0,0
2020-08-14 22:00:00,3.0,,3.0,3.1,1
2020-07-31 22:00:00,3.0,3.1,3.0,3.0,0
2020-07-17 22:00:00,3.1,,3.0,3.0,1
2020-06-26 22:00:00,3.0,3.0,3.2,3.2,0
2020-06-12 22:00:00,3.0,,3.2,3.0,1
2020-05-29 22:00:00,3.2,3.0,2.1,2.1,0
2020-05-15 22:00:00,3.0,,2.1,2.1,1
2020-04-24 22:00:00,2.1,2.1,2.2,2.2,0
2020-04-09 22:00:00,2.1,,2.2,2.3,1
2020-03-27 22:00:00,2.2,2.3,2.4,2.4,0
2020-03-13 22:00:00,2.3,,2.4,2.5,1
2020-02-28 23:00:00,2.4,,2.5,2.5,0
2020-02-14 23:00:00,2.5,,2.5,2.5,1
2020-01-31 23:00:00,2.5,,2.3,2.3,0
2020-01-17 23:00:00,2.5,,2.3,2.4,1
2019-12-20 23:00:00,2.3,,2.5,2.5,0
2019-12-06 23:00:00,2.4,,2.5,2.5,1
2019-11-22 23:00:00,2.5,,2.5,2.5,0
2019-11-08 23:00:00,2.5,,2.5,2.5,1
2019-10-25 22:00:00,2.5,,2.8,2.8,0
2019-10-11 22:00:00,2.5,,2.8,2.8,1
2019-09-27 22:00:00,2.8,,2.7,2.7,0
2019-09-13 22:00:00,2.8,,2.7,2.7,1
2019-08-30 22:00:00,2.7,2.7,2.7,2.6,0
2019-08-16 22:00:00,2.7,,2.6,2.6,1
2019-08-02 22:00:00,2.6,,2.6,2.7,0
2019-07-19 22:00:00,2.6,,2.7,2.6,1
2019-06-28 22:00:00,2.7,,2.6,2.9,0
2019-06-14 22:00:00,2.6,,2.9,2.8,1
2019-05-31 22:00:00,2.9,2.8,2.8,2.5,0
2019-05-17 22:00:00,2.8,,2.5,2.4,1
2019-04-26 22:00:00,2.5,,2.4,2.5,0
2019-04-12 22:00:00,2.4,,2.5,2.4,1
2019-03-29 22:00:00,2.5,,2.4,2.6,0
2019-03-15 22:00:00,2.4,,2.6,2.5,1
2019-03-01 23:00:00,2.6,,2.5,2.7,0
2019-02-15 23:00:00,2.5,,2.7,2.7,1
2019-02-01 23:00:00,2.7,,2.7,2.7,0
2019-01-18 23:00:00,2.7,,2.7,2.7,1
2018-12-21 23:00:00,2.7,,2.7,2.8,0
2018-12-07 23:00:00,2.7,,2.8,2.8,1
2018-11-21 23:00:00,2.8,,2.8,2.9,0
2018-11-09 23:00:00,2.8,,2.9,2.8,1
2018-10-26 22:00:00,2.9,,2.8,2.7,0
2018-10-12 22:00:00,2.8,,2.7,2.8,1
2018-09-28 22:00:00,2.7,,2.8,3.0,0
2018-09-14 22:00:00,2.8,,3.0,2.9,1
2018-08-31 22:00:00,3.0,,2.9,2.9,0
2018-08-17 22:00:00,2.9,,2.9,2.9,1
2018-07-27 22:00:00,2.9,,2.9,3.0,0
2018-07-13 22:00:00,2.9,,3.0,2.9,1
2018-06-29 22:00:00,3.0,,2.9,2.8,0
2018-06-15 22:00:00,2.9,,2.8,2.8,1
2018-05-25 22:00:00,2.8,,2.8,2.7,0
2018-05-11 22:00:00,2.8,,2.7,2.7,1
2018-04-27 22:00:00,2.7,,2.7,2.8,0
2018-04-13 22:00:00,2.7,,2.8,2.9,1
2018-03-29 22:00:00,2.8,,2.9,2.7,0
2018-03-16 22:00:00,2.9,,2.7,2.7,1
2018-03-02 23:00:00,2.7,2.7,2.7,2.7,0
2018-02-16 23:00:00,2.7,,2.7,2.8,1
2018-02-02 23:00:00,2.7,,2.8,2.7,0
2018-01-19 23:00:00,2.8,,2.7,2.8,1
2017-12-22 23:00:00,2.7,,2.8,2.5,0
2017-12-08 23:00:00,2.8,,2.5,2.6,1
2017-11-22 23:00:00,2.5,,2.6,2.4,0
2017-11-10 23:00:00,2.6,,2.4,2.3,1
2017-10-27 22:00:00,2.4,,2.3,2.7,0
2017-10-13 22:00:00,2.3,,2.7,2.7,1
2017-09-29 22:00:00,2.7,,2.7,2.6,0
2017-09-15 22:00:00,2.7,,2.6,2.6,1
2017-09-01 22:00:00,2.6,,2.6,2.6,0
2017-08-18 22:00:00,2.6,,2.6,2.7,1
2017-07-28 22:00:00,2.6,,2.7,2.6,0
2017-07-14 22:00:00,2.7,,2.6,2.6,1
2017-06-30 22:00:00,2.6,,2.6,2.6,0
2017-06-16 22:00:00,2.6,,2.6,2.6,1
2017-05-26 22:00:00,2.6,,2.6,2.5,0
2017-05-12 22:00:00,2.6,,2.5,2.5,1
2017-04-28 22:00:00,2.5,,2.5,2.5,0
2017-04-13 22:00:00,2.5,,2.5,2.4,1
2017-03-31 22:00:00,2.5,,2.4,2.7,0
2017-03-17 22:00:00,2.4,,2.8,2.8,1
2017-02-24 23:00:00,2.7,,2.8,2.6,0
2017-02-10 23:00:00,2.8,,2.6,2.6,1
2017-01-27 23:00:00,2.6,,2.6,2.2,0
2017-01-13 23:00:00,2.6,,2.2,2.3,1
2016-12-23 23:00:00,2.2,,2.3,2.4,0
2016-12-09 23:00:00,2.3,,2.4,2.7,1
2016-11-23 23:00:00,2.4,,2.7,2.4,0
2016-11-11 23:00:00,2.7,,2.4,2.4,1
2016-10-28 22:00:00,2.4,,2.4,2.4,0
2016-10-14 22:00:00,2.4,,2.4,2.3,1
2016-09-30 22:00:00,2.4,,2.3,2.5,0
2016-09-16 22:00:00,2.3,,2.5,2.5,1
2016-08-26 22:00:00,2.5,,2.5,2.7,0
2016-08-12 22:00:00,2.5,,2.7,2.8,1
2016-07-29 22:00:00,2.7,,2.8,2.4,0
2016-07-15 22:00:00,2.8,,2.4,2.4,1
2016-06-24 22:00:00,2.4,,2.4,2.4,0
2016-06-10 22:00:00,2.4,,2.4,2.5,1
2016-05-27 22:00:00,2.4,,2.5,2.8,0
2016-05-13 22:00:00,2.5,,2.8,2.7,1
2016-04-29 22:00:00,2.8,,2.7,2.7,0
2016-04-15 22:00:00,2.7,,2.7,2.7,1
2016-04-01 22:00:00,2.7,,2.7,2.5,0
2016-03-18 22:00:00,2.7,,2.5,2.5,1
2016-02-26 23:00:00,2.5,,2.5,2.5,0
2016-02-12 22:55:00,2.5,,2.5,2.4,1
2016-01-29 23:00:00,2.5,,2.4,2.6,0
2016-01-15 22:55:00,2.4,,2.6,2.6,1
2015-12-23 23:00:00,2.6,,2.6,2.7,0
2015-12-11 23:00:00,2.6,,2.7,2.5,1
2015-11-25 23:00:00,2.7,,2.5,2.7,0
2015-11-13 23:00:00,2.5,,2.7,2.7,1
2015-10-30 22:00:00,2.7,,2.7,2.8,0
2015-10-16 22:00:00,2.7,,2.8,2.9,1
2015-09-25 22:00:00,2.8,,2.9,2.8,0
2015-09-11 22:00:00,2.9,,2.8,2.8,1
2015-08-28 22:00:00,2.8,,2.8,2.8,0
2015-08-14 22:00:00,2.8,,2.8,2.8,1
2015-07-31 22:00:00,2.8,,2.8,2.7,0
2015-07-17 22:00:00,2.8,,2.7,2.7,1
2015-06-26 22:00:00,2.7,,2.7,2.8,0
2015-06-12 22:00:00,2.7,,2.8,2.9,1
2015-05-29 22:00:00,2.8,,2.9,2.6,0
2015-05-15 22:00:00,2.9,,2.6,2.5,1
