datetime,US_MPMI_MoM_Actual,US_MPMI_MoM_Srv_Med,US_MPMI_MoM_Revised,US_MPMI_MoM_Prior,Is_P
2023-09-01 21:45:00,None,47.0,49.0,49.0,0
2023-08-23 21:45:00,47.0,49.3,49.0,49.0,1
2023-08-01 21:45:00,49.0,49.0,46.3,46.3,0
2023-07-24 21:45:00,49.0,46.4,46.3,46.3,1
2023-07-03 21:45:00,46.3,46.3,48.4,48.4,0
2023-06-23 21:45:00,46.3,48.5,48.4,48.5,1
2023-06-01 21:45:00,48.4,48.5,50.2,50.2,0
2023-05-23 21:45:00,48.5,50.0,50.2,50.4,1
2023-05-01 21:45:00,50.2,50.4,49.2,49.2,0
2023-04-21 21:45:00,50.4,49.0,49.2,49.3,1
2023-04-03 21:45:00,49.2,49.3,47.3,47.3,0
2023-03-24 21:45:00,49.3,47.0,47.3,47.8,1
2023-03-01 22:45:00,47.3,47.8,46.9,46.9,0
2023-02-21 22:45:00,47.8,47.1,46.9,46.8,1
2023-02-01 22:45:00,46.9,46.8,46.8,46.2,0
2023-01-24 22:45:00,46.8,46.0,46.2,46.2,1
2023-01-03 22:45:00,46.2,46.2,47.7,47.7,0
2022-12-16 22:45:00,46.2,47.7,47.7,47.6,1
2022-12-01 22:45:00,47.7,47.6,47.6,50.4,0
2022-11-23 22:45:00,47.6,50.0,50.4,49.9,1
2022-11-01 21:45:00,50.4,49.9,49.9,52.0,0
2022-10-24 21:45:00,49.9,51.0,52.0,51.8,1
2022-10-03 21:45:00,52.0,51.8,51.5,51.5,0
2022-09-23 21:45:00,51.8,51.1,51.5,51.3,1
2022-09-01 21:45:00,51.5,51.3,51.3,52.2,0
2022-08-23 21:45:00,51.3,52.0,52.2,52.3,1
2022-08-01 21:45:00,52.2,52.3,52.7,52.7,0
2022-07-22 21:45:00,52.3,52.0,52.7,52.4,1
2022-07-01 21:45:00,52.7,,52.4,57.0,0
2022-06-23 21:45:00,52.4,56.0,57.0,57.5,1
2022-06-01 21:45:00,57.0,57.5,59.2,59.2,0
2022-05-24 21:45:00,57.5,57.5,59.2,59.7,1
2022-05-02 21:45:00,59.2,,59.7,58.8,0
2022-04-22 21:45:00,59.7,58.2,58.8,58.5,1
2022-04-01 21:45:00,58.8,58.5,57.3,57.3,0
2022-03-24 21:45:00,58.5,56.3,57.3,57.5,1
2022-03-01 22:45:00,57.3,57.5,55.5,55.5,0
2022-02-22 22:45:00,57.5,56.0,55.5,55.0,1
2022-02-01 22:45:00,55.5,55.0,57.7,57.7,0
2022-01-24 22:45:00,55.0,56.7,57.7,57.8,1
2022-01-03 22:45:00,57.7,57.8,58.3,58.3,0
2021-12-16 22:45:00,57.8,58.5,58.3,59.1,1
2021-12-01 22:45:00,58.3,,59.1,58.4,0
2021-11-23 22:45:00,59.1,59.0,58.4,59.2,1
2021-11-01 21:45:00,58.4,59.2,60.7,60.7,0
2021-10-22 21:45:00,59.2,60.3,60.7,60.5,1
2021-10-01 21:45:00,60.7,60.5,61.1,61.1,0
2021-09-23 21:45:00,60.5,61.5,61.1,61.2,1
2021-09-01 21:45:00,61.1,,61.2,63.4,0
2021-08-23 21:45:00,61.2,62.5,63.4,63.1,1
2021-08-02 21:45:00,63.4,63.1,62.1,62.1,0
2021-07-23 21:45:00,63.1,62.0,62.1,62.6,1
2021-07-01 21:45:00,62.1,,62.6,62.1,0
2021-06-23 21:45:00,62.6,61.5,62.1,61.5,1
2021-06-01 21:45:00,62.1,,61.5,60.5,0
2021-05-21 21:45:00,61.5,60.2,60.5,60.6,1
2021-05-03 21:45:00,60.5,,60.6,59.1,0
2021-04-23 21:45:00,60.6,60.5,59.1,59.0,1
2021-04-01 21:45:00,59.1,59.0,58.6,58.6,0
2021-03-24 21:45:00,59.0,59.3,58.6,58.5,1
2021-03-01 22:45:00,58.6,58.5,59.2,59.2,0
2021-02-19 22:45:00,58.5,58.5,59.2,59.1,1
2021-02-01 22:45:00,59.2,,59.1,57.1,0
2021-01-22 22:45:00,59.1,56.5,57.1,56.5,1
2021-01-04 22:45:00,57.1,,56.5,56.7,0
2020-12-16 22:45:00,56.5,55.7,56.7,56.7,1
2020-12-01 22:45:00,56.7,56.7,53.4,53.4,0
2020-11-23 22:45:00,56.7,53.0,53.4,53.3,1
2020-11-02 22:45:00,53.4,,53.3,53.2,0
2020-10-23 21:45:00,53.3,53.4,53.2,53.5,1
2020-10-01 21:45:00,53.2,53.5,53.1,53.1,0
2020-09-23 21:45:00,53.5,53.1,53.1,53.6,1
2020-09-01 21:45:00,53.1,53.6,50.9,50.9,0
2020-08-21 21:45:00,53.6,51.9,50.9,51.3,1
2020-08-03 21:45:00,50.9,51.3,49.8,49.8,0
2020-07-24 21:45:00,51.3,51.5,49.8,49.6,1
2020-07-01 21:45:00,49.8,49.6,39.8,39.8,0
2020-06-23 21:45:00,49.6,48.0,39.8,39.8,1
2020-06-01 21:45:00,39.8,39.8,36.1,36.1,0
2020-05-21 21:45:00,39.8,38.0,36.1,36.9,1
2020-05-01 21:45:00,36.1,36.9,48.5,48.5,0
2020-04-23 21:45:00,36.9,38.0,48.5,49.2,1
2020-04-01 21:45:00,48.5,49.2,50.7,50.7,0
2020-03-24 21:45:00,49.2,42.8,50.7,50.8,1
2020-03-02 22:45:00,50.7,50.8,51.9,51.9,0
2020-02-21 22:45:00,50.8,51.5,51.9,51.7,1
2020-02-03 22:45:00,51.9,51.7,52.4,52.4,0
2020-01-24 22:45:00,51.7,52.5,52.4,52.5,1
2020-01-02 22:45:00,52.4,52.5,52.6,52.6,0
2019-12-16 22:45:00,52.5,52.6,52.6,52.2,1
2019-12-02 22:45:00,52.6,52.2,52.2,51.3,0
