datetime,US_NF_EC_MoM_Actual,US_NF_EC_MoM_Srv_Med,US_NF_EC_MoM_Revised,US_NF_EC_MoM_Prior
2023-09-01 20:30:00,None,170,187,187
2023-08-04 20:30:00,187,200,185,185
2023-07-07 20:30:00,185,225,281,339
2023-06-02 20:30:00,339,180,294,253
2023-05-05 20:30:00,253,180,165,236
2023-04-07 20:30:00,236,239,326,311
2023-03-10 21:30:00,311,205,504,517
2023-02-03 21:30:00,517,185,260,223
2023-01-06 21:30:00,223,200,256,263
2022-12-02 21:30:00,263,200,284,261
2022-11-04 20:30:00,261,200,315,263
2022-10-07 20:30:00,263,250,315,315
2022-09-02 20:30:00,315,300,526,528
2022-08-05 20:30:00,528,250,398,372
2022-07-08 20:30:00,372,268,384,390
2022-06-03 20:30:00,390,325,436,428
2022-05-06 20:30:00,428,391,428,431
2022-04-01 20:30:00,431,490,750,678
2022-03-04 21:30:00,678,400,481,467
2022-02-04 21:30:00,467,150,510,199
2022-01-07 21:30:00,199,400,249,210
2021-12-03 21:30:00,210,550,546,531
2021-11-05 20:30:00,531,450,312,194
2021-10-08 20:30:00,194,500,366,235
2021-09-03 20:30:00,235,750,1053,943
2021-08-06 20:30:00,943,870,938,850
2021-07-02 20:30:00,850,700,583,559
2021-06-04 20:30:00,559,650,278,266
2021-05-07 20:30:00,266,978,770,916
2021-04-02 20:30:00,916,647,468,379
2021-03-05 21:30:00,379,182,166,49
2021-02-05 21:30:00,49,50,-227,-140
2021-01-08 21:30:00,-140,71,336,245
2020-12-04 21:30:00,245,469,610,638
2020-11-06 21:30:00,638,600,672,661
2020-10-02 20:30:00,661,850,1489,1371
2020-09-04 20:30:00,1371,1400,1734,1763
2020-08-07 20:30:00,1763,1600,4791,4800
2020-07-02 20:30:00,4800,3000,2699,2509
2020-06-05 20:30:00,2509,-8000,-20687,-20500
2020-05-08 20:30:00,-20500,-22000,-870,-701
2020-04-03 20:30:00,-701,-100,275,273
2020-03-06 20:30:00,273,175,273,225
2020-02-07 21:30:00,225,160,147,145
2020-01-10 21:30:00,145,164,256,266
2019-12-06 21:30:00,266,186,156,128
2019-11-01 20:30:00,128,89,180,136
2019-10-04 20:30:00,136,140,168,130
2019-09-06 20:30:00,130,160,159,164
2019-08-02 20:30:00,164,164,193,224
2019-07-05 20:30:00,224,160,72,75
2019-06-07 20:30:00,75,185,224,263
2019-05-03 20:30:00,263,181,189,196
2019-04-05 20:30:00,196,175,33,20
2019-03-08 21:30:00,20,181,311,304
2019-02-01 21:30:00,304,165,222,312
2019-01-04 21:30:00,312,178,176,155
2018-12-07 21:30:00,155,200,237,250
2018-11-02 20:30:00,250,193,118,134
2018-10-05 20:30:00,134,185,270,201
2018-09-07 20:30:00,201,191,147,157
2018-08-03 20:30:00,157,193,248,213
2018-07-06 20:30:00,213,200,244,223
2018-06-01 20:30:00,223,189,159,164
2018-05-04 20:30:00,164,189,135,103
2018-04-06 20:30:00,103,193,326,313
2018-03-09 21:30:00,313,200,239,200
2018-02-02 21:30:00,200,184,160,148
2018-01-05 21:30:00,148,190,252,228
2017-12-08 21:30:00,228,200,244,261
2017-11-03 20:30:00,261,310,18,-33
2017-10-06 20:30:00,-33,90,169,156
2017-09-01 20:30:00,156,180,189,209
2017-08-04 20:30:00,209,183,231,222
2017-07-07 20:30:00,222,179,152,138
2017-06-02 20:30:00,138,185,174,211
2017-05-05 20:30:00,211,185,79,98
2017-04-07 20:30:00,98,180,219,235
2017-03-10 21:30:00,235,200,238,227
2017-02-03 21:30:00,227,175,157,156
2017-01-06 21:30:00,156,178,204,178
2016-12-02 21:30:00,178,175,142,161
2016-11-04 20:30:00,161,175,191,156
2016-10-07 20:30:00,156,175,167,151
2016-09-02 20:30:00,151,180,275,255
2016-08-05 20:30:00,255,180,292,287
2016-07-08 20:30:00,287,175,11,38
2016-06-03 20:30:00,38,164,123,160
2016-05-06 20:30:00,160,202,208,215
2016-04-01 20:30:00,215,205,245,242
2016-03-04 21:30:00,242,190,172,151
2016-02-05 21:30:00,151,190,262,292
2016-01-08 21:30:00,292,200,252,211
2015-12-04 21:30:00,211,200,298,271
2015-11-06 21:30:00,271,180,137,142
2015-10-02 20:30:00,142,203,136,173
2015-09-04 20:30:00,173,220,245,215
2015-08-07 20:30:00,215,223,231,223
2015-07-02 20:30:00,223,230,254,280
2015-06-05 20:30:00,280,225,221,223
2015-05-08 20:30:00,223,224,85,126
2015-04-03 20:30:00,126,245,264,295
2015-03-06 21:30:00,295,240,239,257
2015-02-06 21:30:00,257,234,329,252
2015-01-09 21:30:00,252,240,353,321
2014-12-05 21:30:00,321,225,243,214
2014-11-07 21:30:00,214,231,256,248
2014-10-03 20:30:00,248,215,180,142
2014-09-05 20:30:00,142,225,212,209
2014-08-01 20:30:00,209,233,298,288
2014-07-03 20:30:00,288,212,224,217
2014-06-06 20:30:00,217,218,282,288
2014-05-02 20:30:00,288,210,203,192
2014-04-04 20:30:00,192,200,197,175
2014-03-07 21:30:00,175,149,129,113
2014-02-07 21:30:00,113,185,75,74
2014-01-10 21:30:00,74,196,241,203
2013-12-06 21:30:00,203,180,200,204
2013-11-08 21:30:00,204,125,163,148
2013-10-22 20:30:00,148,180,193,169
2013-09-06 20:30:00,169,180,104,162
2013-08-02 20:30:00,162,184,188,195
2013-07-05 20:30:00,195,165,195,175
2013-06-07 20:30:00,175,170,149,165
2013-05-03 20:30:00,165,145,138,88
2013-04-05 20:30:00,88,200,268,236
2013-03-08 21:30:00,236,160,119,157
2013-02-01 21:30:00,157,160,196,155
2013-01-04 21:30:00,155,150,161,146
2012-12-07 21:30:00,146,93,138,171
2012-11-02 20:30:00,171,125,148,114
2012-10-05 20:30:00,114,113,142,96
2012-09-07 20:30:00,96,125,141,163
2012-08-03 20:30:00,163,100,64,80
2012-07-06 20:30:00,80,90,77,69
2012-06-01 20:30:00,69,150,77,115
2012-05-04 20:30:00,115,170,154,120
2012-04-06 20:30:00,120,203,240,227
2012-03-09 21:30:00,227,210,284,243
2012-02-03 21:30:00,243,150,203,200
2012-01-06 21:30:00,200,150,100,120
2011-12-02 21:30:00,120,120,100,80
2011-11-04 20:30:00,80,95,158,103
2011-10-07 20:30:00,103,53,57,0
2011-09-02 20:30:00,0,74,85,117
2011-08-05 20:30:00,117,95,46,18
2011-07-08 20:30:00,18,89,25,54
2011-06-03 20:30:00,54,169,232,244
2011-05-06 20:30:00,244,185,221,216
2011-04-01 20:30:00,216,188,194,192
2011-03-04 21:30:00,192,180,63,36
2011-02-04 21:30:00,36,150,121,103
2011-01-07 21:30:00,103,150,71,39
2010-12-03 21:30:00,39,140,172,151
2010-11-05 20:30:00,151,60,-41,-95
2010-10-08 20:30:00,-95,3,-57,-54
2010-09-03 20:30:00,-54,-118,-54,-131
2010-08-06 20:30:00,-131,-65,-221,-125
2010-07-02 20:30:00,-125,-100,433,431
2010-06-04 20:30:00,431,500,290,290
2010-05-07 20:30:00,290,187,230,162
2010-04-02 20:30:00,162,190,-14,-36
2010-03-05 21:30:00,-36,-55,-26,-20
