datetime,US_NF_UER_MoM_Actual,US_NF_UER_MoM_Srv_Med,US_NF_UER_MoM_Revised,US_NF_UER_MoM_Prior
2023-09-01 20:30:00,None,3.5,3.5,3.5
2023-08-04 20:30:00,3.5,3.6,3.6,3.6
2023-07-07 20:30:00,3.6,3.6,3.7,3.7
2023-06-02 20:30:00,3.7,3.5,3.4,3.4
2023-05-05 20:30:00,3.4,3.6,3.5,3.5
2023-04-07 20:30:00,3.5,3.6,3.6,3.6
2023-03-10 21:30:00,3.6,3.4,3.4,3.4
2023-02-03 21:30:00,3.4,3.6,3.5,3.5
2023-01-06 21:30:00,3.5,3.7,3.6,3.7
2022-12-02 20:30:00,3.7,3.7,3.7,3.7
2022-11-04 20:30:00,3.7,3.6,3.5,3.5
2022-10-07 20:30:00,3.5,3.7,3.7,3.7
2022-09-02 20:30:00,3.7,3.5,3.5,3.5
2022-08-05 20:30:00,3.5,3.6,3.6,3.6
2022-07-08 20:30:00,3.6,3.6,3.6,3.6
2022-06-03 20:30:00,3.6,3.5,3.6,3.6
2022-05-06 20:30:00,3.6,3.5,3.6,3.6
2022-04-01 20:30:00,3.6,3.7,3.8,3.8
2022-03-04 21:30:00,3.8,3.9,4.0,4
2022-02-04 21:30:00,4,3.9,3.9,3.9
2022-01-07 21:30:00,3.9,4.1,4.2,4.2
2021-12-03 21:30:00,4.2,4.5,4.6,4.6
2021-11-05 20:30:00,4.6,4.7,4.8,4.8
2021-10-08 20:30:00,4.8,5.1,5.2,5.2
2021-09-03 20:30:00,5.2,5.2,5.4,5.4
2021-08-06 20:30:00,5.4,5.7,5.9,5.9
2021-07-02 20:30:00,5.9,5.7,5.8,5.8
2021-06-04 20:30:00,5.8,5.9,6.1,6.1
2021-05-07 20:30:00,6.1,5.8,6.0,6
2021-04-02 20:30:00,6,6,6.2,6.2
2021-03-05 21:30:00,6.2,6.3,6.3,6.3
2021-02-05 21:30:00,6.3,6.7,6.7,6.7
2021-01-08 21:30:00,6.7,6.8,6.7,6.7
2020-12-04 21:30:00,6.7,6.8,6.9,6.9
2020-11-06 21:30:00,6.9,7.7,7.9,7.9
2020-10-02 20:30:00,7.9,8.2,8.4,8.4
2020-09-04 20:30:00,8.4,9.8,10.2,10.2
2020-08-07 20:30:00,10.2,10.5,11.1,11.1
2020-07-02 20:30:00,11.1,12.3,13.3,13.3
2020-06-05 20:30:00,13.3,19.7,14.7,14.7
2020-05-08 20:30:00,14.7,16,4.4,4.4
2020-04-03 20:30:00,4.4,3.8,3.5,3.5
2020-03-06 21:30:00,3.5,3.6,3.6,3.6
2020-02-07 21:30:00,3.6,3.5,3.5,3.5
2020-01-10 21:30:00,3.5,3.5,3.5,3.5
2019-12-06 21:30:00,3.5,3.6,3.6,3.6
2019-11-01 20:30:00,3.6,3.6,3.5,3.5
2019-10-04 20:30:00,3.5,3.7,3.7,3.7
2019-09-06 20:30:00,3.7,3.7,3.7,3.7
2019-08-02 20:30:00,3.7,3.7,3.7,3.7
2019-07-05 20:30:00,3.7,3.6,3.6,3.6
2019-06-07 20:30:00,3.6,3.6,3.6,3.6
2019-05-03 20:30:00,3.6,3.8,3.8,3.8
2019-04-05 20:30:00,3.8,3.8,3.8,3.8
2019-03-08 21:30:00,3.8,3.9,4.0,4
2019-02-01 21:30:00,4,3.9,3.9,3.9
2019-01-04 21:30:00,3.9,3.7,3.7,3.7
2018-12-07 21:30:00,3.7,3.7,3.7,3.7
2018-11-02 20:30:00,3.7,3.7,3.7,3.7
2018-10-05 20:30:00,3.7,3.8,3.9,3.9
2018-09-07 20:30:00,3.9,3.8,3.9,3.9
2018-08-03 20:30:00,3.9,3.9,4.0,4
2018-07-06 20:30:00,4,3.8,3.8,3.8
2018-06-01 20:30:00,3.8,3.9,3.9,3.9
2018-05-04 20:30:00,3.9,4,4.1,4.1
2018-04-06 20:30:00,4.1,4,4.1,4.1
2018-03-09 21:30:00,4.1,4,4.1,4.1
2018-02-02 21:30:00,4.1,4.1,4.1,4.1
2018-01-05 21:30:00,4.1,4.1,4.1,4.1
2017-12-08 21:30:00,4.1,4.1,4.1,4.1
2017-11-03 20:30:00,4.1,4.2,4.2,4.2
2017-10-06 20:30:00,4.2,4.4,4.4,4.4
2017-09-01 20:30:00,4.4,4.3,4.3,4.3
2017-08-04 20:30:00,4.3,4.3,4.4,4.4
2017-07-07 20:30:00,4.4,4.3,4.3,4.3
2017-06-02 20:30:00,4.3,4.4,4.4,4.4
2017-05-05 20:30:00,4.4,4.6,4.5,4.5
2017-04-07 20:30:00,4.5,4.7,4.7,4.7
2017-03-10 21:30:00,4.7,4.7,4.8,4.8
2017-02-03 21:30:00,4.8,4.7,4.7,4.7
2017-01-06 21:30:00,4.7,4.7,4.6,4.6
2016-12-02 21:30:00,4.6,4.9,4.9,4.9
2016-11-04 20:30:00,4.9,4.9,5.0,5
2016-10-07 20:30:00,5,4.9,4.9,4.9
2016-09-02 20:30:00,4.9,4.8,4.9,4.9
2016-08-05 20:30:00,4.9,4.8,4.9,4.9
2016-07-08 20:30:00,4.9,4.8,4.7,4.7
