datetime,US_QCPI_MoM_Actual,US_QCPI_MoM_Srv_Med,US_QCPI_MoM_Revised,US_QCPI_MoM_Prior
2023-09-13 20:30:00,None,None,304.35,304.35
2023-08-10 20:30:00,304.35,None,303.84,303.84
2023-07-12 20:30:00,303.84,303.70,303.29,303.29
2023-06-13 20:30:00,303.29,303.70,302.92,302.92
2023-05-10 20:30:00,302.92,303.28,301.81,301.81
2023-04-12 20:30:00,301.81,302.60,301.65,301.65
2023-03-14 20:30:00,301.65,None,300.54,300.54
2023-02-14 21:30:00,300.54,None,298.99,298.11
2023-01-12 21:30:00,298.11,None,298.35,298.35
2022-12-13 21:30:00,298.35,None,298.06,298.06
2022-11-10 21:30:00,298.06,None,296.76,296.76
2022-10-13 20:30:00,296.76,None,295.62,295.62
2022-09-13 20:30:00,295.62,,295.27,295.27
2022-08-10 20:30:00,295.27,,295.33,295.33
2022-07-13 20:30:00,295.33,,291.47,291.47
2022-06-10 20:30:00,291.47,,288.66,288.66
2022-05-11 20:30:00,288.66,,287.71,287.71
2022-04-12 20:30:00,287.71,,284.18,284.18
2022-03-10 21:30:00,284.18,,281.93,281.93
2022-02-10 21:30:00,281.93,,280.13,280.19
2022-01-12 21:30:00,280.19,,278.88,278.88
2021-12-10 21:30:00,278.88,,276.72,276.72
2021-11-10 21:30:00,276.72,,274.14,274.14
2021-10-13 20:30:00,274.14,,273.01,273.01
2021-09-14 20:30:00,273.01,,272.26,272.26
2021-08-11 20:30:00,272.26,,270.98,270.98
2021-07-13 20:30:00,270.98,,268.55,268.55
2021-06-10 20:30:00,268.55,,266.83,266.83
2021-05-12 20:30:00,266.83,,264.79,264.79
2021-04-13 20:30:00,264.79,,263.16,263.16
2021-03-10 21:30:00,263.16,,262.23,262.23
2021-02-10 21:30:00,262.23,,261.56,261.78
2021-01-13 21:30:00,261.78,,260.82,260.82
2020-12-10 21:30:00,260.82,,260.32,260.33
2020-11-12 21:30:00,260.33,,260.21,260.21
2020-10-13 20:30:00,260.21,,259.68,259.68
2020-09-11 20:30:00,259.68,,258.72,258.72
2020-08-12 20:30:00,258.72,,257.21,257.21
2020-07-14 20:30:00,257.21,,255.77,255.77
2020-06-10 20:30:00,255.77,,255.9,255.9
2020-05-12 20:30:00,255.9,,257.95,257.95
2020-04-10 20:30:00,257.95,,259.05,259.05
2020-03-11 20:30:00,259.05,,258.82,258.82
2020-02-13 21:30:00,258.82,,258.44,258.5
2020-01-14 21:30:00,258.5,,257.94,257.94
2019-12-11 21:30:00,257.94,,257.27,257.27
2019-11-13 21:30:00,257.27,,256.36,256.36
2019-10-10 20:30:00,256.36,,256.3,256.3
2019-09-12 20:30:00,256.3,,256.16,256.16
2019-08-13 20:30:00,256.16,,255.3,
