datetime,US_UECC_MoM_Actual,US_UECC_MoM_Srv_Med,US_UECC_MoM_Revised,US_UECC_MoM_Prior
2023-08-31 20:30:00,None,1709,1702,1702
2023-08-24 20:30:00,1702,1708,1711,1716
2023-08-17 20:30:00,1716,1700,1684,1684
2023-08-10 20:30:00,1684,1710,1692,1700
2023-08-03 20:30:00,1700,1700,1679,1690
2023-07-27 20:30:00,1690,1750,1749,1754
2023-07-20 20:30:00,1754,1729,1721,1729
2023-07-13 20:30:00,1729,1723,1718,1720
2023-07-06 20:30:00,1720,1745,1733,1742
2023-06-29 20:30:00,1742,1765,1761,1759
2023-06-22 20:30:00,1759,1782,1772,1775
2023-06-15 20:30:00,1775,1761,1755,1757
2023-06-08 20:30:00,1757,1800.0,1794,1795
2023-06-01 20:30:00,1795,1800.0,1789,1794
2023-05-25 20:30:00,1794,1800.0,1799,1799
2023-05-18 20:30:00,1799,1818.0,1807,1813
2023-05-11 20:30:00,1813,1820.0,1801,1805
2023-05-04 20:30:00,1805,1865.0,1843,1858
2023-04-27 20:30:00,1858,1878.0,1861,1865
2023-04-20 20:30:00,1865,1820.0,1804,1810
2023-04-13 20:30:00,1810,1814.0,1823,1823
2023-04-06 20:30:00,1823,1699.0,1817,1689
2023-03-30 20:30:00,1689,1697.0,1685,1694
2023-03-23 20:30:00,1694,1684.0,1680,1684
2023-03-16 20:30:00,1684,1715.0,1713,1718
2023-03-09 21:30:00,1718,1659.0,1649,1655
2023-03-02 21:30:00,1655,1665.0,1660,1654
2023-02-23 21:30:00,1654,1700.0,1691,1696
2023-02-16 21:30:00,1696,1695.0,1680,1688
2023-02-09 21:30:00,1688,1658.0,1650,1655
2023-02-02 21:30:00,1655,1677.0,1666,1675
2023-01-26 21:30:00,1675,1659.0,1655,1647
2023-01-19 21:30:00,1647,1660.0,1630,1634
2023-01-12 21:30:00,1634,1705.0,1697,1694
2023-01-05 21:30:00,1694,1708.0,1718,1710
2022-12-29 21:30:00,1710,1686.0,1669,1672
2022-12-22 21:30:00,1672,1683.0,1678,1671
2022-12-15 21:30:00,1671,1671.0,1670,1671
2022-12-08 21:30:00,1671,1600.0,1609,1608
2022-12-01 21:30:00,1608,1573.0,1551,1551
2022-11-23 21:30:00,1551,1517.0,1503,1507
2022-11-17 21:30:00,1507,1500.0,1494,1493
2022-11-10 21:30:00,1493,1475.0,1487,1485
2022-11-03 20:30:00,1485,1450.0,1438,1438
2022-10-27 20:30:00,1438,1388.0,1383,1385
2022-10-20 20:30:00,1385,1375.0,1364,1368
2022-10-13 20:30:00,1368,1365.0,1365,1361
2022-10-06 20:30:00,1361,1345.0,1346,1347
2022-09-29 20:30:00,1347,1388.0,1376,1379
2022-09-22 20:30:00,1379,1400.0,1401,1403
2022-09-15 20:30:00,1403,1475.0,1401,1473
2022-09-08 20:30:00,1473,1435.0,1437,1438
2022-09-01 20:30:00,1438,1438.0,1412,1415
2022-08-25 20:30:00,1415,1442.0,1434,1437
2022-08-18 20:30:00,1437,1438.0,1430,1428
2022-08-11 20:30:00,1428,1407.0,1420,1416
2022-08-04 20:30:00,1416,1370.0,1368,1359
2022-07-28 20:30:00,1359,1380.0,1384,1384
2022-07-21 20:30:00,1384,1340.0,1333,1331
2022-07-14 20:30:00,1331,1383.0,1372,1375
2022-07-07 20:30:00,1375,1327.0,1324,1328
2022-06-30 20:30:00,1328,1310.0,1331,1315
2022-06-23 20:30:00,1315,1315.0,1310,1312
2022-06-16 20:30:00,1312,1302.0,1309,1306
2022-06-09 20:30:00,1306,1305.0,1306,1309
2022-06-02 20:30:00,1309,1325.0,1343,1346
2022-05-26 20:30:00,1346,1310.0,1315,1317
2022-05-19 20:30:00,1317,1320.0,1342,1343
2022-05-12 20:30:00,1343,1380.0,1387,1384
2022-05-05 20:30:00,1384,1400.0,1403,1408
2022-04-28 20:30:00,1408,1403.0,1409,1417
2022-04-21 20:30:00,1417,1455.0,1475,1475
2022-04-14 20:30:00,1475,1500.0,1523,1523
2022-04-07 20:30:00,1523,1311.0,1506,1307
2022-03-31 20:30:00,1307,1350.0,1342,1350
2022-03-24 20:30:00,1350,1410.0,1417,1419
2022-03-17 20:30:00,1419,1485.0,1490,1494
2022-03-10 21:30:00,1494,1460.0,1469,1476
2022-03-03 21:30:00,1476,1475.0,1474,1476
2022-02-24 21:30:00,1476,1580.0,1588,1593
2022-02-17 21:30:00,1593,1605.0,1619,1621
2022-02-10 21:30:00,1621,1615.0,1621,1628
2022-02-03 21:30:00,1628,1620.0,1672,1675
2022-01-27 21:30:00,1675,1650.0,1624,1635
2022-01-20 21:30:00,1635,1580.0,1551,1559
2022-01-13 21:30:00,1559,1733.0,1753,1754
2022-01-06 21:30:00,1754,1688.0,1718,1716
2021-12-30 21:30:00,1716,1868.0,1856,1859
2021-12-23 21:30:00,1859,1820.0,1867,1845
2021-12-16 21:30:00,1845,1936.0,1999,1992
2021-12-09 21:30:00,1992,1900.0,1954,1956
2021-12-02 21:30:00,1956,2000.0,2063,2049
2021-11-24 21:30:00,2049,2033.0,2109,2080
2021-11-18 21:30:00,2080,2120.0,2209,2160
2021-11-10 21:30:00,2160,2095.0,2101,2105
2021-11-04 20:30:00,2105,2118.0,2239,2243
2021-10-28 20:30:00,2243,2415.0,2480,2481
2021-10-21 20:30:00,2481,2550.0,2603,2593
2021-10-14 20:30:00,2593,2675.0,2727,2714
2021-10-07 20:30:00,2714,2780.0,2811,2802
2021-09-30 20:30:00,2802,2800.0,2820,2845
2021-09-23 20:30:00,2845,2650.0,2714,2665
2021-09-16 20:30:00,2665,2785.0,2852,2783
2021-09-09 20:30:00,2783,2744.0,2805,2748
2021-09-02 20:30:00,2748,2775.0,2908,2862
2021-08-26 20:30:00,2862,2790.0,2865,2820
2021-08-19 20:30:00,2820,2800.0,2899,2866
2021-08-12 20:30:00,2866,2880.0,2980,2930
