datetime,AUS_CPI_YoY_Actual,AUS_CPI_YoY_Srv_Med,AUS_CPI_YoY_Revised,AUS_CPI_YoY_Prior
2023-07-26 09:30:00,6.0,6.2,7.0,5.6
2023-06-28 09:30:00,5.6,6.1,6.8,6.8
2023-05-31 09:30:00,6.8,6.4,7.0,7.0
2023-04-26 09:30:00,7.0,6.9,7.8,6.8
2023-03-29 08:30:00,6.8,7.1,7.4,7.4
2023-03-01 08:30:00,7.4,8.1,8.4,8.4
2023-01-25 08:30:00,8.4,7.5,7.3,7.3
2023-01-11 08:30:00,7.3,7.3,6.9,6.9
2022-11-30 08:30:00,6.9,7.4,7.3,7.3
2022-10-26 08:30:00,7.3,7.0,6.1,6.1
2022-07-27 09:30:00,6.1,6.2,5.1,5.1
2022-04-27 09:30:00,5.1,4.6,3.5,3.5
2022-01-25 08:30:00,3.5,3.2,3.0,3.0
2021-10-27 08:30:00,3.0,3.1,3.8,3.8
2021-07-28 09:30:00,3.8,3.8,1.1,1.1
2021-04-28 09:30:00,1.1,1.4,0.9,0.9
2021-01-27 08:30:00,0.9,0.7,0.7,0.7
2020-10-28 08:30:00,0.7,0.7,-0.3,-0.3
2020-07-29 09:30:00,-0.3,-0.4,2.2,2.2
2020-04-29 09:30:00,2.2,2.0,1.8,1.8
2020-01-29 08:30:00,1.8,1.7,1.7,1.7
2019-10-30 08:30:00,1.7,1.7,1.6,1.6
2019-07-31 09:30:00,1.6,1.5,1.3,1.3
2019-04-24 09:30:00,1.3,1.5,1.8,1.8
2019-01-30 08:30:00,1.8,1.7,1.9,1.9
2018-10-31 08:30:00,1.9,1.9,2.1,2.1
2018-07-25 09:30:00,2.1,2.2,1.9,1.9
2018-04-24 09:30:00,1.9,2.0,1.9,1.9
2018-01-31 08:30:00,1.9,2.0,1.8,1.8
2017-10-25 08:30:00,1.8,2.0,1.9,1.9
2017-07-26 09:30:00,1.9,2.2,2.1,2.1
2017-04-26 09:30:00,2.1,2.2,1.5,1.5
2017-01-25 08:30:00,1.5,1.6,1.3,1.3
2016-10-26 08:30:00,1.3,1.1,1.0,1.0
2016-07-27 09:30:00,1.0,1.1,1.3,1.3
2016-04-27 09:30:00,1.3,1.8,1.7,1.7
2016-01-27 08:30:00,1.7,1.6,1.5,1.5
2015-10-28 08:30:00,1.5,1.7,1.5,1.5
2015-07-22 09:30:00,1.5,1.7,1.3,1.3
2015-04-22 09:30:00,1.3,1.3,1.7,1.7
2015-01-28 08:30:00,1.7,1.8,2.3,2.3
2014-10-22 08:30:00,2.3,2.3,3.0,3.0
2014-07-23 09:30:00,3.0,3.1,2.9,2.9
2014-04-23 09:30:00,2.9,3.2,2.7,2.7
2014-01-22 08:30:00,2.7,2.5,2.2,2.2
2013-10-23 08:30:00,2.2,1.8,2.4,2.4
2013-07-24 09:30:00,2.4,2.5,2.5,
