datetime,AUS_PPI_YoY_Actual,AUS_PPI_YoY_Srv_Med,AUS_PPI_YoY_Revised,AUS_PPI_YoY_Prior
2023-07-28 09:30:00,3.9,3.9,4.9,5.2
2023-04-28 09:30:00,5.2,5.0,5.8,5.8
2023-01-27 08:30:00,5.8,6.3,6.4,6.4
2022-10-28 08:30:00,6.4,None,5.6,5.6
2022-07-29 09:30:00,5.6,None,4.9,4.9
2022-04-29 09:30:00,4.9,None,3.7,3.7
2022-01-28 08:30:00,3.7,None,2.9,2.9
2021-10-29 08:30:00,2.9,None,2.2,2.2
2021-07-30 09:30:00,2.2,None,0.2,0.2
2021-04-30 09:30:00,0.2,None,-0.1,-0.1
2021-01-29 08:30:00,-0.1,None,-0.4,-0.4
2020-10-30 08:30:00,-0.4,None,-0.4,-0.4
2020-07-31 09:30:00,-0.4,None,1.3,1.3
2020-05-01 09:30:00,1.3,None,1.4,1.4
2020-01-31 08:30:00,1.4,1.4,1.6,1.6
2019-11-01 08:30:00,1.6,1.8,2.0,2.0
2019-08-02 09:30:00,2.0,1.9,1.9,1.9
2019-04-26 09:30:00,1.9,2.0,2.0,2.0
2019-02-01 08:30:00,2.0,None,2.1,2.1
2018-11-02 08:30:00,2.1,None,1.5,1.5
2018-07-27 09:30:00,1.5,None,1.7,1.7
2018-04-27 09:30:00,1.7,None,1.7,1.7
2018-02-02 08:30:00,1.7,1.2,1.6,1.6
2017-10-27 08:30:00,1.6,None,1.7,1.7
2017-07-28 09:30:00,1.7,None,1.3,1.3
2017-04-28 09:30:00,1.3,None,0.7,0.7
2017-01-27 08:30:00,0.7,None,0.5,0.5
2016-10-28 08:30:00,0.5,0.8,1.0,1.0
2016-07-29 09:30:00,1.0,None,1.2,1.2
2016-04-29 09:30:00,1.2,None,1.9,1.9
2016-01-29 08:30:00,1.9,None,1.7,1.7
2015-10-30 08:30:00,1.7,None,1.1,1.1
2015-07-31 09:30:00,1.1,None,0.7,0.7
2015-05-01 09:30:00,0.7,None,1.1,1.1
2015-01-30 08:30:00,1.1,None,1.2,1.2
2014-10-31 08:30:00,1.2,2.6,2.3,
