datetime,BOC_RATE_Actual,BOC_RATE_Srv_Med,BOC_RATE_Revised,BOC_RATE_Prior
7/12/2023 22:00,5,5,4.75,4.75
6/7/2023 22:00,4.75,4.5,4.5,4.5
4/12/2023 22:00,4.5,4.5,4.5,4.5
3/8/2023 23:00,4.5,4.5,4.5,4.5
1/25/2023 23:00,4.5,4.5,4.25,4.25
12/7/2022 23:00,4.25,4.25,3.75,3.75
10/26/2022 22:00,3.75,4,3.25,3.25
9/7/2022 22:00,3.25,3.25,2.5,2.5
7/13/2022 22:00,2.5,2.25,1.5,1.5
6/1/2022 22:00,1.5,1.5,1,1
4/13/2022 22:00,1,1,0.5,0.5
3/2/2022 23:00,0.5,0.5,0.25,0.25
1/26/2022 23:00,0.25,0.25,0.25,0.25
12/8/2021 23:00,0.25,0.25,0.25,0.25
10/27/2021 22:00,0.25,0.25,0.25,0.25
9/8/2021 22:00,0.25,0.25,0.25,0.25
7/14/2021 22:00,0.25,0.25,0.25,0.25
6/9/2021 22:00,0.25,0.25,0.25,0.25
4/21/2021 22:00,0.25,0.25,0.25,0.25
3/10/2021 23:00,0.25,0.25,0.25,0.25
1/20/2021 23:00,0.25,0.25,0.25,0.25
12/9/2020 23:00,0.25,0.25,0.25,0.25
10/28/2020 22:00,0.25,0.25,0.25,0.25
9/9/2020 22:00,0.25,0.25,0.25,0.25
7/15/2020 22:00,0.25,0.25,0.25,0.25
6/3/2020 22:00,0.25,0.25,0.25,0.25
4/15/2020 22:00,0.25,0.25,0.25,0.25
3/27/2020 21:00,0.25,None,0.75,0.75
3/13/2020 23:00,0.75,1.75,1.25,1.25
3/4/2020 23:00,1.25,1.75,1.75,1.75
1/22/2020 23:00,1.75,1.75,1.75,1.75
12/4/2019 23:00,1.75,1.75,1.75,1.75
10/30/2019 22:00,1.75,1.75,1.75,1.75
9/4/2019 22:00,1.75,1.75,1.75,1.75
7/10/2019 22:00,1.75,1.75,1.75,1.75
5/29/2019 22:00,1.75,1.75,1.75,1.75
4/24/2019 22:00,1.75,1.75,1.75,1.75
3/6/2019 23:00,1.75,1.75,1.75,1.75
1/9/2019 23:00,1.75,1.75,1.75,1.75
12/5/2018 23:00,1.75,1.75,1.75,1.75
10/24/2018 22:00,1.75,1.75,1.5,1.5
9/5/2018 22:00,1.5,1.5,1.5,1.5
7/11/2018 22:00,1.5,1.5,1.25,1.25
5/30/2018 22:00,1.25,1.25,1.25,1.25
4/18/2018 22:00,1.25,1.25,1.25,1.25
3/7/2018 23:00,1.25,1.25,1.25,1.25
1/17/2018 23:00,1.25,1.25,1,1
12/6/2017 23:00,1,1,1,1
10/25/2017 22:00,1,1,1,1
9/6/2017 22:00,1,0.75,0.75,0.75
7/12/2017 22:00,0.75,0.75,0.5,0.5
5/24/2017 22:00,0.5,0.5,0.5,0.5
4/12/2017 22:00,0.5,0.5,0.5,0.5
3/1/2017 23:00,0.5,0.5,0.5,0.5
1/18/2017 23:00,0.5,0.5,0.5,0.5
12/7/2016 23:00,0.5,0.5,0.5,0.5
10/19/2016 22:00,0.5,0.5,0.5,0.5
9/7/2016 22:00,0.5,0.5,0.5,0.5
7/13/2016 22:00,0.5,0.5,0.5,0.5
5/25/2016 22:00,0.5,0.5,0.5,0.5
4/13/2016 22:00,0.5,0.5,0.5,0.5
3/9/2016 23:00,0.5,0.5,0.5,0.5
1/20/2016 23:00,0.5,0.5,0.5,0.5
12/2/2015 23:00,0.5,0.5,0.5,0.5
10/21/2015 22:00,0.5,0.5,0.5,0.5
9/9/2015 22:00,0.5,0.5,0.5,0.5
7/15/2015 22:00,0.5,0.75,0.75,0.75
5/27/2015 22:00,0.75,0.75,0.75,0.75
4/15/2015 22:00,0.75,0.75,0.75,0.75
3/4/2015 23:00,0.75,0.75,0.75,0.75
1/21/2015 23:00,0.75,1,1,1
12/3/2014 23:00,1,1,1,1
10/22/2014 22:00,1,1,1,1
9/3/2014 22:00,1,1,1,1
7/16/2014 22:00,1,1,1,1
6/4/2014 22:00,1,1,1,1
4/16/2014 22:00,1,1,1,1
3/5/2014 23:00,1,1,1,1
1/22/2014 23:00,1,1,1,1
12/4/2013 23:00,1,1,1,1
10/23/2013 22:00,1,1,1,1
9/4/2013 22:00,1,1,1,1
7/17/2013 22:00,1,1,1,1
5/29/2013 22:00,1,1,1,1
4/17/2013 22:00,1,1,1,1
3/6/2013 23:00,1,1,1,1
1/23/2013 23:00,1,1,1,1
12/4/2012 22:00,1,1,1,1
10/23/2012 21:00,1,1,1,1
9/5/2012 21:00,1,1,1,1
7/17/2012 21:00,1,1,1,1
6/5/2012 21:00,1,1,1,1
4/17/2012 21:00,1,1,1,1
3/8/2012 22:00,1,1,1,1
1/17/2012 22:00,1,1,1,1
12/6/2011 22:00,1,1,1,1
10/25/2011 21:00,1,1,1,1
9/7/2011 21:00,1,1,1,1
7/19/2011 21:00,1,1,1,1
5/31/2011 21:00,1,1,1,1
4/12/2011 21:00,1,1,1,1
3/1/2011 22:00,1,1,1,1
1/18/2011 22:00,1,1,1,1
12/7/2010 22:00,1,1,1,1
10/19/2010 21:00,1,1,1,1
9/8/2010 21:00,1,1,0.75,0.75
7/20/2010 21:00,0.75,0.75,0.5,0.5
6/1/2010 21:00,0.5,0.5,0.25,0.25
4/20/2010 21:00,0.25,0.25,0.25,0.25
3/2/2010 22:00,0.25,0.25,0.25,0.25
1/19/2010 22:00,0.25,0.25,0.25,0.25
12/8/2009 22:00,0.25,0.25,0.25,0.25
10/20/2009 21:00,0.25,0.25,0.25,0.25
9/10/2009 21:00,0.25,0.25,0.25,0.25
7/21/2009 21:00,0.25,0.25,0.25,0.25
6/4/2009 21:00,0.25,0.25,0.25,0.25
