datetime,BOE_MPCSC_MoM_Actual,BOE_MPCSC_MoM_Srv_Med,BOE_MPCSC_MoM_Revised,BOE_MPCSC_MoM_Prior
8/3/2023 19:00,0,0,0,0
6/22/2023 19:00,0,0,0,0
5/11/2023 19:00,0,0,0,0
3/23/2023 20:00,0,None,0,0
2/2/2023 20:00,0,0,0,0
12/15/2022 20:00,0,0,0,0
11/3/2022 20:00,0,0,0,0
9/22/2022 19:00,0,0,0,0
8/4/2022 19:00,0,0,0,0
6/16/2022 19:00,0,0,0,0
5/5/2022 19:00,0,0,0,0
3/17/2022 20:00,0,0,0,0
2/3/2022 20:00,0,0,0,0
12/16/2021 20:00,0,0,0,0
11/4/2021 20:00,0,0,0,0
9/23/2021 19:00,0,None,0,0
8/5/2021 19:00,0,None,0,0
6/24/2021 19:00,0,0,0,0
5/6/2021 19:00,0,None,0,0
3/18/2021 20:00,0,None,0,0
2/4/2021 20:00,0,None,0,0
12/17/2020 20:00,0,0,0,0
11/5/2020 15:00,0,0,0,0
9/17/2020 19:00,0,0,0,0
8/6/2020 14:00,0,None,0,0
6/18/2020 19:00,0,None,0,0
5/7/2020 14:00,0,None,2,0
3/26/2020 20:00,0,3,2,2
1/30/2020 20:00,2,3,2,2
12/19/2019 20:00,2,2,2,2
11/7/2019 20:00,2,None,0,0
9/19/2019 19:00,0,None,0,0
8/1/2019 19:00,0,0,0,0
6/20/2019 19:00,0,0,0,0
5/2/2019 19:00,0,0,0,0
3/21/2019 20:00,0,0,0,0
2/7/2019 20:00,0,0,0,0
12/20/2018 20:00,0,0,0,0
11/1/2018 20:00,0,0,0,0
9/13/2018 19:00,0,0,0,0
8/2/2018 19:00,0,0,0,0
6/21/2018 19:00,0,0,0,0
5/10/2018 19:00,0,None,0,0
3/22/2018 20:00,0,0,0,0
2/8/2018 20:00,0,0,0,0
12/14/2017 20:00,0,0,0,0
11/2/2017 20:00,0,0,0,0
9/14/2017 19:00,0,0,0,0
8/3/2017 19:00,0,0,0,0
6/15/2017 19:00,0,0,0,0
5/11/2017 19:00,0,0,0,0
3/16/2017 20:00,0,0,0,0
2/2/2017 20:00,0,0,0,0
12/15/2016 20:00,0,0,0,0
11/3/2016 20:00,0,0,0,0
9/15/2016 19:00,0,0,9,9
8/4/2016 19:00,9,8,1,1
7/14/2016 19:00,1,3,0,0
6/16/2016 19:00,0,0,0,0
5/12/2016 19:00,0,0,0,0
4/14/2016 19:00,0,0,0,0
3/17/2016 20:00,0,0,0,0
2/4/2016 20:00,0,0,0,0
1/14/2016 20:00,0,0,0,0
12/10/2015 20:00,0,0,0,0
11/5/2015 20:00,0,0,0,0
10/8/2015 19:00,0,0,0,0
9/10/2015 19:00,0,0,0,0
8/6/2015 19:00,0,0,0,0
7/22/2015 16:30,0,0,0,0
6/17/2015 16:30,0,0,0,0
5/20/2015 16:30,0,0,0,0
4/22/2015 16:30,0,0,0,0
3/18/2015 17:30,0,0,0,0
2/18/2015 17:30,0,0,0,0
1/21/2015 17:30,0,0,0,0
12/17/2014 17:30,0,0,0,0
11/19/2014 17:30,0,0,0,0
10/22/2014 16:30,0,0,0,0
9/17/2014 16:30,0,0,0,0
8/20/2014 16:30,0,0,0,
