datetime,BOE_MPCSM_MoM_Actual,BOE_MPCSM_MoM_Srv_Med,BOE_MPCSM_MoM_Revised,BOE_MPCSM_MoM_Prior
8/3/2023 19:00,1,1,2,2
6/22/2023 19:00,2,2,2,2
5/11/2023 19:00,2,2,2,2
3/23/2023 20:00,2,3,2,2
2/2/2023 20:00,2,2,2,2
12/15/2022 20:00,2,1,0,0
11/3/2022 20:00,0,0,0,0
9/22/2022 19:00,0,0,0,0
8/4/2022 19:00,0,0,0,0
6/16/2022 19:00,0,1,1,0
5/5/2022 19:00,0,1,1,1
3/17/2022 20:00,1,1,1,0
2/3/2022 20:00,0,1,1,1
12/16/2021 20:00,1,7,7,7
11/4/2021 20:00,7,6,9,9
9/23/2021 19:00,9,9,8,8
8/5/2021 19:00,8,8,9,9
6/24/2021 19:00,9,9,9,9
5/6/2021 19:00,9,9,9,9
3/18/2021 20:00,9,9,9,9
2/4/2021 20:00,9,9,9,9
12/17/2020 20:00,9,9,9,9
11/5/2020 15:00,9,9,9,9
9/17/2020 19:00,9,9,9,9
8/6/2020 14:00,9,9,9,9
6/18/2020 19:00,9,9,9,9
5/7/2020 14:00,9,9,9,9
3/26/2020 20:00,9,9,7,7
1/30/2020 20:00,7,6,7,7
12/19/2019 20:00,7,7,7,7
11/7/2019 20:00,7,9,9,9
9/19/2019 19:00,9,9,9,9
8/1/2019 19:00,9,9,9,9
6/20/2019 19:00,9,9,9,9
5/2/2019 19:00,9,9,9,9
3/21/2019 20:00,9,9,9,9
2/7/2019 20:00,9,9,9,9
12/20/2018 20:00,9,9,9,9
11/1/2018 20:00,9,9,9,9
9/13/2018 19:00,9,9,0,0
8/2/2018 19:00,0,2,6,6
6/21/2018 19:00,6,7,7,7
5/10/2018 19:00,7,7,7,7
3/22/2018 20:00,7,9,9,9
2/8/2018 20:00,9,9,9,9
12/14/2017 20:00,9,9,2,2
11/2/2017 20:00,2,3,7,7
9/14/2017 19:00,7,7,6,6
8/3/2017 19:00,6,6,5,5
6/15/2017 19:00,5,7,7,7
5/11/2017 19:00,7,7,8,8
3/16/2017 20:00,8,9,9,9
2/2/2017 20:00,9,9,9,9
12/15/2016 20:00,9,9,9,9
11/3/2016 20:00,9,9,9,9
9/15/2016 19:00,9,9,9,0
8/4/2016 19:00,0,1,8,8
7/14/2016 19:00,8,6,9,9
6/16/2016 19:00,9,9,9,9
5/12/2016 19:00,9,9,9,9
4/14/2016 19:00,9,9,9,9
3/17/2016 20:00,9,9,9,9
2/4/2016 20:00,9,8,8,8
1/14/2016 20:00,8,8,8,8
12/10/2015 20:00,8,8,8,8
11/5/2015 20:00,8,8,8,8
10/8/2015 19:00,8,8,8,8
9/10/2015 19:00,8,8,8,8
8/6/2015 19:00,8,7,9,9
7/22/2015 16:30,9,9,9,9
6/17/2015 16:30,9,9,9,9
5/20/2015 16:30,9,9,9,9
4/22/2015 16:30,9,9,9,9
3/18/2015 17:30,9,9,9,9
2/18/2015 17:30,9,9,9,9
1/21/2015 17:30,9,7,7,7
12/17/2014 17:30,7,7,7,7
11/19/2014 17:30,7,7,7,7
10/22/2014 16:30,7,7,7,7
9/17/2014 16:30,7,7,7,7
8/20/2014 16:30,7,9,9,
