datetime,BOE_RS_MoM_Actual,BOE_RS_MoM_Srv_Med,BOE_RS_MoM_Revised,BOE_RS_MoM_Prior,Is_P
2023-08-16 14:00:00,-0.6,-0.7,0.3,0.3,
2023-07-19 14:00:00,0.3,0.4,0.7,0.7,
2023-06-21 14:00:00,0.7,0.5,1.5,1.5,
2023-05-24 14:00:00,1.5,1.3,0.7,0.7,
2023-04-19 14:00:00,0.7,0.6,1.2,1.2,
2023-03-22 15:00:00,1.2,0.6,0.0,0.0,
2023-02-15 15:00:00,0.0,-0.2,0.6,0.6,
2023-01-18 15:00:00,0.6,0.7,0.6,0.6,
2022-12-14 15:00:00,0.6,0.5,2.5,2.5,
2022-11-16 15:00:00,2.5,1.8,0.7,0.7,
2022-10-19 14:00:00,0.7,0.5,0.6,0.6,
2022-09-14 14:00:00,0.6,0.7,0.9,0.9,
2022-08-17 14:00:00,0.9,0.6,0.9,0.9,
2022-07-20 14:00:00,0.9,0.8,0.7,0.7,
2022-06-22 14:00:00,0.7,0.5,3.4,3.4,
2022-05-18 14:00:00,3.4,3.4,1.0,1.0,
2022-04-13 14:00:00,1.0,0.9,0.8,0.8,
