datetime,BOJ_MF_QoQ_Actual,BOJ_MF_QoQ_Srv_Med,BOJ_MF_QoQ_Revised,BOJ_MF_QoQ_Prior
2023-07-03 07:50:00,5,3,1,1
2023-04-03 07:50:00,1,3,7,7
2022-12-14 07:50:00,7,6,8,8
2022-10-03 07:50:00,8,11,9,9
2022-07-01 07:50:00,9,13,14,14
2022-04-01 07:50:00,14,12,17,18
2021-12-13 07:50:00,18,19,18,18
2021-10-01 07:50:00,18,13,14,14
2021-07-01 07:50:00,14,15,5,5
2021-04-01 07:50:00,5,-15,-10,-10
2020-12-14 07:50:00,-10,-15,-27,-27
2020-10-01 07:50:00,-27,-23,-34,-34
2020-07-01 07:50:00,-34,-31,-8,-8
2020-04-01 07:50:00,-8,-10,5,0
2019-12-13 07:50:00,0,2,5,5
2019-10-01 07:50:00,5,2,7,7
2019-07-01 07:50:00,7,9,12,12
2019-04-01 07:50:00,12,13,19,19
2018-12-14 07:50:00,19,17,19,19
2018-10-01 07:50:00,19,22,21,21
2018-07-02 07:50:00,21,22,24,24
2018-04-02 07:50:00,24,25,25,25
2017-12-15 07:50:00,25,24,22,22
2017-10-02 07:50:00,22,18,17,17
2017-07-03 07:50:00,17,15,12,12
2017-04-03 07:50:00,12,14,10,10
2016-12-14 07:50:00,10,10,6,6
2016-10-03 07:50:00,6,7,6,6
2016-07-01 07:50:00,6,4,6,6
2016-04-01 07:50:00,6,8,12,12
2015-12-14 07:50:00,12,11,12,12
2015-10-01 07:50:00,12,13,15,15
2015-07-01 07:50:00,15,12,12,12
2015-04-01 07:50:00,12,14,12,12
2014-12-15 07:50:00,12,13,13,13
2014-10-01 07:50:00,13,10,12,12
2014-07-01 07:50:00,12,15,17,17
2014-04-01 07:50:00,17,18,16,16
2013-12-16 07:50:00,16,15,12,12
2013-10-01 07:50:00,12,7,4,4
2013-07-01 07:50:00,4,3,-8,-8
2013-04-01 07:50:00,-8,-7,-12,-12
2012-12-14 07:50:00,-12,-10,-3,-3
2012-10-01 07:50:00,-3,-3,-1,-1
2012-07-02 07:50:00,-1,-4,-4,-4
2012-04-02 07:50:00,-4,-1,-4,-4
2011-12-15 07:50:00,-4,-2,2,2
2011-10-03 07:50:00,2,2,-9,-9
2011-07-01 07:50:00,-9,-7,6,6
2011-04-01 07:50:00,6,6,5,5
2010-12-15 07:50:00,5,3,8,8
2010-09-29 07:50:00,8,7,1,1
2010-07-01 07:50:00,1,-3,-14,-14
2010-04-01 07:50:00,-14,-14,-24,-24
2009-12-14 07:50:00,-24,-26,-33,-33
2009-10-01 07:50:00,-33,-33,-48,-48
2009-07-01 07:50:00,-48,-43,-58,-58
2009-04-01 07:50:00,-58,-55,-24,-24
2008-12-15 07:50:00,-24,-23,-3,-3
2008-10-01 07:50:00,-3,-2,5,5
2008-07-01 07:50:00,5,3,11,11
2008-04-01 07:50:00,11,13,19,
