datetime,BOJ_Non_MF_QoQ_Actual,BOJ_Non_MF_QoQ_Srv_Med,BOJ_Non_MF_QoQ_Revised,BOJ_Non_MF_QoQ_Prior
2023-07-03 07:50:00,23,22,20,20
2023-04-03 07:50:00,20,20,19,19
2022-12-14 07:50:00,19,17,14,14
2022-10-03 07:50:00,14,13,13,13
2022-07-01 07:50:00,13,14,9,9
2022-04-01 07:50:00,9,5,10,9
2021-12-13 07:50:00,9,6,2,2
2021-10-01 07:50:00,2,3,1,1
2021-07-01 07:50:00,1,3,-1,-1
2021-04-01 07:50:00,-1,-5,-5,-5
2020-12-14 07:50:00,-5,-6,-12,-12
2020-10-01 07:50:00,-12,-9,-17,-17
2020-07-01 07:50:00,-17,-18,8,8
2020-04-01 07:50:00,8,6,20,20
2019-12-13 07:50:00,20,16,21,21
2019-10-01 07:50:00,21,20,23,23
2019-07-01 07:50:00,23,20,21,21
2019-04-01 07:50:00,21,22,24,24
2018-12-14 07:50:00,24,21,22,22
2018-10-01 07:50:00,22,22,24,24
2018-07-02 07:50:00,24,23,23,23
2018-04-02 07:50:00,23,24,23,23
2017-12-15 07:50:00,23,24,23,23
2017-10-02 07:50:00,23,23,23,23
2017-07-03 07:50:00,23,23,20,20
2017-04-03 07:50:00,20,20,18,18
2016-12-14 07:50:00,18,19,18,18
2016-10-03 07:50:00,18,18,19,19
2016-07-01 07:50:00,19,19,22,22
2016-04-01 07:50:00,22,24,25,25
2015-12-14 07:50:00,25,23,25,25
2015-10-01 07:50:00,25,20,23,23
2015-07-01 07:50:00,23,22,19,19
2015-04-01 07:50:00,19,17,16,16
2014-12-15 07:50:00,16,12,13,13
2014-10-01 07:50:00,13,17,19,19
2014-07-01 07:50:00,19,19,24,24
2014-04-01 07:50:00,24,24,20,20
2013-12-16 07:50:00,20,16,14,14
2013-10-01 07:50:00,14,14,12,12
2013-07-01 07:50:00,12,11,6,6
2013-04-01 07:50:00,6,8,4,4
2012-12-14 07:50:00,4,5,8,8
2012-10-01 07:50:00,8,6,8,8
2012-07-02 07:50:00,8,7,5,5
2012-04-02 07:50:00,5,5,4,4
2011-12-15 07:50:00,4,1,1,1
2011-10-03 07:50:00,1,2,-5,-5
2011-07-01 07:50:00,-5,-4,3,3
2011-04-01 07:50:00,3,2,1,1
2010-12-15 07:50:00,1,0,2,2
2010-09-29 07:50:00,2,-2,-5,-5
2010-07-01 07:50:00,-5,-8,-14,-14
2010-04-01 07:50:00,-14,-17,-22,-22
2009-12-14 07:50:00,-22,-23,-24,-24
2009-10-01 07:50:00,-24,-25,-29,-29
2009-07-01 07:50:00,-29,-27,-31,-31
2009-04-01 07:50:00,-31,-26,-9,-9
2008-12-15 07:50:00,-9,-9,1,1
2008-10-01 07:50:00,1,5,10,10
2008-07-01 07:50:00,10,8,12,12
2008-04-01 07:50:00,12,12,16,
