datetime,CAD_CCPI_YoY_Actual,CAD_CCPI_YoY_Srv_Med,CAD_CCPI_YoY_Revised,CAD_CCPI_YoY_Prior
8/15/2023 20:30,3.2,2.8,3.2,3.2
7/18/2023 20:30,3.2,3.5,3.7,3.7
6/27/2023 20:30,3.7,3.9,4.1,4.1
5/16/2023 20:30,4.1,4.4,4.3,4.3
4/18/2023 20:30,4.3,4.4,4.7,4.7
3/21/2023 20:30,4.7,4.8,5,5
2/21/2023 21:30,5,5.5,5.4,5.4
1/17/2023 21:30,5.4,6.1,5.8,5.8
12/21/2022 21:30,5.8,None,5.8,5.8
11/16/2022 21:30,5.8,None,6,6
10/19/2022 20:30,6,None,5.8,5.8
9/20/2022 20:30,5.8,None,6.1,6.1
8/16/2022 20:30,6.1,None,6.2,6.2
7/20/2022 20:30,6.2,5.9,6.1,6.1
6/22/2022 20:30,6.1,5.9,5.7,5.7
5/18/2022 20:30,5.7,5.4,5.5,5.5
4/20/2022 20:30,5.5,4.2,4.8,4.8
3/16/2022 20:30,4.8,4.5,4.3,4.3
2/16/2022 21:30,4.3,3.5,4,4
1/19/2022 21:30,4,3.5,3.6,3.6
12/15/2021 21:30,3.6,3.6,3.8,3.8
11/17/2021 21:30,3.8,None,3.7,3.7
10/20/2021 20:30,3.7,None,3.5,3.5
9/15/2021 20:30,3.5,None,3.3,3.3
8/18/2021 20:30,3.3,None,2.7,2.7
7/28/2021 20:30,2.7,2.4,2.8,2.8
6/16/2021 20:30,2.8,2.4,2.3,2.3
5/19/2021 20:30,2.3,None,1.4,1.4
4/21/2021 20:30,1.4,None,1.2,1.2
3/17/2021 20:30,1.2,1.4,1.6,1.6
2/17/2021 21:30,1.6,1.4,1.5,1.5
1/20/2021 21:30,1.5,None,1.5,1.5
12/16/2020 21:30,1.5,None,1,1
11/18/2020 21:30,1,None,1,1
10/21/2020 20:30,1,None,0.8,0.8
9/16/2020 20:30,0.8,0.9,0.7,0.7
8/19/2020 20:30,0.7,None,1.1,1.1
7/22/2020 20:30,1.1,0.9,0.7,0.7
6/17/2020 20:30,0.7,None,1.2,1.2
5/20/2020 20:30,1.2,None,1.6,1.6
4/22/2020 20:30,1.6,None,1.8,1.8
3/18/2020 20:30,1.8,1.7,1.8,1.8
2/19/2020 21:30,1.8,1.8,1.7,1.7
1/22/2020 21:30,1.7,1.9,1.9,1.9
12/18/2019 21:30,1.9,None,1.9,1.9
11/20/2019 21:30,1.9,1.9,1.9,1.9
10/16/2019 20:30,1.9,1.9,1.9,1.9
9/18/2019 20:30,1.9,2.2,2,2
8/21/2019 20:30,2,None,2,2
7/17/2019 20:30,2,2.6,2.1,2.1
6/19/2019 20:30,2.1,1.2,1.5,1.5
5/15/2019 20:30,1.5,1.8,1.6,1.6
4/17/2019 20:30,1.6,None,1.5,1.5
3/22/2019 20:30,1.5,None,1.5,1.5
2/27/2019 21:30,1.5,None,1.7,1.7
1/18/2019 21:30,1.7,None,1.5,1.5
12/19/2018 21:30,1.5,None,1.6,1.6
11/23/2018 21:30,1.6,None,1.5,1.5
10/19/2018 20:30,1.5,1.8,1.7,1.7
9/21/2018 20:30,1.7,None,1.6,1.6
8/17/2018 20:30,1.6,1.3,1.3,1.3
7/20/2018 20:30,1.3,1.4,1.3,1.3
6/22/2018 20:30,1.3,1.4,1.5,1.5
5/18/2018 20:30,1.5,1.4,1.4,1.4
4/20/2018 20:30,1.4,1.5,1.5,1.5
3/23/2018 20:30,1.5,1.4,1.2,1.2
2/23/2018 21:30,1.2,None,1.2,1.2
1/26/2018 21:30,1.2,None,1.3,1.3
12/21/2017 21:30,1.3,None,0.9,0.9
11/17/2017 21:30,0.9,None,0.8,0.8
10/20/2017 20:30,0.8,None,0.9,0.9
9/22/2017 20:30,0.9,None,0.9,0.9
8/18/2017 20:30,0.9,None,0.9,0.9
7/21/2017 20:30,0.9,None,0.9,0.9
6/23/2017 20:30,0.9,None,1.1,1.1
5/19/2017 20:30,1.1,1.4,1.3,1.3
4/21/2017 20:30,1.3,None,1.7,1.7
3/24/2017 20:30,1.7,None,1.7,1.7
2/24/2017 21:30,1.7,None,1.6,1.6
1/20/2017 21:30,1.6,1.7,1.5,1.5
12/22/2016 21:30,1.5,1.8,1.7,1.7
11/18/2016 21:30,1.7,1.8,1.8,1.8
10/21/2016 20:30,1.8,1.8,1.8,1.8
9/23/2016 20:30,1.8,2,2.1,2.1
8/19/2016 20:30,2.1,2.1,2.1,2.1
7/22/2016 20:30,2.1,2,2.1,2.1
6/17/2016 20:30,2.1,2.1,2.2,2.2
5/20/2016 20:30,2.2,2,2.1,2.1
4/22/2016 20:30,2.1,1.7,1.9,1.9
3/18/2016 20:30,1.9,2,2,2
2/19/2016 21:30,2,1.9,1.9,1.9
1/22/2016 21:30,1.9,2.1,2,2
