datetime,CAD_COMCPI_Actual,CAD_COMCPI_Srv_Med,CAD_COMCPI_Revised,CAD_COMCPI_Prior
2023-08-15 20:30:00,4.8,4.7,5.1,5.1
2023-07-18 20:30:00,5.1,5.0,5.2,5.2
2023-06-27 20:30:00,5.2,5.2,5.7,5.7
2023-05-16 20:30:00,5.7,5.5,6.0,5.9
2023-04-18 20:30:00,5.9,6.2,6.4,6.4
2023-03-21 20:30:00,6.4,6.5,6.6,6.6
2023-02-21 21:30:00,6.6,None,6.6,6.6
2023-01-17 21:30:00,6.6,6.6,6.8,6.7
2022-12-21 21:30:00,6.7,None,6.3,6.2
2022-11-16 21:30:00,6.2,5.9,6.0,6.0
2022-10-19 20:30:00,6.0,5.6,6.0,5.7
2022-09-20 20:30:00,5.7,5.5,6.0,5.5
2022-08-16 20:30:00,5.5,None,4.6,4.6
2022-07-20 20:30:00,4.6,4.2,3.9,2.6
2022-03-16 20:30:00,2.6,2.4,2.3,2.3
2022-02-16 21:30:00,2.3,None,2.1,2.0
2021-12-15 21:30:00,2.0,None,1.8,1.8
2021-11-17 21:30:00,1.8,None,1.8,1.8
2021-10-20 20:30:00,1.8,None,1.8,1.8
2021-09-15 20:30:00,1.8,1.7,1.7,1.7
2021-08-18 20:30:00,1.7,None,1.7,1.7
2021-07-28 20:30:00,1.7,None,1.8,1.8
2021-06-16 20:30:00,1.8,None,1.7,1.5
2021-04-21 20:30:00,1.5,None,1.3,1.3
2021-03-17 20:30:00,1.3,None,1.3,1.3
2021-02-17 21:30:00,1.3,None,1.3,1.5
2020-12-16 21:30:00,1.5,None,1.6,1.6
2020-11-18 21:30:00,1.6,None,1.5,1.5
2020-10-21 20:30:00,1.5,None,1.5,1.5
2020-09-16 20:30:00,1.5,1.4,1.3,1.3
2020-08-19 20:30:00,1.3,1.6,1.4,1.5
2020-07-22 20:30:00,1.5,None,1.4,1.4
2020-06-17 20:30:00,1.4,None,1.5,1.6
2020-05-20 20:30:00,1.6,None,1.7,1.7
2020-04-22 20:30:00,1.7,None,1.8,1.8
2020-03-18 20:30:00,1.8,None,1.8,1.8
2020-02-19 21:30:00,1.8,None,2.0,2.0
2020-01-22 21:30:00,2.0,None,1.9,1.9
2019-12-18 21:30:00,1.9,None,1.9,1.9
2019-11-20 21:30:00,1.9,None,1.9,1.9
2019-10-16 20:30:00,1.9,1.8,1.8,1.8
2019-09-18 20:30:00,1.8,1.9,1.9,1.9
2019-08-21 20:30:00,1.9,1.8,1.8,1.8
2019-07-17 20:30:00,1.8,1.8,1.8,1.8
2019-06-19 20:30:00,1.8,1.9,1.8,1.8
2019-05-15 20:30:00,1.8,1.8,1.8,1.8
2019-04-17 20:30:00,1.8,1.8,1.8,1.8
2019-03-22 20:30:00,1.8,1.8,1.9,1.9
2019-02-27 21:30:00,1.9,1.9,1.9,1.9
2019-01-18 21:30:00,1.9,1.9,1.9,1.9
2018-12-19 21:30:00,1.9,1.9,1.9,1.9
2018-11-23 21:30:00,1.9,1.9,1.9,1.9
2018-10-19 20:30:00,1.9,None,2.0,2.0
2018-09-21 20:30:00,2.0,None,1.9,1.9
2018-08-17 20:30:00,1.9,None,1.9,1.9
2018-07-20 20:30:00,1.9,None,1.9,1.9
2018-06-22 20:30:00,1.9,None,1.9,1.9
2018-05-18 20:30:00,1.9,1.9,1.9,1.9
2018-04-20 20:30:00,1.9,None,1.9,1.9
2018-03-23 20:30:00,1.9,None,1.8,1.8
2018-02-23 21:30:00,1.8,None,1.6,1.6
2018-01-26 21:30:00,1.6,None,1.5,1.5
2017-12-21 21:30:00,1.5,1.7,1.6,1.6
2017-11-17 21:30:00,1.6,None,1.5,1.5
2017-10-20 20:30:00,1.5,None,1.5,1.5
2017-09-22 20:30:00,1.5,None,1.4,1.4
2017-08-18 20:30:00,1.4,None,1.4,1.4
2017-07-21 20:30:00,1.4,None,1.3,
