datetime,CAD_CPI_MoM_Actual,CAD_CPI_MoM_Srv_Med,CAD_CPI_MoM_Revised,CAD_CPI_MoM_Prior
8/15/2023 20:30,0.6,0.3,0.1,0.1
7/18/2023 20:30,0.1,0.3,0.4,0.4
6/27/2023 20:30,0.4,0.5,0.7,0.7
5/16/2023 20:30,0.7,0.4,0.5,0.5
4/18/2023 20:30,0.5,0.5,0.4,0.4
3/21/2023 20:30,0.4,0.5,0.5,0.5
2/21/2023 21:30,0.5,0.7,-0.6,-0.6
1/17/2023 21:30,-0.6,-0.5,0.1,0.1
12/21/2022 21:30,0.1,-0.1,0.7,0.7
11/16/2022 21:30,0.7,0.7,0.1,0.1
10/19/2022 20:30,0.1,-0.1,-0.3,-0.3
9/20/2022 20:30,-0.3,-0.1,0.1,0.1
8/16/2022 20:30,0.1,0.1,0.7,0.7
7/20/2022 20:30,0.7,0.9,1.4,1.4
6/22/2022 20:30,1.4,1,0.6,0.6
5/18/2022 20:30,0.6,0.5,1.4,1.4
4/20/2022 20:30,1.4,1,1,1
3/16/2022 20:30,1,0.9,0.9,0.9
2/16/2022 21:30,0.9,0.6,-0.1,-0.1
1/19/2022 21:30,-0.1,-0.1,0.2,0.2
12/15/2021 21:30,0.2,0.2,0.7,0.7
11/17/2021 21:30,0.7,0.7,0.2,0.2
10/20/2021 20:30,0.2,0.1,0.2,0.2
9/15/2021 20:30,0.2,0.1,0.6,0.6
8/18/2021 20:30,0.6,0.3,0.3,0.3
7/28/2021 20:30,0.3,0.4,0.5,0.5
6/16/2021 20:30,0.5,0.4,0.5,0.5
5/19/2021 20:30,0.5,0.4,0.5,0.5
4/21/2021 20:30,0.5,0.6,0.5,0.5
3/17/2021 20:30,0.5,0.7,0.6,0.6
2/17/2021 21:30,0.6,0.4,-0.2,-0.2
1/20/2021 21:30,-0.2,None,0.1,0.1
12/16/2020 21:30,0.1,0.2,0.4,0.4
11/18/2020 21:30,0.4,0.2,-0.1,-0.1
