datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
9/8/2023 20:30,None,None,-6.4,-6.4
8/4/2023 20:30,-6.4,21.1,59.9,59.9
7/7/2023 20:30,59.9,20,-17.3,-17.3
6/9/2023 20:30,-17.3,23.2,41.4,41.4
5/5/2023 20:30,41.4,20,34.7,34.7
4/6/2023 20:30,34.7,12,21.8,21.8
3/10/2023 21:30,21.8,10,150,150
2/10/2023 21:30,150,15,69.2,104
1/6/2023 21:30,104,8,10.1,10.1
12/2/2022 21:30,10.1,5,108.3,108.3
11/4/2022 20:30,108.3,10,21.1,21.1
10/7/2022 20:30,21.1,20,-39.7,-39.7
9/9/2022 20:30,-39.7,15,-30.6,-30.6
8/5/2022 20:30,-30.6,20,-43.2,-43.2
7/8/2022 20:30,-43.2,23.5,39.8,39.8
6/10/2022 20:30,39.8,30,15.3,15.3
5/6/2022 20:30,15.3,55,72.5,72.5
4/8/2022 20:30,72.5,80,336.6,336.6
3/11/2022 21:30,336.6,160,-200.1,-200.1
2/4/2022 21:30,-200.1,-117.5,78.6,54.7
1/7/2022 21:30,54.7,27.5,153.7,153.7
12/3/2021 21:30,153.7,35,31.2,31.2
11/5/2021 20:30,31.2,50,157.1,157.1
10/8/2021 20:30,157.1,65,90.2,90.2
9/10/2021 20:30,90.2,100,94,94
8/6/2021 20:30,94,177.5,230.7,230.7
7/9/2021 20:30,230.7,195,-68,-68
6/4/2021 20:30,-68,-20,-207.1,-207.1
5/7/2021 20:30,-207.1,-175,303.1,303.1
4/9/2021 20:30,303.1,100,259.2,259.2
3/12/2021 21:30,259.2,75,-212.8,-212.8
2/5/2021 21:30,-212.8,-47.5,-68.2,-62.6
1/8/2021 21:30,-62.6,-27.5,62.1,62.1
12/4/2020 21:30,62.1,20,83.6,83.6
11/6/2020 21:30,83.6,100,378.2,378.2
10/9/2020 20:30,378.2,156.6,245.8,245.8
9/4/2020 20:30,245.8,275,418.5,418.5
8/7/2020 20:30,418.5,400,952.9,952.9
7/10/2020 20:30,952.9,700,289.6,289.6
6/5/2020 20:30,289.6,-500,-1993.8,-1993.8
5/8/2020 20:30,-1993.8,-4000,-1010.7,-1010.7
4/9/2020 20:30,-1010.7,-350,30.3,30.3
3/6/2020 21:30,30.3,10,34.5,34.5
2/7/2020 21:30,34.5,15,-2.8,35.2
1/10/2020 21:30,35.2,25,-71.2,-71.2
12/6/2019 21:30,-71.2,10,-1.8,-1.8
11/8/2019 21:30,-1.8,15.9,53.7,53.7
10/11/2019 20:30,53.7,10,81.1,81.1
9/6/2019 20:30,81.1,18.9,-24.2,-24.2
8/9/2019 20:30,-24.2,12.5,-2.2,-2.2
7/5/2019 20:30,-2.2,10,27.7,27.7
6/7/2019 20:30,27.7,8,106.5,106.5
5/10/2019 20:30,106.5,10,-7.2,-7.2
4/5/2019 20:30,-7.2,-10,55.9,55.9
3/8/2019 21:30,55.9,0.3,66.8,66.8
2/8/2019 21:30,66.8,8,-1.3,9.3
1/4/2019 21:30,9.3,6.8,94.1,94.1
12/7/2018 21:30,94.1,10.3,11.2,11.2
11/2/2018 20:30,11.2,12.7,63.3,63.3
10/5/2018 20:30,63.3,25,-51.6,-51.6
9/7/2018 20:30,-51.6,5.1,54.1,54.1
8/10/2018 20:30,54.1,17.5,31.8,31.8
7/6/2018 20:30,31.8,24,-7.5,-7.5
6/8/2018 20:30,-7.5,17.5,-1.1,-1.1
5/11/2018 20:30,-1.1,17.4,32.3,32.3
4/6/2018 20:30,32.3,18.8,15.4,15.4
3/9/2018 21:30,15.4,20,-88,-88
2/9/2018 21:30,-88,-2,64.8,78.6
1/5/2018 21:30,78.6,1,79.5,79.5
12/1/2017 21:30,79.5,10,35.3,35.3
11/3/2017 20:30,35.3,15,10,10
10/6/2017 20:30,10,14.5,22.2,22.2
9/8/2017 20:30,22.2,19,10.9,10.9
8/4/2017 20:30,10.9,10,45.3,45.3
7/7/2017 20:30,45.3,10,54.5,54.5
