datetime,CAD_RS_MoM_Actual,CAD_RS_MoM_Srv_Med,CAD_RS_MoM_Revised,CAD_RS_MoM_Prior
8/23/2023 20:30,None,0,0.2,0.2
7/21/2023 20:30,0.2,0.5,1,1.1
6/21/2023 20:30,1.1,0.2,-1.5,-1.4
5/19/2023 20:30,-1.4,-1.4,-0.2,-0.2
4/21/2023 20:30,-0.2,-0.6,1.6,1.4
3/24/2023 20:30,1.4,0.7,0.5,0.5
2/21/2023 21:30,0.5,0.4,-0.1,-0.1
1/20/2023 21:30,-0.1,-0.5,1.3,1.4
12/20/2022 21:30,1.4,1.5,-0.6,-0.5
11/22/2022 21:30,-0.5,-0.5,0.4,0.7
10/21/2022 20:30,0.7,0.2,-2.2,-2.5
9/23/2022 20:30,-2.5,-2,1,1.1
8/19/2022 20:30,1.1,0.3,2.3,2.2
7/22/2022 20:30,2.2,1.6,0.7,0.9
6/21/2022 20:30,0.9,0.8,0.2,0
5/26/2022 20:30,0,1.4,0.2,0.1
4/22/2022 20:30,0.1,-0.4,3.3,3.2
3/18/2022 20:30,3.2,2.4,-2,-1.8
2/18/2022 21:30,-1.8,-2.1,0.8,0.7
1/21/2022 21:30,0.7,1.2,1.5,1.6
12/21/2021 21:30,1.6,1,-0.6,-0.6
11/19/2021 21:30,-0.6,-1.7,2.1,2.1
10/22/2021 20:30,2.1,2,-0.1,-0.6
9/23/2021 20:30,-0.6,-1.2,4.2,4.2
8/20/2021 20:30,4.2,4.4,-2.1,-2.1
7/23/2021 20:30,-2.1,-3,-5.7,-5.7
6/23/2021 20:30,-5.7,-5,3.6,3.6
5/21/2021 20:30,3.6,2.3,4.8,4.8
4/28/2021 20:30,4.8,4,-1.1,-1.1
3/19/2021 20:30,-1.1,-3,-3.4,-3.4
2/19/2021 21:30,-3.4,-2.5,1.8,1.3
1/22/2021 21:30,1.3,0.1,0.4,0.4
12/18/2020 21:30,0.4,0.2,1.1,1.1
11/20/2020 21:30,1.1,0.2,0.4,0.4
10/21/2020 20:30,0.4,1.1,0.6,0.6
9/18/2020 20:30,0.6,1,22.7,23.7
8/21/2020 20:30,23.7,24.5,21.2,18.7
7/21/2020 20:30,18.7,20,-25,-26.4
6/19/2020 20:30,-26.4,-15.1,-9.9,-10
5/22/2020 20:30,-10,-10,0.4,0.3
4/21/2020 20:30,0.3,0.2,0.6,0.4
3/20/2020 20:30,0.4,0.3,0.2,0
2/21/2020 21:30,0,0.1,1.1,0.9
1/24/2020 21:30,0.9,0.4,-1.1,-1.2
12/20/2019 21:30,-1.2,0.5,-0.1,-0.1
11/22/2019 21:30,-0.1,-0.1,0.1,-0.1
10/22/2019 20:30,-0.1,0.5,0.6,0.4
9/20/2019 20:30,0.4,0.4,-0.1,0
8/23/2019 20:30,0,-0.1,-0.2,-0.1
7/19/2019 20:30,-0.1,0.3,0.2,0.1
6/21/2019 20:30,0.1,0.3,1.3,1.1
5/22/2019 20:30,1.1,1,1,0.8
4/18/2019 20:30,0.8,0.4,-0.4,-0.3
3/22/2019 20:30,-0.3,0.4,-0.3,-0.1
2/22/2019 21:30,-0.1,0,-0.9,-0.9
1/23/2019 21:30,-0.9,-0.6,0.2,0.3
12/21/2018 21:30,0.3,0.4,0.1,0.2
11/23/2018 21:30,0.2,0.1,-0.1,-0.1
10/19/2018 20:30,-0.1,0.3,0.2,0.3
9/21/2018 20:30,0.3,0.4,-0.1,-0.2
8/22/2018 20:30,-0.2,0.1,2.2,2
7/20/2018 20:30,2,1.1,-1.2,-1.2
6/22/2018 20:30,-1.2,0,0.8,0.6
5/18/2018 20:30,0.6,0.3,0.5,0.4
4/20/2018 20:30,0.4,0.3,0.1,0.3
3/23/2018 20:30,0.3,1.1,-0.7,-0.8
2/22/2018 21:30,-0.8,0,0.3,0.2
1/25/2018 21:30,0.2,0.8,1.6,1.5
12/21/2017 21:30,1.5,0.3,0.2,0.1
11/23/2017 21:30,0.1,0.9,-0.1,-0.3
10/20/2017 20:30,-0.3,0.5,0.4,0.4
9/22/2017 20:30,0.4,0.1,0.1,0.1
8/22/2017 20:30,0.1,0.3,0.5,0.6
7/21/2017 20:30,0.6,0.2,0.7,0.8
6/22/2017 20:30,0.8,0.2,0.5,0.7
5/19/2017 20:30,0.7,0.4,-0.4,-0.6
4/26/2017 20:30,-0.6,-0.1,2.3,2.2
3/21/2017 20:30,2.2,1.1,-0.4,-0.5
