datetime,CAD_UER_MoM_Actual,CAD_UER_MoM_Srv_Med,CAD_UER_MoM_Revised,CAD_UER_MoM_Prior
2023-09-08 20:30:00,None,None,5.5,5.5
2023-08-04 20:30:00,5.5,5.5,5.4,5.4
2023-07-07 20:30:00,5.4,5.3,5.2,5.2
2023-06-09 20:30:00,5.2,5.1,5.0,5.0
2023-05-05 20:30:00,5.0,5.1,5.0,5.0
2023-04-06 20:30:00,5.0,5.1,5.0,5.0
2023-03-10 21:30:00,5.0,5.1,5.0,5.0
2023-02-10 21:30:00,5.0,5.1,5.0,5.0
2023-01-06 21:30:00,5.0,5.2,5.1,5.1
2022-12-02 21:30:00,5.1,5.3,5.2,5.2
2022-11-04 20:30:00,5.2,5.3,5.2,5.2
2022-10-07 20:30:00,5.2,5.4,5.4,5.4
2022-09-09 20:30:00,5.4,5.0,4.9,4.9
2022-08-05 20:30:00,4.9,5.0,4.9,4.9
2022-07-08 20:30:00,4.9,5.1,5.1,5.1
2022-06-10 20:30:00,5.1,5.2,5.2,5.2
2022-05-06 20:30:00,5.2,5.2,5.3,5.3
2022-04-08 20:30:00,5.3,5.3,5.5,5.5
2022-03-11 21:30:00,5.5,6.2,6.5,6.5
2022-02-04 21:30:00,6.5,6.2,6.0,5.9
2022-01-07 21:30:00,5.9,6.0,6.0,6.0
2021-12-03 21:30:00,6.0,6.6,6.7,6.7
2021-11-05 20:30:00,6.7,6.8,6.9,6.9
2021-10-08 20:30:00,6.9,6.9,7.1,7.1
2021-09-10 20:30:00,7.1,7.3,7.5,7.5
2021-08-06 20:30:00,7.5,7.4,7.8,7.8
2021-07-09 20:30:00,7.8,7.7,8.2,8.2
2021-06-04 20:30:00,8.2,8.2,8.1,8.1
2021-05-07 20:30:00,8.1,7.8,7.5,7.5
2021-04-09 20:30:00,7.5,8.0,8.2,8.2
2021-03-12 21:30:00,8.2,9.2,9.4,9.4
2021-02-05 21:30:00,9.4,8.9,0.2,8.6
2021-01-08 21:30:00,8.6,8.6,8.5,8.5
2020-12-04 21:30:00,8.5,8.9,8.9,8.9
2020-11-06 21:30:00,8.9,8.8,9.0,9.0
2020-10-09 20:30:00,9.0,9.7,10.2,10.2
