datetime,EUR_CPI_YoY_Actual,EUR_CPI_YoY_Srv_Med,EUR_CPI_YoY_Revised,EUR_CPI_YoY_Prior,Is_P
2023-08-31 17:00:00,None,None,5.3,5.3,0.0
2023-08-18 17:00:00,5.3,5.3,5.5,5.5,0.0
2023-07-31 17:00:00,5.3,5.3,5.5,5.5,1.0
2023-07-19 17:00:00,5.5,5.5,6.1,6.1,0.0
2023-06-30 17:00:00,5.5,5.6,6.1,6.1,1.0
2023-06-16 17:00:00,6.1,6.1,7.0,7.0,0.0
2023-06-01 17:00:00,6.1,6.3,7.0,7.0,1.0
2023-05-17 17:00:00,7.0,7.0,6.9,6.9,0.0
2023-05-02 17:00:00,7.0,7.0,6.9,6.9,1.0
2023-04-19 17:00:00,6.9,6.9,8.5,8.5,0.0
2023-03-31 17:00:00,6.9,7.1,8.5,8.5,1.0
2023-03-17 18:00:00,8.5,8.5,8.6,8.6,0.0
2023-03-02 18:00:00,8.5,8.2,8.6,8.5,1.0
2023-02-23 18:00:00,8.6,8.6,9.2,9.2,0.0
2023-02-01 18:00:00,8.5,9.0,9.2,9.2,1.0
2023-01-18 18:00:00,9.2,9.2,10.1,10.1,0.0
2023-01-06 18:00:00,9.2,9.7,10.1,10.0,1.0
2022-12-16 18:00:00,10.1,10.0,10.6,10.6,0.0
2022-11-30 18:00:00,10.0,10.4,10.6,10.7,1.0
2022-11-17 18:00:00,10.6,10.7,9.9,9.9,0.0
2022-10-31 18:00:00,10.7,10.2,9.9,10.0,1.0
2022-10-19 17:00:00,9.9,10.0,9.1,9.1,0.0
2022-09-30 17:00:00,10.0,9.7,9.1,9.1,1.0
2022-09-16 17:00:00,9.1,9.1,9.1,8.9,0.0
2022-08-31 17:00:00,9.1,9.0,8.9,8.9,1.0
2022-08-18 17:00:00,8.9,8.9,8.6,8.6,0.0
2022-07-29 17:00:00,8.9,8.6,8.6,8.6,1.0
2022-07-19 17:00:00,8.6,8.6,8.1,8.1,0.0
2022-07-01 17:00:00,8.6,8.4,8.1,8.1,1.0
2022-06-17 17:00:00,8.1,8.1,7.4,7.4,0.0
2022-05-31 17:00:00,8.1,7.7,7.4,7.5,1.0
2022-05-18 17:00:00,7.4,7.5,7.5,7.4,0.0
2022-04-29 17:00:00,7.5,7.5,7.4,7.5,1.0
2022-04-21 17:00:00,7.4,7.5,5.9,5.9,0.0
2022-04-01 17:00:00,7.5,6.6,5.9,5.8,1.0
2022-03-17 18:00:00,5.9,5.8,5.8,5.1,0.0
2022-03-02 18:00:00,5.8,5.3,5.1,5.1,1.0
2022-02-23 18:00:00,5.1,5.1,5.1,5.0,0.0
2022-02-02 18:00:00,5.1,4.4,5.0,5.0,1.0
2022-01-20 18:00:00,5.0,5.0,4.9,4.9,0.0
2022-01-07 18:00:00,5.0,4.7,4.9,4.9,1.0
2021-12-17 18:00:00,4.9,4.9,4.9,4.1,0.0
2021-11-30 18:00:00,4.9,4.5,4.1,4.1,1.0
2021-11-17 18:00:00,4.1,4.1,3.4,3.4,0.0
2021-10-29 17:00:00,4.1,3.7,3.4,3.4,1.0
2021-10-20 17:00:00,3.4,3.4,3.0,3.0,0.0
2021-10-01 17:00:00,3.4,3.3,3.0,3.0,1.0
2021-09-17 17:00:00,3.0,3.0,2.2,2.2,0.0
2021-08-31 17:00:00,3.0,2.7,2.2,2.2,1.0
2021-08-18 17:00:00,2.2,2.2,1.9,1.9,0.0
2021-07-30 17:00:00,2.2,2.0,1.9,1.9,1.0
2021-07-16 17:00:00,1.9,1.9,2.0,2.0,0.0
2021-06-30 17:00:00,1.9,1.9,2.0,2.0,1.0
2021-06-17 17:00:00,2.0,2.0,1.6,1.6,0.0
2021-06-01 17:00:00,2.0,1.9,1.6,1.6,1.0
2021-05-19 17:00:00,1.6,1.6,1.3,1.3,0.0
2021-04-30 17:00:00,1.6,1.6,1.3,1.3,1.0
2021-04-16 17:00:00,1.3,1.3,0.9,0.9,0.0
2021-03-31 17:00:00,1.3,1.3,0.9,0.9,1.0
2021-03-17 18:00:00,0.9,0.9,0.9,0.9,0.0
2021-03-02 18:00:00,0.9,0.9,0.9,0.9,1.0
2021-02-23 18:00:00,0.9,0.9,-0.3,-0.3,0.0
2021-02-03 18:00:00,0.9,0.5,-0.3,-0.3,1.0
2021-01-20 18:00:00,-0.3,-0.3,-0.3,-0.3,0.0
2021-01-07 18:00:00,-0.3,-0.2,-0.3,-0.3,1.0
2020-12-17 18:00:00,-0.3,-0.3,-0.3,-0.3,0.0
2020-12-01 18:00:00,-0.3,-0.2,-0.3,-0.3,1.0
2020-11-18 18:00:00,-0.3,-0.3,-0.3,-0.3,0.0
2020-10-30 18:00:00,-0.3,-0.3,-0.3,-0.3,1.0
2020-10-16 17:00:00,-0.3,-0.3,-0.3,-0.2,0.0
2020-10-02 17:00:00,-0.3,-0.2,-0.2,-0.2,1.0
2020-09-17 17:00:00,-0.2,-0.2,0.4,0.4,0.0
2020-09-01 17:00:00,-0.2,0.2,0.4,0.4,1.0
2020-08-19 17:00:00,0.4,0.4,0.3,0.3,0.0
2020-07-31 17:00:00,0.4,0.2,0.3,0.3,1.0
2020-07-17 17:00:00,0.3,0.3,0.1,0.1,0.0
2020-06-30 17:00:00,0.3,0.1,0.1,0.1,1.0
2020-06-17 17:00:00,0.1,0.1,0.3,0.3,0.0
2020-05-29 17:00:00,0.1,0.1,0.3,0.4,1.0
2020-05-20 17:00:00,0.3,0.4,0.7,0.7,0.0
2020-04-30 17:00:00,0.4,0.1,0.7,0.7,1.0
2020-04-17 17:00:00,0.7,0.7,1.2,1.2,0.0
2020-03-31 17:00:00,0.7,0.8,1.2,1.2,1.0
