datetime,EUR_UER_YoY_Actual,EUR_UER_YoY_Srv_Med,EUR_UER_YoY_Revised,EUR_UER_YoY_Prior
2023-08-31 17:00:00,None,None,6.4,6.4
2023-08-01 17:00:00,6.4,6.5,6.4,6.5
2023-06-30 17:00:00,6.5,6.5,6.5,6.5
2023-06-01 17:00:00,6.5,6.5,6.6,6.5
2023-05-03 17:00:00,6.5,6.6,6.6,6.6
2023-03-31 17:00:00,6.6,6.7,6.6,6.7
2023-03-02 18:00:00,6.7,6.6,6.7,6.6
2023-02-01 18:00:00,6.6,6.5,6.6,6.5
2023-01-09 18:00:00,6.5,6.5,6.5,6.5
2022-12-01 18:00:00,6.5,6.6,6.6,6.6
2022-11-03 18:00:00,6.6,6.6,6.7,6.6
2022-09-30 17:00:00,6.6,6.6,6.6,6.6
2022-09-01 17:00:00,6.6,6.6,6.7,6.6
2022-08-01 17:00:00,6.6,6.6,6.6,6.6
2022-06-30 17:00:00,6.6,6.8,6.7,6.8
2022-06-01 17:00:00,6.8,6.8,6.8,6.8
2022-05-03 17:00:00,6.8,6.7,6.9,6.8
2022-03-31 17:00:00,6.8,6.7,6.9,6.8
2022-03-03 18:00:00,6.8,7.0,7.0,7.0
2022-02-01 18:00:00,7.0,7.1,7.1,7.2
2022-01-10 18:00:00,7.2,7.2,7.3,7.3
2021-12-02 18:00:00,7.3,7.3,7.4,7.4
2021-11-03 18:00:00,7.4,7.4,7.5,7.5
2021-09-30 17:00:00,7.5,7.5,7.6,7.6
2021-09-01 17:00:00,7.6,7.6,7.8,7.7
2021-07-30 17:00:00,7.7,7.9,8.0,7.9
2021-07-01 17:00:00,7.9,8.0,8.1,8.0
2021-06-01 17:00:00,8.0,8.1,8.1,8.1
2021-04-30 17:00:00,8.1,8.3,8.2,8.3
2021-04-06 17:00:00,8.3,8.1,8.3,8.1
2021-03-04 18:00:00,8.1,8.3,8.1,8.3
2021-02-01 18:00:00,8.3,8.3,8.3,8.3
2021-01-08 18:00:00,8.3,8.5,8.4,8.4
2020-12-02 18:00:00,8.4,8.4,8.5,8.3
2020-10-30 18:00:00,8.3,8.3,8.3,8.1
2020-10-01 17:00:00,8.1,8.1,8.0,7.9
2020-09-01 17:00:00,7.9,8.0,7.7,7.8
2020-07-30 17:00:00,7.8,7.7,7.7,7.4
2020-07-02 17:00:00,7.4,7.7,7.3,7.3
2020-06-03 17:00:00,7.3,8.2,7.1,7.4
2020-04-30 17:00:00,7.4,7.7,7.3,7.3
2020-04-01 17:00:00,7.3,7.4,7.4,7.4
2020-03-03 18:00:00,7.4,7.4,7.4,7.4
2020-01-30 18:00:00,7.4,7.5,7.5,7.5
2020-01-09 18:00:00,7.5,7.5,7.5,7.5
2019-11-29 18:00:00,7.5,7.5,7.6,7.5
2019-10-31 18:00:00,7.5,7.4,7.5,7.4
2019-09-30 17:00:00,7.4,7.5,7.5,7.5
2019-08-30 17:00:00,7.5,7.5,7.5,7.5
2019-07-31 17:00:00,7.5,7.5,7.6,7.5
2019-07-01 17:00:00,7.5,7.6,7.6,7.6
2019-06-04 17:00:00,7.6,7.7,7.7,7.7
2019-04-30 17:00:00,7.7,7.8,7.8,7.8
2019-04-01 17:00:00,7.8,7.8,7.8,7.8
2019-03-01 18:00:00,7.8,7.9,7.8,7.9
2019-01-31 18:00:00,7.9,7.9,7.9,7.9
2019-01-09 18:00:00,7.9,8.1,8.0,8.1
2018-11-30 18:00:00,8.1,8.0,8.1,8.1
2018-10-31 18:00:00,8.1,8.1,8.1,8.1
2018-10-01 17:00:00,8.1,8.1,8.2,8.2
2018-08-31 17:00:00,8.2,8.2,8.2,8.3
2018-07-31 17:00:00,8.3,8.3,8.3,8.4
2018-07-02 17:00:00,8.4,8.5,8.5,8.5
2018-05-31 17:00:00,8.5,8.4,8.6,8.5
2018-05-02 17:00:00,8.5,8.5,8.5,8.5
2018-04-04 17:00:00,8.5,8.5,8.6,8.6
2018-03-01 18:00:00,8.6,8.6,8.6,8.7
2018-01-31 18:00:00,8.7,8.7,8.7,8.7
2018-01-09 18:00:00,8.7,8.7,8.8,8.8
2017-11-30 18:00:00,8.8,8.9,8.9,8.9
2017-10-31 18:00:00,8.9,9.0,9.0,9.1
2017-10-02 17:00:00,9.1,9.0,9.1,9.1
2017-08-31 17:00:00,9.1,9.1,9.1,9.1
2017-07-31 17:00:00,9.1,9.2,9.2,9.3
2017-07-03 17:00:00,9.3,9.2,9.3,9.3
2017-05-31 17:00:00,9.3,9.4,9.4,9.5
2017-05-02 17:00:00,9.5,9.4,9.5,9.5
2017-04-03 17:00:00,9.5,9.5,9.6,9.6
2017-03-02 18:00:00,9.6,9.6,9.6,9.6
2017-01-31 18:00:00,9.6,9.8,9.7,9.8
2017-01-09 18:00:00,9.8,9.8,9.8,9.8
2016-12-01 18:00:00,9.8,10.0,9.9,10.0
2016-11-03 18:00:00,10.0,10.0,10.0,10.1
2016-09-30 17:00:00,10.1,10.0,10.1,10.1
2016-08-31 17:00:00,10.1,10.0,10.1,10.1
2016-07-29 17:00:00,10.1,10.1,10.1,10.1
2016-07-01 17:00:00,10.1,10.1,10.2,10.2
