datetime,FED_RATE_Actual,FED_RATE_Srv_Med,FED_RATE_Revised,FED_RATE_Prior
12/14/2023 2:00,None,None,None,None
11/2/2023 2:00,None,None,None,None
9/21/2023 2:00,None,None,5.5,5.5
7/27/2023 2:00,5.5,5.5,5.25,5.25
6/15/2023 2:00,5.25,5.25,5.25,5.25
5/4/2023 2:00,5.25,5.25,5,5
3/23/2023 2:00,5,5,4.75,4.75
2/2/2023 3:00,4.75,4.75,4.5,4.5
12/15/2022 3:00,4.5,4.5,4,4
11/3/2022 2:00,4,4,3.25,3.25
9/22/2022 2:00,3.25,3.25,2.5,2.5
7/28/2022 2:00,2.5,2.5,1.75,1.75
6/16/2022 2:00,1.75,1.5,1,1
5/5/2022 2:00,1,1,0.5,0.5
3/17/2022 2:00,0.5,0.5,0.25,0.25
1/27/2022 3:00,0.25,0.25,0.25,0.25
12/16/2021 3:00,0.25,0.25,0.25,0.25
11/4/2021 2:00,0.25,0.25,0.25,0.25
9/23/2021 2:00,0.25,0.25,0.25,0.25
7/29/2021 2:00,0.25,0.25,0.25,0.25
6/17/2021 2:00,0.25,0.25,0.25,0.25
4/29/2021 2:00,0.25,0.25,0.25,0.25
3/18/2021 2:00,0.25,0.25,0.25,0.25
1/28/2021 3:00,0.25,0.25,0.25,0.25
12/17/2020 3:00,0.25,0.25,0.25,0.25
11/6/2020 3:00,0.25,0.25,0.25,0.25
9/17/2020 2:00,0.25,0.25,0.25,0.25
7/30/2020 2:00,0.25,0.25,0.25,0.25
6/11/2020 2:00,0.25,0.25,0.25,0.25
4/30/2020 2:00,0.25,0.25,0.25,0.25
3/16/2020 5:00,0.25,None,1.25,1.25
3/3/2020 23:00,1.25,None,1.75,1.75
1/30/2020 3:00,1.75,1.75,1.75,1.75
12/12/2019 3:00,1.75,1.75,1.75,1.75
10/31/2019 2:00,1.75,1.75,2,2
9/19/2019 2:00,2,2,2.25,2.25
8/1/2019 2:00,2.25,2.25,2.5,2.5
6/20/2019 2:00,2.5,2.5,2.5,2.5
5/2/2019 2:00,2.5,2.5,2.5,2.5
3/21/2019 2:00,2.5,2.5,2.5,2.5
1/31/2019 3:00,2.5,2.5,2.5,2.5
12/20/2018 3:00,2.5,2.5,2.25,2.25
11/9/2018 3:00,2.25,2.25,2.25,2.25
9/27/2018 2:00,2.25,2.25,2,2
8/2/2018 2:00,2,2,2,2
6/14/2018 2:00,2,2,1.75,1.75
5/3/2018 2:00,1.75,1.75,1.75,1.75
3/22/2018 2:00,1.75,1.75,1.5,1.5
2/1/2018 3:00,1.5,1.5,1.5,1.5
12/14/2017 3:00,1.5,1.5,1.25,1.25
11/2/2017 2:00,1.25,1.25,1.25,1.25
9/21/2017 2:00,1.25,1.25,1.25,1.25
7/27/2017 2:00,1.25,1.25,1.25,1.25
6/15/2017 2:00,1.25,1.25,1,1
5/4/2017 2:00,1,1,1,1
3/16/2017 2:00,1,1,0.75,0.75
2/2/2017 3:00,0.75,0.75,0.75,0.75
12/15/2016 3:00,0.75,0.75,0.5,0.5
11/3/2016 2:00,0.5,0.5,0.5,0.5
9/22/2016 2:00,0.5,0.5,0.5,0.5
7/28/2016 2:00,0.5,0.5,0.5,0.5
6/16/2016 2:00,0.5,0.5,0.5,0.5
4/28/2016 2:00,0.5,0.5,0.5,0.5
