datetime,FR_GDP_QoQ_Actual,FR_GDP_QoQ_Srv_Med,FR_GDP_QoQ_Revised,FR_GDP_QoQ_Prior,Is_P
2023-08-31 14:45:00,None,None,0.5,0.2,0.0
2023-07-28 13:30:00,0.5,0.1,0.1,0.2,1.0
2023-05-31 14:45:00,0.2,0.2,0.1,0.1,0.0
2023-04-28 13:30:00,0.2,0.2,0.0,0.1,1.0
2023-02-28 15:45:00,0.1,0.1,0.1,0.5,0.0
2023-01-31 14:30:00,0.1,0.2,0.1,0.2,1.0
2022-11-30 15:45:00,0.2,0.2,0.2,0.2,1.0
2022-10-28 14:30:00,0.2,0.2,0.5,0.5,1.0
2022-08-31 14:45:00,0.5,0.5,0.5,-0.2,0.0
2022-07-29 13:30:00,0.5,0.2,-0.2,0.0,1.0
2022-05-31 14:45:00,-0.2,0.0,0.7,0.7,0.0
2022-04-29 13:30:00,0.0,0.3,0.8,0.7,1.0
2022-02-25 15:45:00,0.7,0.7,3.1,3.0,0.0
2022-01-28 14:30:00,0.7,0.5,3.1,3.0,1.0
2021-11-30 15:45:00,3.0,3.0,3.0,0.9,1.0
2021-10-29 13:30:00,3.0,2.1,1.3,1.1,0.0
2021-08-31 14:45:00,1.1,0.9,0.0,-0.1,0.0
2021-07-30 13:30:00,0.9,0.8,-0.1,0.4,1.0
2021-05-28 14:45:00,-0.1,0.4,0.4,-1.4,0.0
2021-04-30 13:30:00,0.4,0.1,-1.4,-1.3,1.0
2021-02-26 15:45:00,-1.4,-1.3,-1.3,18.7,0.0
2021-01-29 14:30:00,-1.3,-4.0,18.5,18.2,1.0
2020-11-27 15:45:00,18.7,18.2,13.7,-5.3,0.0
2020-10-30 14:30:00,18.2,15.4,-13.7,-13.8,1.0
2020-08-28 14:45:00,-13.8,-13.8,-5.3,-13.8,1.0
2020-07-31 13:30:00,-13.8,-15.3,-5.9,-5.8,1.0
2020-05-29 14:45:00,-5.3,-5.8,-0.1,-0.1,0.0
2020-04-30 13:30:00,-5.8,-3.5,-0.1,-0.1,1.0
2020-02-28 15:45:00,-0.1,-0.1,0.3,0.3,0.0
2020-01-31 14:30:00,-0.1,0.2,-0.1,0.3,1.0
2019-11-29 15:45:00,0.3,0.3,0.3,0.3,1.0
2019-10-30 14:30:00,0.3,0.2,0.3,0.2,1.0
2019-08-29 14:45:00,0.3,0.2,0.2,0.3,0.0
2019-07-30 13:30:00,0.2,0.3,0.3,0.3,1.0
2019-05-29 14:45:00,0.3,0.3,0.3,0.3,0.0
2019-04-30 13:30:00,0.3,0.3,0.3,0.3,1.0
2019-03-26 15:45:00,0.3,0.3,0.3,0.3,0.0
2019-02-28 15:45:00,0.3,0.3,0.3,0.3,1.0
2019-01-30 14:30:00,0.3,0.3,0.3,0.4,1.0
2018-12-21 15:45:00,0.3,0.4,0.4,0.2,0.0
2018-11-29 15:45:00,0.4,0.4,0.4,0.4,1.0
2018-10-30 14:30:00,0.4,0.4,0.2,0.2,1.0
2018-09-21 14:45:00,0.2,0.2,0.2,0.2,0.0
2018-08-29 14:45:00,0.2,0.2,0.2,0.2,1.0
2018-07-27 13:30:00,0.2,0.3,0.2,0.2,1.0
2018-06-22 14:45:00,0.2,0.2,0.2,0.7,0.0
2018-05-30 14:45:00,0.2,0.3,0.3,0.3,1.0
2018-04-27 13:30:00,0.3,0.4,0.7,0.6,1.0
2018-03-26 14:45:00,0.7,0.6,0.6,0.6,0.0
2018-02-28 15:45:00,0.6,0.6,0.6,0.6,1.0
2018-01-30 14:30:00,0.6,0.5,0.6,0.5,1.0
2017-12-22 15:45:00,0.6,None,0.5,0.5,0.0
2017-11-29 15:45:00,0.5,0.5,0.5,0.5,1.0
2017-10-31 14:45:00,0.5,0.5,0.5,0.5,1.0
2017-09-22 14:45:00,0.5,0.5,0.5,0.5,0.0
2017-08-29 14:45:00,0.5,0.5,0.5,0.5,1.0
2017-07-28 13:30:00,0.5,0.5,0.5,0.4,1.0
2017-06-23 14:45:00,0.5,0.4,0.4,0.4,0.0
2017-05-30 14:45:00,0.4,0.3,0.3,0.3,1.0
2017-04-28 13:30:00,0.3,0.4,0.5,0.4,1.0
2017-03-24 15:45:00,0.4,0.4,0.4,0.2,0.0
2017-02-28 15:45:00,0.4,0.4,0.4,0.4,1.0
2017-01-31 14:30:00,0.4,0.4,0.2,0.2,1.0
2016-12-23 15:45:00,0.2,None,0.2,-0.1,0.0
2016-11-29 15:45:00,0.2,0.2,0.2,0.2,1.0
2016-10-28 13:30:00,0.2,0.3,-0.1,0.0,1.0
2016-09-23 14:45:00,-0.1,0.0,0.0,0.6,0.0
2016-08-26 14:45:00,0.0,0.0,0.0,0.0,1.0
2016-07-29 13:30:00,0.0,0.2,0.6,0.5,1.0
2016-05-30 14:45:00,0.6,0.5,0.5,0.3,0.0
2016-04-29 13:30:00,0.5,0.4,0.3,0.2,1.0
2016-02-26 15:45:00,0.3,0.2,0.2,0.3,0.0
2016-01-29 14:30:00,0.2,0.2,0.3,0.3,1.0
2015-12-23 15:45:00,0.3,0.3,0.3,0.0,0.0
2015-11-13 14:30:00,0.3,0.3,0.0,0.0,1.0
2015-09-23 14:45:00,0.0,0.0,0.0,0.6,0.0
2015-08-14 13:30:00,0.0,0.2,0.7,0.6,1.0
2015-06-24 13:30:00,0.6,0.6,0.6,0.1,0.0
2015-05-13 13:30:00,0.6,0.4,0.1,0.1,1.0
2015-03-26 15:45:00,0.1,0.1,0.1,0.3,0.0
2015-02-13 14:30:00,0.1,0.1,0.3,0.3,1.0
2014-12-23 15:45:00,0.3,0.3,0.3,0.0,0.0
2014-11-14 14:30:00,0.3,0.1,-0.1,0.0,1.0
2014-09-23 14:45:00,0.0,0.0,0.0,0.0,0.0
2014-08-14 13:30:00,0.0,0.1,0.0,0.0,1.0
2014-06-27 14:45:00,0.0,0.0,0.0,0.3,0.0
2014-05-15 13:30:00,0.0,0.2,0.2,0.3,1.0
2014-03-31 14:45:00,0.3,0.3,0.3,-0.1,0.0
2014-02-14 14:30:00,0.3,0.2,-0.1,-0.1,1.0
2013-12-24 15:45:00,-0.1,-0.1,-0.1,0.5,0.0
2013-11-14 14:30:00,-0.1,0.1,0.5,0.5,1.0
2013-09-27 14:45:00,0.5,0.5,0.5,-0.2,0.0
2013-08-14 13:30:00,0.5,0.2,-0.2,-0.2,1.0
2013-06-26 14:45:00,-0.2,-0.2,-0.2,-0.3,0.0
2013-05-15 13:30:00,-0.2,-0.1,-0.2,-0.3,1.0
2013-03-27 15:45:00,-0.3,-0.3,0.2,0.1,0.0
2013-02-14 14:30:00,-0.3,-0.2,0.1,0.2,1.0
2012-12-28 15:45:00,0.1,0.2,0.2,0.0,0.0
