datetime,FR_MPMI_MoM_Actual,FR_MPMI_MoM_Srv_Med,FR_MPMI_MoM_Revised,FR_MPMI_MoM_Prior,Is_P
2023-09-01 15:50:00,None,None,None,45.1,0.0
2023-08-23 15:15:00,None,45.2,45.1,44.5,1.0
2023-08-01 15:50:00,45.1,44.5,46.0,46.0,0.0
2023-07-24 15:15:00,44.5,46.0,46.0,45.5,1.0
2023-07-03 15:50:00,46.0,45.5,45.7,45.7,0.0
2023-06-23 15:15:00,45.5,45.4,45.7,46.1,1.0
2023-06-01 15:50:00,45.7,46.1,45.6,45.6,0.0
2023-05-23 15:15:00,46.1,46.0,45.6,45.5,1.0
2023-05-02 15:50:00,45.6,45.5,47.3,47.3,0.0
2023-04-21 15:15:00,45.5,47.8,47.3,47.7,1.0
2023-04-03 15:50:00,47.3,47.7,47.4,47.4,0.0
2023-03-24 16:15:00,47.7,48.0,47.4,47.9,1.0
2023-03-01 16:50:00,47.4,47.9,47.9,50.5,0.0
2023-02-21 16:15:00,47.9,50.9,50.5,50.8,1.0
2023-02-01 16:50:00,50.5,50.8,49.2,49.2,0.0
2023-01-24 16:15:00,50.8,49.6,49.2,48.9,1.0
2023-01-02 16:50:00,49.2,48.9,48.3,48.3,0.0
2022-12-16 16:15:00,48.9,48.2,48.3,49.1,1.0
2022-12-01 16:50:00,48.3,49.1,47.2,47.2,0.0
2022-11-23 16:15:00,49.1,47.0,47.2,47.4,1.0
2022-11-02 16:50:00,47.2,47.4,47.7,47.7,0.0
2022-10-24 15:15:00,47.4,47.1,47.7,47.8,1.0
2022-10-03 15:50:00,47.7,47.8,47.8,50.6,0.0
2022-09-23 15:15:00,47.8,49.8,50.6,49.0,1.0
2022-09-01 15:50:00,50.6,49.0,49.5,49.5,0.0
2022-08-23 15:15:00,49.0,49.0,49.5,49.6,1.0
2022-08-01 15:50:00,49.5,49.6,49.6,51.4,0.0
2022-07-22 15:15:00,49.6,50.8,51.4,51.0,1.0
2022-07-01 15:50:00,51.4,51.0,54.6,54.6,0.0
2022-06-23 15:15:00,51.0,54.0,54.6,54.5,1.0
2022-06-01 15:50:00,54.6,54.5,55.7,55.7,0.0
2022-05-24 15:15:00,54.5,55.0,55.7,55.4,1.0
2022-05-02 15:50:00,55.7,55.4,54.7,54.7,0.0
2022-04-22 15:15:00,55.4,53.0,54.7,54.8,1.0
2022-04-01 15:50:00,54.7,54.8,54.8,57.2,0.0
2022-03-24 16:15:00,54.8,55.0,57.2,57.6,1.0
2022-03-01 16:50:00,57.2,57.6,55.5,55.5,0.0
2022-02-21 16:15:00,57.6,55.5,55.5,55.5,1.0
2022-02-01 16:50:00,55.5,55.5,55.6,55.6,0.0
2022-01-24 16:15:00,55.5,55.5,55.6,54.9,1.0
2022-01-03 16:50:00,55.6,54.9,55.9,55.9,0.0
2021-12-16 16:15:00,54.9,55.5,55.9,54.6,1.0
2021-12-01 16:50:00,55.9,54.6,54.6,53.6,0.0
2021-11-23 16:15:00,54.6,53.0,53.6,53.5,1.0
2021-11-02 16:50:00,53.6,53.5,55.0,55.0,0.0
2021-10-22 15:15:00,53.5,54.0,55.0,55.2,1.0
2021-10-01 15:50:00,55.0,55.2,57.5,57.5,0.0
2021-09-23 15:15:00,55.2,57.0,57.5,57.3,1.0
2021-09-01 15:50:00,57.5,57.3,58.0,58.0,0.0
2021-08-23 15:15:00,57.3,57.3,58.0,58.1,1.0
2021-08-02 15:50:00,58.0,58.1,59.0,59.0,0.0
2021-07-23 15:15:00,58.1,58.4,59.0,58.6,1.0
2021-07-01 15:50:00,59.0,58.6,59.4,59.4,0.0
2021-06-23 15:15:00,58.6,59.0,59.4,59.2,1.0
2021-06-01 15:50:00,59.4,59.2,59.2,58.9,0.0
2021-05-21 15:15:00,59.2,58.5,58.9,59.2,1.0
2021-05-03 15:50:00,58.9,59.2,59.2,59.3,0.0
2021-04-23 15:15:00,59.2,59.0,59.3,58.8,1.0
2021-04-01 15:50:00,59.3,58.8,56.1,56.1,0.0
2021-03-24 16:15:00,58.8,56.5,56.1,55.0,1.0
2021-03-01 16:50:00,56.1,55.0,51.6,51.6,0.0
2021-02-19 16:15:00,55.0,51.4,51.6,51.5,1.0
