datetime,FR_SPMI_MoM_Actual,FR_SPMI_MoM_Srv_Med,FR_SPMI_MoM_Revised,FR_SPMI_MoM_Prior,Is_P
2023-09-05 15:50:00,None,None,47.4,47.1,0.0
2023-08-23 15:15:00,None,47.3,47.1,47.4,1.0
2023-08-03 15:50:00,47.1,47.4,48.0,48.0,0.0
2023-07-24 15:15:00,47.4,48.4,48.0,48.0,1.0
2023-07-05 15:50:00,48.0,48.0,52.5,52.5,0.0
2023-06-23 15:15:00,48.0,52.0,52.5,52.8,1.0
2023-06-05 15:50:00,52.5,52.8,54.6,54.6,0.0
2023-05-23 15:15:00,52.8,54.2,54.6,56.3,1.0
2023-05-04 15:50:00,54.6,56.3,53.9,53.9,0.0
2023-04-21 15:15:00,56.3,53.4,53.9,55.5,1.0
2023-04-05 15:50:00,53.9,55.5,53.1,53.1,0.0
2023-03-24 16:15:00,55.5,52.5,53.1,52.8,1.0
2023-03-03 16:50:00,53.1,52.8,49.4,49.4,0.0
2023-02-21 16:15:00,52.8,49.9,49.4,49.2,1.0
2023-02-03 16:50:00,49.4,49.2,49.5,49.5,0.0
2023-01-24 16:15:00,49.2,49.8,49.5,48.1,1.0
2023-01-04 16:50:00,49.5,48.1,49.3,49.3,0.0
2022-12-16 16:15:00,48.1,49.1,49.3,49.4,1.0
2022-12-05 16:50:00,49.3,49.4,51.7,51.7,0.0
2022-11-23 16:15:00,49.4,50.6,51.7,51.3,1.0
2022-11-04 16:50:00,51.7,51.3,52.9,52.9,0.0
2022-10-24 15:15:00,51.3,51.5,52.9,53.0,1.0
2022-10-05 15:50:00,52.9,53.0,51.2,51.2,0.0
2022-09-23 15:15:00,53.0,50.5,51.2,51.0,1.0
2022-09-05 15:50:00,51.2,51.0,53.2,53.2,0.0
2022-08-23 15:15:00,51.0,53.0,53.2,52.1,1.0
2022-08-03 15:50:00,53.2,52.1,53.9,53.9,0.0
2022-07-22 15:15:00,52.1,52.7,53.9,54.4,1.0
2022-07-05 15:50:00,53.9,54.4,58.3,58.3,0.0
2022-06-23 15:15:00,54.4,57.6,58.3,58.4,1.0
2022-06-03 15:50:00,58.3,58.4,58.4,58.9,0.0
2022-05-24 15:15:00,58.4,58.6,58.9,58.8,1.0
2022-05-04 15:50:00,58.9,58.8,57.4,57.4,0.0
2022-04-22 15:15:00,58.8,56.5,57.4,57.4,1.0
2022-04-05 15:50:00,57.4,57.4,55.5,55.5,0.0
2022-03-24 16:15:00,57.4,55.0,55.5,57.9,1.0
2022-03-03 16:50:00,55.5,57.9,53.1,53.1,0.0
2022-02-21 16:15:00,57.9,53.6,53.1,53.1,1.0
2022-02-03 16:50:00,53.1,53.1,57.0,57.0,0.0
2022-01-24 16:15:00,53.1,55.3,57.0,57.1,1.0
2022-01-05 16:50:00,57.0,57.1,57.4,57.4,0.0
2021-12-16 16:15:00,57.1,56.0,57.4,58.2,1.0
2021-12-03 16:50:00,57.4,58.2,56.6,56.6,0.0
2021-11-23 16:15:00,58.2,56.0,56.6,56.6,1.0
2021-11-04 16:50:00,56.6,56.6,56.2,56.2,0.0
2021-10-22 15:15:00,56.6,55.5,56.2,56.0,1.0
2021-10-05 15:50:00,56.2,56.0,56.3,56.3,0.0
2021-09-23 15:15:00,56.0,56.0,56.3,56.4,1.0
2021-09-03 15:50:00,56.3,56.4,56.8,56.8,0.0
2021-08-23 15:15:00,56.4,57.0,56.8,57.0,1.0
2021-08-04 15:50:00,56.8,57.0,57.8,57.8,0.0
2021-07-23 15:15:00,57.0,58.7,57.8,57.4,1.0
2021-07-05 15:50:00,57.8,57.4,56.6,56.6,0.0
2021-06-23 15:15:00,57.4,59.4,56.6,56.6,1.0
2021-06-03 15:50:00,56.6,56.6,50.3,50.3,0.0
2021-05-21 15:15:00,56.6,53.0,50.3,50.4,1.0
2021-05-05 15:50:00,50.3,50.4,48.2,48.2,0.0
2021-04-23 15:15:00,50.4,46.5,48.2,47.8,1.0
2021-04-07 15:50:00,48.2,47.8,45.6,45.6,0.0
2021-03-24 16:15:00,47.8,45.5,45.6,43.6,1.0
2021-03-03 16:50:00,45.6,43.6,47.3,47.3,0.0
2021-02-19 16:15:00,43.6,47.0,47.3,46.5,1.0
2021-02-03 16:50:00,47.3,46.5,46.5,49.1,0.0
2021-01-22 16:15:00,46.5,48.5,49.1,49.2,1.0
2021-01-06 16:50:00,49.1,49.2,38.8,38.8,0.0
2020-12-16 16:15:00,49.2,40.0,38.8,38.0,1.0
2020-12-03 16:50:00,38.8,38.0,46.5,46.5,0.0
2020-11-23 16:15:00,38.0,37.7,46.5,46.5,1.0
2020-11-04 16:50:00,46.5,46.5,47.5,47.5,0.0
2020-10-23 15:15:00,46.5,46.8,47.5,47.5,1.0
2020-10-05 15:50:00,47.5,47.5,51.5,51.5,0.0
2020-09-23 15:15:00,47.5,51.5,51.5,51.9,1.0
2020-09-03 15:50:00,51.5,51.9,57.3,57.3,0.0
2020-08-21 15:15:00,51.9,56.3,57.3,57.8,1.0
2020-08-05 15:50:00,57.3,57.8,50.7,50.7,0.0
2020-07-24 15:15:00,57.8,52.3,50.7,50.3,1.0
2020-07-03 15:50:00,50.7,50.3,31.1,31.1,0.0
2020-06-23 15:15:00,50.3,44.2,31.1,29.4,1.0
2020-06-03 15:50:00,31.1,29.4,10.2,10.2,0.0
2020-05-21 15:15:00,29.4,27.8,10.2,10.4,1.0
2020-05-06 15:50:00,10.2,10.4,27.4,27.4,0.0
2020-04-23 15:15:00,10.4,25.0,27.4,29.0,1.0
2020-04-03 15:50:00,27.4,29.0,52.5,52.5,0.0
2020-03-24 16:15:00,29.0,42.0,52.5,52.6,1.0
2020-03-04 16:50:00,52.5,52.6,51.1,51.0,0.0
2020-02-21 16:15:00,52.6,51.3,51.0,51.7,1.0
2020-02-05 16:50:00,51.0,51.7,52.4,52.4,0.0
2020-01-24 16:15:00,51.7,52.2,52.4,52.4,1.0
2020-01-06 16:50:00,52.4,52.4,52.2,52.2,0.0
2019-12-16 16:15:00,52.4,52.1,52.2,52.9,1.0
2019-12-04 16:50:00,52.2,52.9,52.9,52.9,0.0
2019-11-22 16:15:00,52.9,53.0,52.9,52.9,1.0
2019-11-06 16:50:00,52.9,52.9,51.1,51.1,0.0
2019-10-24 15:15:00,52.9,51.6,51.1,51.6,1.0
2019-10-03 15:50:00,51.1,51.6,53.4,53.4,0.0
2019-09-23 15:15:00,51.6,53.2,53.4,53.3,1.0
2019-09-04 15:50:00,53.4,53.3,53.3,52.6,0.0
2019-08-22 15:15:00,53.3,52.5,52.6,52.2,1.0
2019-08-05 15:50:00,52.6,52.2,52.2,52.9,0.0
2019-07-24 15:15:00,52.2,52.7,52.9,53.1,1.0
2019-07-03 15:50:00,52.9,53.1,53.1,51.5,0.0
2019-06-21 15:15:00,53.1,51.6,51.5,51.7,1.0
2019-06-05 15:50:00,51.5,51.7,51.7,50.5,0.0
2019-05-23 15:15:00,51.7,50.8,50.5,50.5,1.0
2019-05-06 15:50:00,50.5,50.5,50.5,49.1,0.0
2019-04-18 15:15:00,50.5,49.8,49.1,48.7,1.0
2019-04-03 15:50:00,49.1,48.7,48.7,50.2,0.0
2019-03-22 16:15:00,48.7,50.6,50.2,49.8,1.0
2019-03-05 16:50:00,50.2,49.8,49.8,47.8,0.0
2019-02-21 16:15:00,49.8,49.1,47.8,47.5,1.0
2019-02-05 16:50:00,47.8,47.5,47.5,49.0,0.0
2019-01-24 16:15:00,47.5,50.6,49.0,49.6,1.0
2019-01-04 16:50:00,49.0,49.6,49.6,55.1,0.0
2014-06-04 15:50:00,49.1,49.2,49.2,50.4,0.0
2018-12-14 16:15:00,49.6,54.8,55.1,55.0,1.0
2018-12-05 16:50:00,55.1,55.0,55.0,55.3,0.0
2014-05-22 15:00:00,49.2,50.2,50.4,50.3,1.0
2018-11-23 16:15:00,55.0,54.9,55.3,55.6,1.0
2014-05-06 15:50:00,50.4,50.3,50.3,51.5,0.0
2018-11-06 16:50:00,55.3,55.6,55.6,54.8,0.0
2014-04-23 15:00:00,50.3,51.4,51.5,51.4,1.0
2018-10-24 15:15:00,55.6,54.7,54.8,54.3,1.0
2014-04-03 15:50:00,51.5,51.4,51.4,47.2,0.0
2018-10-03 15:50:00,54.8,54.3,54.3,55.4,0.0
2014-03-24 16:00:00,51.4,47.5,47.2,46.9,1.0
2014-03-05 16:48:00,47.2,46.9,46.9,48.9,0.0
2018-09-21 15:15:00,54.3,55.2,55.4,55.7,1.0
2014-02-20 15:58:00,46.9,49.4,48.9,48.6,1.0
2018-09-05 15:50:00,55.4,55.7,55.7,54.9,0.0
2014-02-05 16:48:00,48.9,48.6,48.6,47.8,0.0
2018-08-23 15:15:00,55.7,55.1,54.9,55.3,1.0
2018-08-03 15:50:00,54.9,55.3,55.3,55.9,0.0
2014-01-23 15:58:00,48.6,48.1,47.8,47.4,1.0
2018-07-24 15:00:00,55.3,55.7,55.9,56.4,1.0
2014-01-06 16:48:00,47.8,47.4,47.4,55.1,0.0
2013-12-16 15:58:00,47.4,49.0,48.0,55.0,1.0
2018-07-04 15:50:00,55.9,56.4,56.4,54.3,0.0
2018-06-22 15:00:00,56.4,54.3,54.3,54.3,1.0
2018-06-05 15:50:00,54.3,54.3,54.3,57.4,0.0
2018-05-23 15:00:00,54.3,57.1,57.4,57.4,1.0
2018-05-04 15:50:00,57.4,57.4,57.4,56.9,0.0
2018-04-23 15:00:00,57.4,56.6,56.9,56.8,1.0
2018-04-05 15:50:00,56.9,56.8,56.8,57.4,0.0
2018-03-22 16:00:00,56.8,57.0,57.4,57.9,1.0
2018-03-05 16:50:00,57.4,57.9,57.9,59.2,0.0
2018-02-21 16:00:00,57.9,59.1,59.2,59.3,1.0
2018-02-05 16:50:00,59.2,59.3,59.3,59.1,0.0
2018-01-24 16:00:00,59.3,58.9,59.1,59.4,1.0
2018-01-04 16:50:00,59.1,59.4,59.4,60.4,0.0
2017-12-14 16:00:00,59.4,59.9,60.4,60.2,1.0
2017-12-05 16:50:00,60.4,60.2,60.2,57.3,0.0
2017-11-23 16:00:00,60.2,57.0,57.3,57.4,1.0
2017-11-06 16:50:00,57.3,57.4,57.4,57.0,0.0
2017-10-24 15:00:00,57.4,56.9,57.0,57.1,1.0
2017-10-04 15:50:00,57.0,57.1,57.1,54.9,0.0
2017-09-22 15:00:00,57.1,54.8,54.9,55.5,1.0
2017-09-05 15:50:00,54.9,55.5,55.5,56.0,0.0
2017-08-23 15:00:00,55.5,55.8,56.0,55.9,1.0
2017-08-03 15:50:00,56.0,55.9,55.9,56.9,0.0
2017-07-24 15:00:00,55.9,56.7,56.9,55.3,1.0
2017-07-05 15:50:00,56.9,55.3,55.3,57.2,0.0
2017-06-23 15:00:00,55.3,57.0,57.2,58.0,1.0
2017-06-05 15:50:00,57.2,58.0,58.0,56.7,0.0
2017-05-23 15:00:00,58.0,56.5,56.7,57.7,1.0
2017-05-04 15:50:00,56.7,57.7,57.7,57.5,0.0
2017-04-21 15:00:00,57.7,57.1,57.5,58.5,1.0
2017-04-05 15:50:00,57.5,58.5,58.5,56.4,0.0
2017-03-24 16:00:00,58.5,56.1,56.4,56.7,1.0
2017-03-03 16:50:00,56.4,56.7,56.7,54.1,0.0
2017-02-21 16:00:00,56.7,53.8,54.1,53.9,1.0
2017-02-03 16:50:00,54.1,53.9,53.9,52.9,0.0
2017-01-24 16:00:00,53.9,53.2,52.9,52.6,1.0
2017-01-04 16:50:00,52.9,52.6,52.6,51.6,0.0
2016-12-15 16:00:00,52.6,52.0,51.6,52.6,1.0
2016-12-05 16:50:00,51.6,52.6,52.6,51.4,0.0
2016-11-23 16:00:00,52.6,51.9,51.4,52.1,1.0
2016-11-04 16:50:00,51.4,52.1,52.1,53.3,0.0
2016-10-24 15:00:00,52.1,53.0,53.3,54.1,1.0
2016-10-05 15:50:00,53.3,54.1,54.1,52.3,0.0
2016-09-23 15:00:00,54.1,52.0,52.3,52.0,1.0
2016-09-05 15:50:00,52.3,52.0,52.0,50.5,0.0
2016-08-23 15:00:00,52.0,50.5,50.5,50.3,1.0
2016-08-03 15:50:00,50.5,50.3,50.3,49.9,0.0
2016-07-22 15:00:00,50.3,49.5,49.9,49.9,1.0
2016-07-05 15:50:00,49.9,49.9,49.9,51.6,0.0
2016-06-23 15:00:00,49.9,51.7,51.6,51.8,1.0
2016-06-03 15:50:00,51.6,51.8,51.8,50.6,0.0
2016-05-23 15:00:00,51.8,50.6,50.6,50.8,1.0
2016-05-04 15:50:00,50.6,50.8,50.8,49.9,0.0
2016-04-22 15:00:00,50.8,50.2,49.9,51.2,1.0
2016-04-05 15:50:00,49.9,51.2,51.2,49.2,0.0
2016-03-22 16:00:00,51.2,49.5,49.2,49.8,1.0
2016-03-03 16:50:00,49.2,49.8,49.8,50.3,0.0
2016-02-22 16:00:00,49.8,50.3,50.3,50.6,1.0
2016-02-03 16:50:00,50.3,50.6,50.6,49.8,0.0
2016-01-22 16:00:00,50.6,50.2,49.8,50.0,1.0
2016-01-06 16:50:00,49.8,50.0,50.0,51.0,0.0
2015-12-16 16:00:00,50.0,50.8,51.0,51.3,1.0
2015-12-03 16:50:00,51.0,51.3,51.3,52.7,0.0
2015-11-23 16:00:00,51.3,52.6,52.7,52.3,1.0
2015-11-04 16:50:00,52.7,52.3,52.3,51.9,0.0
2015-10-23 15:00:00,52.3,51.6,51.9,51.2,1.0
2015-10-05 15:50:00,51.9,51.2,51.2,50.6,0.0
2015-09-23 15:00:00,51.2,51.0,50.6,51.8,1.0
2015-09-03 15:50:00,50.6,51.8,51.8,52.0,0.0
2015-08-21 15:00:00,51.8,52.0,52.0,52.0,1.0
2015-08-05 15:50:00,52.0,52.0,52.0,54.1,0.0
2015-07-24 15:00:00,52.0,53.8,54.1,54.1,1.0
2015-07-03 15:50:00,54.1,54.1,54.1,52.8,0.0
2015-06-23 15:00:00,54.1,52.6,52.8,51.6,1.0
2015-06-03 15:50:00,52.8,51.6,51.6,51.4,0.0
2015-05-21 15:00:00,51.6,51.9,51.4,50.8,1.0
