datetime,GE_GDP_QoQ_Actual,GE_GDP_QoQ_Srv_Med,GE_GDP_QoQ_Revised,GE_GDP_QoQ_Prior,Is_P
2023-08-25 14:00:00,None,0.0,-0.1,-0.3,0.0
2023-07-28 16:00:00,0.0,0.1,-0.1,-0.1,1.0
2023-05-25 14:00:00,-0.3,-0.1,-0.4,-0.4,0.0
2023-04-28 16:00:00,-0.1,0.3,0.8,-0.2,1.0
2023-02-24 15:00:00,-0.4,-0.2,-0.2,0.4,0.0
2023-01-30 17:00:00,-0.2,0.0,0.5,0.3,1.0
2022-11-25 15:00:00,0.4,0.3,0.1,0.1,0.0
2022-10-28 16:00:00,0.3,-0.2,0.1,0.0,1.0
2022-08-25 14:00:00,0.1,0.0,0.2,0.2,0.0
2022-07-29 16:00:00,0.0,0.1,0.8,0.2,1.0
2022-05-25 14:00:00,0.2,0.2,-0.3,-0.3,0.0
2022-04-29 16:00:00,0.2,0.1,-0.3,-0.7,1.0
2022-02-25 15:00:00,-0.3,-0.7,1.7,1.7,0.0
2022-01-28 17:00:00,-0.7,-0.3,1.7,1.8,1.0
2021-11-25 15:00:00,1.7,1.8,2.0,1.6,0.0
2021-10-29 16:00:00,1.8,2.2,1.9,1.5,1.0
2021-08-24 14:00:00,1.6,1.5,-1.8,-1.8,0.0
2021-07-30 14:00:00,1.5,2.0,-2.1,-1.7,1.0
2021-05-25 14:00:00,-1.8,-1.7,0.3,0.3,0.0
2021-04-30 16:00:00,-1.7,-1.5,0.5,0.1,1.0
2021-02-24 15:00:00,0.3,0.1,8.5,8.5,0.0
2021-01-29 17:00:00,0.1,None,8.5,8.2,1.0
2020-11-24 15:00:00,8.5,8.2,-9.7,-9.7,0.0
2020-10-30 17:00:00,8.2,7.3,-9.8,-10.1,1.0
2020-08-25 14:00:00,-9.7,-10.1,-2.0,-2.2,0.0
2020-07-30 16:00:00,-10.1,-9.0,-2.0,-2.2,1.0
2020-05-25 14:00:00,-2.2,-2.2,-0.1,0.0,0.0
2020-05-15 16:00:00,-2.2,-2.2,-0.1,0.0,1.0
2020-02-25 15:00:00,0.0,0.1,0.1,0.1,0.0
2020-02-14 15:00:00,0.0,0.1,0.2,0.1,1.0
2019-11-22 15:00:00,0.1,0.1,-0.2,-0.1,0.0
2019-11-14 15:00:00,0.1,-0.1,-0.2,-0.1,1.0
2019-08-27 14:00:00,-0.1,-0.1,0.4,0.4,0.0
2019-08-14 14:00:00,-0.1,-0.1,0.4,0.4,1.0
2019-05-23 14:00:00,0.4,0.4,0.4,0.0,0.0
2019-05-15 14:00:00,0.4,0.4,0.0,0.0,1.0
2019-02-22 15:00:00,0.0,0.0,0.0,-0.2,0.0
2019-02-14 15:00:00,0.0,0.1,-0.2,-0.2,1.0
2018-11-23 15:00:00,-0.2,-0.2,-0.2,0.5,0.0
2018-11-14 15:00:00,-0.2,-0.3,0.5,0.5,1.0
2018-08-24 14:00:00,0.5,0.5,0.5,0.3,0.0
2018-08-14 14:00:00,0.5,0.4,0.4,0.3,1.0
2018-05-24 14:00:00,0.3,0.3,0.3,0.6,0.0
2018-05-15 14:00:00,0.3,0.4,0.6,0.6,1.0
2018-02-23 15:00:00,0.6,0.6,0.8,0.8,0.0
