datetime,GE_SPMI_MoM_Actual,GE_SPMI_MoM_Srv_Med,GE_SPMI_MoM_Revised,GE_SPMI_MoM_Prior,Is_P
2023-09-05 15:55:00,None,None,52.0,52.3,0
2023-08-23 15:30:00,None,51.5,52.3,52.0,1
2023-08-03 15:55:00,52.3,52.0,54.1,54.1,0
2023-07-24 15:30:00,52.0,53.1,54.1,54.1,1
2023-07-05 15:55:00,54.1,54.1,57.2,57.2,0
2023-06-23 15:30:00,54.1,56.2,57.2,57.8,1
2023-06-05 15:55:00,57.2,57.8,56.0,56.0,0
2023-05-23 15:30:00,57.8,55.5,56.0,55.7,1
2023-05-04 15:55:00,56.0,55.7,53.7,53.7,0
2023-04-21 15:30:00,55.7,53.3,53.7,53.9,1
2023-04-05 15:55:00,53.7,53.9,50.9,50.9,0
2023-03-24 16:30:00,53.9,51.0,50.9,51.3,1
2023-03-03 16:55:00,50.9,51.3,50.7,50.7,0
2023-02-21 16:30:00,51.3,51.0,50.7,50.4,1
2023-02-03 16:55:00,50.7,50.4,49.2,49.2,0
2023-01-24 16:30:00,50.4,49.6,49.2,49.0,1
2023-01-04 16:55:00,49.2,49.0,46.1,46.1,0
2022-12-16 16:30:00,49.0,46.3,46.1,46.4,1
2022-12-05 16:55:00,46.1,46.4,46.5,46.5,0
2022-11-23 16:30:00,46.4,46.2,46.5,44.9,1
2022-11-04 16:55:00,46.5,44.9,45.0,45.0,0
2022-10-24 15:30:00,44.9,44.7,45.0,45.4,1
2022-10-05 15:55:00,45.0,45.4,47.7,47.7,0
2022-09-23 15:30:00,45.4,47.2,47.7,48.2,1
2022-09-05 15:55:00,47.7,48.2,49.7,49.7,0
2022-08-23 15:30:00,48.2,49.0,49.7,49.2,1
2022-08-03 15:55:00,49.7,49.2,52.4,52.4,0
2022-07-22 15:30:00,49.2,51.2,52.4,52.4,1
2022-07-05 15:55:00,52.4,52.4,55.0,55.0,0
2022-06-23 15:30:00,52.4,54.5,55.0,56.3,1
2022-06-03 15:55:00,55.0,56.3,56.3,57.6,0
2022-05-24 15:30:00,56.3,57.2,57.6,57.9,1
2022-05-04 15:55:00,57.6,57.9,56.1,56.1,0
2022-04-22 15:30:00,57.9,55.5,56.1,55.0,1
2022-04-05 15:55:00,56.1,55.0,55.8,55.8,0
2022-03-24 16:30:00,55.0,53.8,55.8,56.6,1
2022-03-03 16:55:00,55.8,56.6,52.2,52.2,0
2022-02-21 16:30:00,56.6,53.0,52.2,52.2,1
2022-02-03 16:55:00,52.2,52.2,48.7,48.7,0
2022-01-24 16:30:00,52.2,48.0,48.7,48.4,1
2022-01-05 16:55:00,48.7,48.4,52.7,52.7,0
2021-12-16 16:30:00,48.4,51.0,52.7,53.4,1
2021-12-03 16:55:00,52.7,53.4,52.4,52.4,0
2021-11-23 16:30:00,53.4,51.5,52.4,52.4,1
2021-11-04 16:55:00,52.4,52.4,56.2,56.2,0
2021-10-22 15:30:00,52.4,55.0,56.2,56.0,1
2021-10-05 15:55:00,56.2,56.0,60.8,60.8,0
2021-09-23 15:30:00,56.0,60.2,60.8,61.5,1
2021-09-03 15:55:00,60.8,61.5,61.8,61.8,0
2021-08-23 15:30:00,61.5,61.0,61.8,62.2,1
2021-08-04 15:55:00,61.8,62.2,57.5,57.5,0
2021-07-23 15:30:00,62.2,59.1,57.5,58.1,1
2021-07-05 15:55:00,57.5,58.1,52.8,52.8,0
2021-06-23 15:30:00,58.1,55.5,52.8,52.8,1
2021-06-03 15:55:00,52.8,52.8,52.8,49.9,0
2021-05-21 15:30:00,52.8,52.0,49.9,50.1,1
2021-05-05 15:55:00,49.9,50.1,51.5,51.5,0
2021-04-23 15:30:00,50.1,50.8,51.5,50.8,1
2021-04-07 15:55:00,51.5,50.8,45.7,45.7,0
2021-03-24 16:30:00,50.8,46.2,45.7,45.9,1
2021-03-03 16:55:00,45.7,45.9,46.7,46.7,0
2021-02-19 16:30:00,45.9,46.5,46.7,46.8,1
2021-02-03 16:55:00,46.7,46.8,46.8,47.0,0
2021-01-22 16:30:00,46.8,45.3,47.0,47.7,1
2021-01-06 16:55:00,47.0,47.7,46.0,46.0,0
2020-12-16 16:30:00,47.7,44.0,46.0,46.2,1
2020-12-03 16:55:00,46.0,46.2,49.5,49.5,0
2020-11-23 16:30:00,46.2,46.3,49.5,48.9,1
2020-11-04 16:55:00,49.5,48.9,50.6,50.6,0
2020-10-23 15:30:00,48.9,49.2,50.6,49.1,1
2020-10-05 15:55:00,50.6,49.1,52.5,52.5,0
2020-09-23 15:30:00,49.1,53.0,52.5,50.8,1
2020-09-03 15:55:00,52.5,50.8,55.6,55.6,0
2020-08-21 15:30:00,50.8,55.1,55.6,56.7,1
2020-08-05 15:55:00,55.6,56.7,47.3,47.3,0
2020-07-24 15:30:00,56.7,50.5,47.3,45.8,1
2020-07-03 15:55:00,47.3,45.8,32.6,32.6,0
2020-06-23 15:30:00,45.8,42.0,32.6,31.4,1
2020-06-03 15:55:00,32.6,31.4,16.2,16.2,0
2020-05-21 15:30:00,31.4,26.6,16.2,15.9,1
2020-05-06 15:55:00,16.2,15.9,31.7,31.7,0
2020-04-23 15:30:00,15.9,28.5,31.7,34.5,1
2020-04-03 15:55:00,31.7,34.3,52.5,52.5,0
2020-03-24 16:30:00,34.5,42.3,52.5,53.3,1
2020-03-04 16:55:00,52.5,53.3,54.2,54.2,0
2020-02-21 16:30:00,53.3,53.8,54.2,54.2,1
2020-02-05 16:55:00,54.2,54.2,52.9,52.9,0
2020-01-24 16:30:00,54.2,53.0,52.9,52.0,1
2020-01-06 16:55:00,52.9,52.0,51.7,51.7,0
2019-12-16 16:30:00,52.0,52.0,51.7,51.3,1
2019-12-04 16:55:00,51.7,51.3,51.6,51.6,0
2019-11-22 16:30:00,51.3,52.0,51.6,51.2,1
2019-11-06 16:55:00,51.6,51.2,51.4,51.4,0
2019-10-24 15:30:00,51.2,52.0,51.4,52.5,1
2019-10-03 15:55:00,51.4,52.5,54.8,54.8,0
2019-09-23 15:30:00,52.5,54.3,54.8,54.4,1
2019-09-04 15:55:00,54.8,54.4,54.4,54.5,0
2019-08-22 15:30:00,54.4,54.1,54.5,55.4,1
2019-08-05 15:55:00,54.5,55.4,55.4,55.8,0
2019-07-24 15:30:00,55.4,55.3,55.8,55.6,1
2019-07-03 15:55:00,55.8,55.6,55.6,55.4,0
2019-06-21 15:30:00,55.6,55.3,55.4,55.0,1
2019-06-05 15:55:00,55.4,55.0,55.0,55.7,0
2019-05-23 15:30:00,55.0,55.5,55.7,55.6,1
2019-05-06 15:55:00,55.7,55.6,55.6,55.4,0
2019-04-18 15:30:00,55.6,55.1,55.4,54.9,1
2019-04-03 15:55:00,55.4,54.9,54.9,55.3,0
2019-03-22 16:30:00,54.9,54.8,55.3,55.1,1
2019-03-05 16:55:00,55.3,55.1,55.1,53.0,0
2019-02-21 16:30:00,55.1,52.8,53.0,53.1,1
2019-02-05 16:55:00,53.0,53.1,53.1,51.8,0
2019-01-24 16:30:00,53.1,52.2,51.8,52.5,1
2019-01-04 16:55:00,51.8,52.5,52.5,53.3,0
2008-03-05 16:55:00,52.2,49.8,49.2,55.9,0
2018-12-14 16:30:00,52.5,53.4,53.3,53.3,1
2018-12-05 16:55:00,53.3,53.3,53.3,54.7,0
2018-11-23 16:30:00,53.3,54.6,54.7,53.6,1
2018-11-06 16:55:00,54.7,53.6,53.6,55.9,0
2018-10-24 15:30:00,53.6,55.5,55.9,56.5,1
2018-10-03 15:55:00,55.9,56.5,56.5,55.0,0
