datetime,GE_UEC_MoM_Actual,GE_UEC_MoM_Srv_Med,GE_UEC_MoM_Revised,GE_UEC_MoM_Prior
2023-08-31 15:55:00,None,None,-4,-4
2023-08-01 15:55:00,-4,20,30,28
2023-06-30 15:55:00,28,13,13,9
2023-05-31 15:55:00,9,14,23,24
2023-04-28 15:55:00,24,10,16,16
2023-03-31 15:55:00,16,3,2,2
2023-03-01 16:55:00,2,9,-15,-15
2023-01-31 16:55:00,-15,5,-13,-13
2023-01-03 16:55:00,-13,15,15,17
2022-11-30 16:55:00,17,13,9,8
2022-11-02 16:55:00,8,15,13,14
2022-09-30 15:55:00,14,20,26,28
2022-08-31 15:55:00,28,28,45,48
2022-07-29 15:55:00,48,15,132,133
2022-06-30 15:55:00,133,-6,-4,-4
2022-05-31 15:55:00,-4,-16,-13,-13
2022-05-03 15:55:00,-13,-15,-18,-18
2022-03-31 15:55:00,-18,-20,-32,-33
2022-03-02 16:55:00,-33,-23,-48,-48
2022-02-01 16:55:00,-48,-6,-29,-23
2022-01-04 16:55:00,-23,-15,-34,-34
2021-11-30 16:55:00,-34,-25,-39,-39
2021-10-28 15:55:00,-39,-20,-30,-30
2021-09-30 15:55:00,-30,-33,-53,-53
2021-08-31 15:55:00,-53,-40,-90,-91
2021-07-29 15:55:00,-91,-28,-38,-38
2021-06-30 15:55:00,-38,-20,-19,-15
2021-06-01 15:55:00,-15,-9,8,9
2021-04-29 15:55:00,9,-10,-6,-8
2021-03-31 16:55:00,-8,-13,9,9
2021-03-02 16:55:00,9,-13,-37,-41
2021-01-29 16:55:00,-41,6,-40,-37
2021-01-05 16:55:00,-37,10,-40,-39
2020-12-01 16:55:00,-39,8,-38,-35
2020-10-29 16:55:00,-35,-5,-10,-8
2020-09-30 15:55:00,-8,-8,-9,-9
2020-09-01 15:55:00,-9,1,-17,-18
2020-07-30 15:55:00,-18,43,68,69
2020-07-01 15:55:00,69,120,238,238
2020-06-03 15:55:00,238,200,372,373
2020-04-30 15:55:00,373,76,1,1
2020-03-31 15:55:00,1,29,-8,-10
2020-02-28 16:55:00,-10,3,-4,-2
2020-01-30 16:55:00,-2,5,8,8
2020-01-03 16:55:00,8,2,-16,-16
2019-11-29 16:55:00,-16,5,5,6
2019-10-30 16:55:00,6,2,-10,-10
2019-09-30 15:55:00,-10,5,2,4
2019-08-29 15:55:00,4,4,1,1
2019-07-31 15:55:00,1,2,-1,-1
2019-07-01 15:55:00,-1,-3,60,60
2019-05-29 15:55:00,60,-8,-12,-12
2019-04-30 15:55:00,-12,-6,-7,-7
2019-03-29 16:55:00,-7,-10,-20,-21
2019-03-01 16:55:00,-21,-5,-4,-2
2019-01-31 16:55:00,-2,-11,-14,-14
2019-01-04 16:55:00,-14,-12,-16,-16
2018-11-29 16:55:00,-16,-10,-12,-11
2018-10-30 16:55:00,-11,-12,-23,-23
2018-09-28 15:55:00,-23,-9,-10,-8
2018-08-30 15:55:00,-8,-8,-6,-6
2018-07-31 15:55:00,-6,-10,-14,-15
2018-06-29 15:55:00,-15,-8,-11,-11
2018-05-30 15:55:00,-11,-10,-8,-7
2018-04-27 15:55:00,-7,-15,-18,-19
2018-03-29 15:55:00,-19,-15,-23,-22
2018-02-28 16:55:00,-22,-15,-25,-25
2018-01-31 16:55:00,-25,-17,-30,-29
2018-01-03 17:00:00,-29,-12,-20,-18
2017-11-30 16:55:00,-18,-10,-12,-11
2017-11-02 16:55:00,-11,-10,-22,-23
2017-09-29 15:55:00,-23,-5,-6,-5
2017-08-31 15:55:00,-5,-6,-9,-9
2017-08-01 15:55:00,-9,-5,6,7
2017-06-30 15:55:00,7,-10,-7,-9
2017-05-31 16:00:00,-9,-15,-15,-15
2017-05-03 15:55:00,-15,-12,-29,-30
2017-03-31 16:00:00,-30,-10,-17,-14
2017-03-01 16:55:00,-14,-10,-26,-26
2017-01-31 16:55:00,-26,-5,-20,-17
2017-01-03 16:55:00,-17,-5,-6,-5
2016-11-30 16:55:00,-5,-5,-13,-13
2016-11-02 16:55:00,-13,-1,1,1
