datetime,GE_UER_MoM_Actual,GE_UER_MoM_Srv_Med,GE_UER_MoM_Revised,GE_UER_MoM_Prior
2023-08-31 15:55:00,None,None,5.6,5.6
2023-08-01 15:55:00,5.6,5.7,5.7,5.7
2023-06-30 15:55:00,5.7,5.6,5.6,5.6
2023-05-31 15:55:00,5.6,5.6,5.6,5.6
2023-04-28 15:55:00,5.6,5.6,5.6,5.6
2023-03-31 15:55:00,5.6,5.5,5.5,5.5
2023-03-01 16:55:00,5.5,5.5,5.5,5.5
2023-01-31 16:55:00,5.5,5.5,5.5,5.5
2023-01-03 16:55:00,5.5,5.6,5.6,5.6
2022-11-30 16:55:00,5.6,5.5,5.5,5.5
2022-11-02 16:55:00,5.5,5.5,5.5,5.5
2022-09-30 15:55:00,5.5,5.5,5.5,5.5
2022-08-31 15:55:00,5.5,5.5,5.4,5.4
2022-07-29 15:55:00,5.4,5.4,5.3,5.3
2022-06-30 15:55:00,5.3,5.0,5.0,5.0
2022-05-31 15:55:00,5.0,5.0,5.0,5.0
2022-05-03 15:55:00,5.0,5.0,5.0,5.0
2022-03-31 15:55:00,5.0,5.0,5.0,5.0
2022-03-02 16:55:00,5.0,5.1,5.1,5.1
2022-02-01 16:55:00,5.1,5.2,5.2,5.2
2022-01-04 16:55:00,5.2,5.3,5.3,5.3
2021-11-30 16:55:00,5.3,5.3,5.4,5.4
2021-10-28 15:55:00,5.4,5.4,5.5,5.5
2021-09-30 15:55:00,5.5,5.4,5.5,5.5
2021-08-31 15:55:00,5.5,5.6,5.6,5.7
2021-07-29 15:55:00,5.7,5.8,5.9,5.9
2021-06-30 15:55:00,5.9,5.9,5.9,6.0
2021-06-01 15:55:00,6.0,6.0,6.0,6.0
2021-04-29 15:55:00,6.0,6.0,6.0,6.0
2021-03-31 15:55:00,6.0,6.0,6.0,6.0
2021-03-02 16:55:00,6.0,6.0,6.0,6.0
2021-01-29 16:55:00,6.0,6.1,6.0,6.1
2021-01-05 16:55:00,6.1,6.1,6.1,6.1
2020-12-01 16:55:00,6.1,6.3,6.2,6.2
2020-10-29 16:55:00,6.2,6.3,6.3,6.3
2020-09-30 15:55:00,6.3,6.4,6.4,6.4
