datetime,JP_ARC_YoY_Actual,JP_ARC_YoY_Srv_Med,JP_ARC_YoY_Revised,JP_ARC_YoY_Prior
2023-09-05 07:30:00,None,None,-4.2,-4.2
2023-08-08 07:30:00,-4.2,-4.1,-4.0,-4.0
2023-07-07 07:30:00,-4.0,-2.4,-4.4,-4.4
2023-06-06 07:30:00,-4.4,-2.3,-1.9,-1.9
2023-05-09 07:30:00,-1.9,0.4,1.6,1.6
2023-04-07 07:30:00,1.6,4.3,-0.3,-0.3
2023-03-10 07:30:00,-0.3,-0.1,-1.3,-1.3
2023-02-07 07:30:00,-1.3,-0.2,-1.2,-1.2
2023-01-10 07:30:00,-1.2,0.5,1.2,1.2
2022-12-06 07:30:00,1.2,1.0,2.3,2.3
2022-11-08 07:30:00,2.3,2.7,5.1,5.1
2022-10-07 07:30:00,5.1,6.7,3.4,3.4
2022-09-06 07:30:00,3.4,4.2,3.5,3.5
2022-08-05 07:30:00,3.5,1.5,-0.5,-0.5
2022-07-08 07:30:00,-0.5,2.1,-1.7,-1.7
2022-06-07 07:30:00,-1.7,-0.8,-2.3,-2.3
2022-05-10 07:30:00,-2.3,-2.8,1.1,1.1
2022-04-05 07:30:00,1.1,2.7,6.9,6.9
2022-03-11 07:30:00,6.9,3.6,-0.2,-0.2
2022-02-08 07:30:00,-0.2,0.3,-1.3,-1.3
2022-01-07 07:30:00,-1.3,1.6,-0.6,-0.6
2021-12-07 07:30:00,-0.6,-0.6,-1.9,-1.9
2021-11-05 07:30:00,-1.9,-3.9,-3.0,-3.0
2021-10-08 07:30:00,-3.0,-1.5,0.7,0.7
2021-09-07 07:30:00,0.7,2.9,-5.1,-5.1
2021-08-06 07:30:00,-5.1,0.1,11.6,11.6
2021-07-06 07:30:00,11.6,10.9,13.0,13.0
2021-06-04 07:30:00,13.0,9.3,6.2,6.2
2021-05-11 07:30:00,6.2,1.5,-6.6,-6.6
2021-04-06 07:30:00,-6.6,-5.3,-6.1,-6.1
2021-03-09 07:30:00,-6.1,-2.1,-0.6,-0.6
2021-02-05 07:30:00,-0.6,-2.4,1.1,1.1
2021-01-08 07:30:00,1.1,-1.5,1.9,1.9
2020-12-08 07:30:00,1.9,2.5,-10.2,-10.2
2020-11-06 07:30:00,-10.2,-10.7,-6.9,-6.9
2020-10-09 07:30:00,-6.9,-6.9,-7.6,-7.6
2020-09-08 07:30:00,-7.6,-3.7,-1.2,-1.2
2020-08-07 07:30:00,-1.2,-7.5,-16.2,-16.2
2020-07-07 07:30:00,-16.2,-12.2,-11.1,-11.1
2020-06-05 07:30:00,-11.1,-15.4,-6.0,-6.0
2020-05-08 07:30:00,-6.0,-6.7,-0.3,-0.3
2020-04-07 07:30:00,-0.3,-3.9,-3.9,-3.9
2020-03-06 07:30:00,-3.9,-4.0,-4.8,-4.8
2020-02-07 07:30:00,-4.8,-1.7,-2.0,-2.0
2020-01-10 07:30:00,-2.0,2.5,-5.1,-5.1
2019-12-06 07:30:00,-5.1,-3.0,9.5,9.5
2019-11-08 07:30:00,9.5,7.8,1.0,1.0
2019-10-08 07:30:00,1.0,1.2,0.8,0.8
2019-09-06 07:30:00,0.8,0.9,2.7,2.7
2019-08-06 07:30:00,2.7,1.3,4.0,4.0
2019-07-05 07:30:00,4.0,1.4,1.3,1.3
2019-06-07 07:30:00,1.3,2.6,2.1,2.1
2019-05-10 07:30:00,2.1,1.7,1.7,1.7
2019-04-05 07:30:00,1.7,1.9,2.0,2.0
2019-03-08 07:30:00,2.0,-0.5,0.1,None
2019-03-06 07:00:00,None,-0.4,0.1,0.1
2019-02-08 07:30:00,0.1,0.8,-0.6,-0.6
2019-01-11 07:30:00,-0.6,0.0,-0.3,-0.3
2018-12-07 07:30:00,-0.3,1.2,-1.6,-1.6
2018-11-06 07:30:00,-1.6,1.6,2.8,2.8
2018-10-05 07:30:00,2.8,0.0,0.1,0.1
2018-09-07 07:30:00,0.1,-0.8,-1.2,-1.2
2018-08-07 07:30:00,-1.2,-1.2,-3.9,-3.9
2018-07-06 07:30:00,-3.9,-1.5,-1.3,-1.3
2018-06-05 07:30:00,-1.3,0.8,-0.7,-0.2
2018-05-08 07:30:00,-0.2,1.2,0.1,-0.9
2018-04-06 07:30:00,-0.9,0.3,2.0,1.9
2018-03-09 07:30:00,1.9,-1.1,-0.1,-0.1
2018-01-30 07:30:00,-0.1,1.6,1.7,1.7
2017-12-26 07:30:00,1.7,0.6,-0.3,0.0
2017-12-01 07:30:00,0.0,-0.4,-0.3,-0.3
2017-10-31 07:30:00,-0.3,0.7,0.6,0.6
2017-09-29 07:30:00,0.6,1.0,-0.2,-0.2
2017-08-29 07:30:00,-0.2,0.7,2.3,2.3
2017-07-28 07:30:00,2.3,0.6,-0.1,-0.1
2017-06-30 07:30:00,-0.1,-0.6,-1.4,-1.4
2017-05-30 07:30:00,-1.4,-0.7,-1.3,-1.3
2017-04-28 07:30:00,-1.3,-0.3,-3.8,-3.8
2017-03-31 07:30:00,-3.8,-1.7,-1.2,-1.2
2017-03-03 07:30:00,-1.2,-0.4,-0.3,-0.3
2017-01-31 07:30:00,-0.3,-0.6,-1.5,-1.5
2016-12-27 07:30:00,-1.5,0.2,-0.4,-0.4
2016-11-29 07:30:00,-0.4,-0.6,-2.1,-2.1
2016-10-28 07:30:00,-2.1,-3.0,-4.6,-4.6
2016-09-30 07:30:00,-4.6,-2.5,-0.5,-0.5
2016-08-30 07:30:00,-0.5,-0.9,-2.2,-2.2
