datetime,JP_RS_MoM_Actual,JP_RS_MoM_Srv_Med,JP_RS_MoM_Revised,JP_RS_MoM_Prior
2023-07-31 07:50:00,-0.4,0.2,1.4,1.3
2023-06-29 07:50:00,1.3,-0.2,-1.1,-1.2
2023-05-31 07:50:00,-1.2,0.0,0.6,0.6
2023-04-28 07:50:00,0.6,None,2.1,1.9
2023-02-28 07:50:00,1.9,None,1.1,1.1
2023-01-31 07:50:00,1.1,None,-1.3,-1.1
2022-12-27 07:50:00,-1.1,None,0.3,0.2
2022-11-29 07:50:00,0.2,None,1.5,1.1
2022-10-31 07:50:00,1.1,None,1.3,1.4
2022-09-30 07:50:00,1.4,None,0.7,0.8
2022-08-31 07:50:00,0.8,None,-1.3,0.8
2022-05-31 07:50:00,0.8,None,1.7,-0.8
2022-03-30 07:50:00,-0.8,None,1.1,1.0
2022-01-31 07:50:00,1.0,None,1.3,1.2
2021-12-27 07:50:00,1.2,None,1.0,2.7
2021-10-28 07:50:00,2.7,None,-4.0,-4.7
2021-09-30 07:50:00,-4.7,None,1.3,1.3
2021-08-30 07:50:00,1.3,None,-2.3,-2.2
2021-07-30 07:50:00,-2.2,None,5.7,5.7
2021-06-29 07:50:00,5.7,None,15.5,15.5
2021-05-31 07:50:00,15.5,None,2.9,3.0
2021-04-28 07:50:00,3.0,None,-4.8,-4.7
2021-03-30 07:50:00,-4.7,None,-7.2,-7.2
2021-02-26 07:50:00,-7.2,None,-3.4,-3.5
2021-01-28 07:50:00,-3.5,None,-3.4,-0.1
2013-09-30 07:50:00,-0.1,1.2,-1.6,3.50
2013-07-29 07:50:00,3.50,None,-0.40,-8.20
2009-03-27 07:50:00,-8.20,-6.50,-1.10,-1.10
2009-02-27 07:50:00,-1.10,-6.50,-6.30,-6.30
2009-01-29 07:50:00,-6.30,-5.20,-3.20,-2.20
2008-05-29 08:50:00,-2.20,-1.10,0.20,0.20
2008-04-28 07:50:00,0.20,0.00,1.20,1.30
2008-03-28 07:50:00,1.30,0.00,-2.00,-1.90
2008-02-28 07:50:00,-1.90,-1.40,-1.50,
